id,position,label,description,start_date,end_date,replaces,replaced_by,term,election
Q1708538,Q61937786,Member of the Gibraltar Legislative Council,"",1956-09-21,1959-09-24,,,3rd Gibraltar Legislative Council,"Gibraltar general election, 1956"
Q1708538,Q61937786,Member of the Gibraltar Legislative Council,"",1959-09-24,1964-09-11,,,4th Gibraltar Legislative Council,"Gibraltar general election, 1959"
Q1708538,Q61937786,Member of the Gibraltar Legislative Council,"",1964-09-11,1969-07-30,,,5th Gibraltar Legislative Council,"Gibraltar general election, 1964"
Q2356379,Q28331905,Member of the Parliament of Gibraltar,"",2007-10-11,2011-12-08,,,1st Gibraltar Parliament,"Gibraltar general election, 2007"
Q2356379,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2015-11-26,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q2356379,Q28331905,Member of the Parliament of Gibraltar,"",2015-11-26,,,,3rd Gibraltar Parliament,"Gibraltar general election, 2015"
Q2356379,Q585760,Chief Minister of Gibraltar,position,2011-12-09,,,,,
Q2356379,Q61937752,Member of the Gibraltar House of Assembly,"",2003-11-28,2007-10-11,,,10th Gibraltar House of Assembly,"Gibraltar general election, 2003"
Q249192,Q28331905,Member of the Parliament of Gibraltar,"",2007-10-11,2011-12-08,,,1st Gibraltar Parliament,"Gibraltar general election, 2007"
Q249192,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2015-11-26,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q249192,Q585760,Chief Minister of Gibraltar,position,1996-05-17,2011-12-09,Joe Bossano,Fabian Picardo,,
Q249192,Q61937752,Member of the Gibraltar House of Assembly,"",1991-05-16,1992-01-16,,,6th Gibraltar House of Assembly,by-election
Q249192,Q61937752,Member of the Gibraltar House of Assembly,"",1992-01-16,1996-05-02,,,7th Gibraltar House of Assembly,"Gibraltar general election, 1992"
Q249192,Q61937752,Member of the Gibraltar House of Assembly,"",1996-05-02,2000-06-28,,,8th Gibraltar House of Assembly,"Gibraltar general election, 1996"
Q249192,Q61937752,Member of the Gibraltar House of Assembly,"",2000-06-28,2003-11-28,,,9th Gibraltar House of Assembly,"Gibraltar general election, 2000"
Q249192,Q61937752,Member of the Gibraltar House of Assembly,"",2003-11-28,2007-10-11,,,10th Gibraltar House of Assembly,"Gibraltar general election, 2003"
Q2824721,Q12061526,Mayor of Gibraltar,"","",,,,,
Q2824721,Q585760,Chief Minister of Gibraltar,position,"",1988-03-25,,,,
Q2824721,Q61937752,Member of the Gibraltar House of Assembly,"",1972-06-23,1976-09-29,,,2nd Gibraltar House of Assembly,"Gibraltar general election, 1972"
Q2824721,Q61937752,Member of the Gibraltar House of Assembly,"",1976-09-29,1980-02-06,,,3rd Gibraltar House of Assembly,"Gibraltar general election, 1976"
Q2824721,Q61937752,Member of the Gibraltar House of Assembly,"",1980-02-06,1984-01-26,,,4th Gibraltar House of Assembly,"Gibraltar general election, 1980"
Q2824721,Q61937752,Member of the Gibraltar House of Assembly,"",1984-01-26,1988-03-24,,,5th Gibraltar House of Assembly,"Gibraltar general election, 1984"
Q2824721,Q61937752,Member of the Gibraltar House of Assembly,"",1988-03-24,1992-01-16,,,6th Gibraltar House of Assembly,"Gibraltar general election, 1988"
Q3090591,Q23697747,"Minister for Enterprise, Training, Employment and Health and Safety",Gibraltar cabinet position,2011-12-08,,,,,
Q3090591,Q28331905,Member of the Parliament of Gibraltar,"",2007-10-11,2011-12-08,,,1st Gibraltar Parliament,"Gibraltar general election, 2007"
Q3090591,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2015-11-26,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q3090591,Q28331905,Member of the Parliament of Gibraltar,"",2015-11-26,,,,3rd Gibraltar Parliament,"Gibraltar general election, 2015"
Q3090591,Q585760,Chief Minister of Gibraltar,position,1988-03-25,1996-05-17,Adolfo Canepa,Peter Caruana,,
Q3090591,Q61937752,Member of the Gibraltar House of Assembly,"",1972-06-23,1976-09-29,,,2nd Gibraltar House of Assembly,"Gibraltar general election, 1972"
Q3090591,Q61937752,Member of the Gibraltar House of Assembly,"",1976-09-29,1977,,,3rd Gibraltar House of Assembly,"Gibraltar general election, 1976"
Q3090591,Q61937752,Member of the Gibraltar House of Assembly,"",1977,1980-02-06,,,3rd Gibraltar House of Assembly,
Q3090591,Q61937752,Member of the Gibraltar House of Assembly,"",1980-02-06,1984-01-26,,,4th Gibraltar House of Assembly,"Gibraltar general election, 1980"
Q3090591,Q61937752,Member of the Gibraltar House of Assembly,"",1984-01-26,1988-03-24,,,5th Gibraltar House of Assembly,"Gibraltar general election, 1984"
Q3090591,Q61937752,Member of the Gibraltar House of Assembly,"",1988-03-24,1992-01-16,,,6th Gibraltar House of Assembly,"Gibraltar general election, 1988"
Q3090591,Q61937752,Member of the Gibraltar House of Assembly,"",1992-01-16,1996-05-02,,,7th Gibraltar House of Assembly,"Gibraltar general election, 1992"
Q3090591,Q61937752,Member of the Gibraltar House of Assembly,"",1996-05-02,2000-06-28,,,8th Gibraltar House of Assembly,"Gibraltar general election, 1996"
Q3090591,Q61937752,Member of the Gibraltar House of Assembly,"",2000-06-28,2003-11-28,,,9th Gibraltar House of Assembly,"Gibraltar general election, 2000"
Q3090591,Q61937752,Member of the Gibraltar House of Assembly,"",2003-11-28,2007-10-11,,,10th Gibraltar House of Assembly,"Gibraltar general election, 2003"
Q3322915,Q28331905,Member of the Parliament of Gibraltar,"",2007-10-11,2011-12-08,,,1st Gibraltar Parliament,"Gibraltar general election, 2007"
Q3322915,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2015-11-26,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q3322915,Q28331905,Member of the Parliament of Gibraltar,"",2015-11-26,,,,3rd Gibraltar Parliament,"Gibraltar general election, 2015"
Q3322924,Q28331905,Member of the Parliament of Gibraltar,"",2007-10-11,2011-12-08,,,1st Gibraltar Parliament,"Gibraltar general election, 2007"
Q3322924,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2013-04-06,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q3322924,Q61937752,Member of the Gibraltar House of Assembly,"",2003-11-28,2007-10-11,,,10th Gibraltar House of Assembly,"Gibraltar general election, 2003"
Q3322990,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2015-11-26,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q3322990,Q28331905,Member of the Parliament of Gibraltar,"",2015-11-26,,,,3rd Gibraltar Parliament,"Gibraltar general election, 2015"
Q3323197,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2015-11-26,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q3323197,Q28331905,Member of the Parliament of Gibraltar,"",2015-11-26,,,,3rd Gibraltar Parliament,"Gibraltar general election, 2015"
Q3323210,Q28331905,Member of the Parliament of Gibraltar,"",2007-10-11,2011-12-08,,,1st Gibraltar Parliament,"Gibraltar general election, 2007"
Q3323210,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2015-11-26,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q3323210,Q28331905,Member of the Parliament of Gibraltar,"",2015-11-26,,,,3rd Gibraltar Parliament,"Gibraltar general election, 2015"
Q3323210,Q61937752,Member of the Gibraltar House of Assembly,"",2000-06-28,2003-11-28,,,9th Gibraltar House of Assembly,"Gibraltar general election, 2000"
Q3323210,Q61937752,Member of the Gibraltar House of Assembly,"",2003-11-28,2007-10-11,,,10th Gibraltar House of Assembly,"Gibraltar general election, 2003"
Q3323220,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2015-11-26,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q3323220,Q28331905,Member of the Parliament of Gibraltar,"",2015-11-26,,,,3rd Gibraltar Parliament,"Gibraltar general election, 2015"
Q3323259,Q28331905,Member of the Parliament of Gibraltar,"",2007-10-11,2011-12-08,,,1st Gibraltar Parliament,"Gibraltar general election, 2007"
Q3323259,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2015-11-26,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q3323259,Q28331905,Member of the Parliament of Gibraltar,"",2015-11-26,,,,3rd Gibraltar Parliament,"Gibraltar general election, 2015"
Q5217120,Q23697751,minister for Justice,Gibraltar cabinet position,2007,2011,,,,
Q5217120,Q28331905,Member of the Parliament of Gibraltar,"",2007-10-11,2011-12-08,,,1st Gibraltar Parliament,"Gibraltar general election, 2007"
Q5217120,Q28331905,Member of the Parliament of Gibraltar,"",2011-12-08,2015-11-26,,,2nd Gibraltar Parliament,"Gibraltar general election, 2011"
Q5217120,Q28331905,Member of the Parliament of Gibraltar,"",2015-11-26,,,,3rd Gibraltar Parliament,"Gibraltar general election, 2015"
