term,side,role,start_date,end_date,honorific_suffix,id,honorific_prefix,name
1,Government,Chief Minister,"","","",1,Major,R J Peliza
1,Government,Minister for Labour and Social Security,"","","",2,,M Xiberras
1,Government,"Minister for Information, Port Trade & Industry","","","",3,Major,A J Gache
1,Government,Minister for Medical and Health Services,"","","",4,,J Caruana
1,Government,Minister for Tourism and Municipal Services,"","","",5,,W M Isola
1,Government,Minister for Public Works and Housing,"","","",6,Miss,C Anes
1,Government,Minister for Education and Recreation,"","","",7,,L Devincenzi
1,Government,Attorney General,"","",CBE QC,8,,C B O’Beirne
1,Government,Financial & Development Secretary,"","",CMG OBE,9,,E H Davies
1,Government,,"","",OBE,10,,P J Isola
1,Opposition,Leader of the Opposition,"","",CBE MVO QC JP,11,Sir,Joshua Hassan
1,Opposition,,"","",OBE JP,12,,A W Serfaty
1,Opposition,,"","",OBE,13,,A P Montegriffo
1,Opposition,,"","",OBE JP,14,,E J Alvarez
1,Opposition,,"","","",15,,M K Featherstone
1,Opposition,,"","","",16,,I Abecasis
1,Opposition,,"","","",17,Lt. Col.,J L Hoare
2,Government,Chief Minister,"","",CBE MVO QC JP,11,Sir,Joshua Hassan
2,Government,"Minister for Tourism, Trade & Economic Development","","",OBE JP,12,,A W Serfaty
2,Government,Minister for Medical and Health Services,"","",OBE,13,,A P Montegriffo
2,Government,Minister for Education,"","","",15,,M K Featherstone
2,Government,Minister for Labour and Social Security,"","","",18,,A J Canepa
2,Government,Minister for Housing,"","","",16,,I Abecasis
2,Government,Minister for Public Works and Municipal Services,"","","",17,Lt. Col.,J L Hoare
2,Government,Minister for Information and Sport,"","","",19,,H J Zammitt
2,Government,Attorney General,"","",CMG QC,20,,R H Hickling
2,Government,Financial & Development Secretary (Acting),"","",CBE,21,,C J Gomez
2,Opposition,Leader of the Opposition,"","","",1,Major,R J Peliza
2,Opposition,,"","","",2,,M Xiberras
2,Opposition,,"","",OBE,10,,P J Isola
2,Opposition,,"","","",5,,W M Isola
2,Opposition,,"","","",4,,J Caruana
2,Opposition,,"","","",7,,L Devincenzi
2,Opposition,,"","","",22,,J J Bossano
3,Government,Chief Minister,"","",CBE MVO QC JP,11,Sir,Joshua Hassan
3,Government,Minister for Labour and Social Security,"","","",18,,A J Canepa
3,Government,Minister for Housing and Sport,"","","",19,,H J Zammitt
3,Government,Minister for Medical & Health Services,"","",OBE,13,,A P Montegriffo
3,Government,Minister for Municipal Services,"","",ED,23,Major,F J Dellipiani
3,Government,Minister for Postal Services,"","","",16,,I Abecasis
3,Government,"Minister for Tourism, Trade & Economic Development","","",OBE JP,12,,A W Serfaty
3,Government,Minister for Education and Public Works,"","","",15,,M K Featherstone
3,Government,Attorney General,"","",OBE QC,24,,J K Havers
3,Government,Financial & Development Secretary,"","","",25,,A Collings
3,Opposition,Leader of the Opposition,"","","",22,,J J Bossano
3,Opposition,,"","","",26,Dr.,R G Valarino
3,Opposition,,"","","",27,,J B Perez
3,Opposition,,"","","",28,,G T Restano
3,Opposition,,"","","",2,,M Xiberras
3,Opposition,,"","",OBE,10,,P J Isola
3,Opposition,,"","","",1,Major,R J Peliza
4,Government,Chief Minister,"","",CBE MVO QC JP,11,Sir,Joshua Hassan
4,Government,"Minister for Economic Development, Trade & Labour and Social Security","","","",18,,A J Canepa
4,Government,Minister for Public Works,"","","",15,,M K Featherstone
4,Government,Minister for Tourism and Postal Services,"","","",16,,I Abecasis
4,Government,Minister for Housing and Sport,"","","",19,,H J Zammitt
