id,uuid,wikidata
bonython,0db071ed-f17f-47ac-8805-05136c57ca08,Q5284496
burke,234a074f-e592-41dd-9afa-a144545812a3,Q5284499
burt,70c3fc95-8c40-42a5-9217-e856d9b93e8a,Q23019675
corinella,2b01b331-4e3e-4693-bf1a-5d2f1c46475a,Q5284510
dundas,82e3c4ea-1b65-4a27-b0da-5cfdf9193506,Q5284520
fenner,269e8eb6-0fab-483c-b376-a0ac2f3b508e,Q23646678
gwydir,844cbb6b-2241-45ce-90b3-2bb7998ada11,Q5284529
hawker,9748546f-57a0-4a03-9743-29b01dd6941b,Q5284531
henty,20295e63-917d-4555-a3ba-d4c7790a92e5,Q5284530
kalgoorlie,d04f436b-1099-43a6-9d89-997efac154a9,Q5284539
lowe,75bbbf16-dcbd-4329-8eaa-456123cdee2b,Q666416
namadgi,c5552af5-a740-437d-ae1f-8b43a10d8031,Q5284553
northern_territory,19e89dba-4273-45c8-ac21-a44fff01f160,Q5284556
phillip,081e19b9-abe1-4380-b126-6957937ab10a,Q5284559
prospect,8722822a-9e9d-47d4-9657-773a79610572,Q5284560
riverina-darling,4c931769-cd93-40c1-8ab1-c04aa8575714,Q5284562
st_george,574f944c-9ad2-49db-be72-ac239d7518e4,Q5284570
streeton,4535da14-2697-424f-9350-51d452c9b4fb,Q5284571
whitlam,ab9307d8-2618-4c01-95d4-4e1f1705c1b6,Q23055249
banks,480fb5ef-7e82-4b67-aacb-ef26ea6f2017,Q2425863
barton,5ff50279-69a1-4225-8b0a-509a3e2b8d0a,Q1074151
bennelong,76451344-2f31-4516-8894-2f63166e9a51,Q817830
berowra,01f2ceb4-3516-4efa-88a5-ec58c6ba5516,Q1074115
blaxland,27761a97-a68d-4b39-a3bb-553eb003c422,Q1074143
bradfield,5403064b-497a-492b-9cbb-1df21bb36e3a,Q1074189
calare,90127c55-c556-4451-938f-6f1b3f792807,Q1026265
charlton,9359c28c-fb67-43ca-a58a-812739445393,Q1074192
chifley,9af3e085-4324-434f-9519-e4fcfa7f2efc,Q1073690
cook,b24c7fef-765b-4504-8561-a1c551b343fa,Q368340
cowper,08c19960-cefe-4017-989a-d644d317ca49,Q1074235
cunningham,4acf9829-e9e4-48f2-9f97-6cb0ebe343d3,Q182615
dobell,10af7e11-a8a3-4658-99e2-c1dcbcfc3352,Q509342
eden-monaro,d0f03d01-c916-4b35-b219-2d0ad7dcf762,Q1073695
farrer,c81b6883-a305-4e99-bd37-578b68b3f92b,Q1073683
fowler,a2d27eeb-e1e4-4a3a-92da-c617f3da389a,Q2973575
gilmore,dba1a174-5453-4c6c-bdc9-7d56281a1a00,Q2973616
grayndler,5d67c294-eed8-4c0c-bcfb-427d12ec9372,Q1079489
greenway,41bb5561-20c6-4a4e-b6dd-1d5137bdad5e,Q2973632
hughes,423e7e97-7aaf-4c09-81ec-20e3d5d110f5,Q2973656
hume,8f81edc9-5057-4e65-891d-cc313ee317a3,Q2973659
hunter,49163fc0-7186-47b6-8edd-9cbfaa1ee9b0,Q1074124
kingsford_smith,5512d68c-8fe8-484b-854f-9f35d309e16e,Q2973695
lindsay,6e7563e5-1d70-4d07-aba0-0dd3e09dca87,Q1074066
lyne,c37ed5c7-4dd9-4aee-bfa6-8488e5b85fa1,Q2973724
macarthur,243b5196-ef1a-4090-8c40-d6e6f69a725f,Q2973728
mackellar,c557c25d-9676-4fca-b454-86e6028f9e63,Q918989
macquarie,58c38aa8-7879-49b6-adb9-a1d5166fe188,Q1074005
mcmahon,4bbbfe30-2614-4975-9e5a-71f2715fa8d4,Q1073946
mitchell,66fbe866-7516-473c-acc6-3b6c23fa9fc5,Q2973776
new_england,85ad1932-62ac-4da1-b553-bb7ec62a5877,Q2973794
newcastle,93fbf742-69a4-438e-b28e-8351887e5e94,Q966318
north_sydney,48b5130c-199f-42a9-93c1-5b77a289da83,Q2973863
page,3d2432e0-0965-4b3a-a991-5fe0b30b89de,Q2973798
parkes,ab133a11-04a3-4610-85c9-00111e2cc782,Q2973799
parramatta,91b5d411-b1d2-4cc8-8247-ba567cd33ffc,Q2973800
paterson,1793bd45-99af-4ef2-9c8c-3ab1e7010f73,Q577770
reid,66e2bb10-25a2-4c5f-bd58-d19297c53694,Q2973816
richmond,727a4560-0255-4b5b-98f3-254c220cca3d,Q1073994
riverina,03eae2f9-c36a-47de-8abc-5f217a14e978,Q2973933
robertson,2b44f730-28fc-49ca-8d3e-12e6ee12c78f,Q2973820
shortland,1586a2ef-b272-49d4-8da4-bb0ec9ec5ff1,Q2973851
sydney,ef234fdf-64f8-43a6-8552-e54f6b5a6511,Q1075639
throsby,f789c6c4-0e67-4fa0-909f-e21b954aa149,Q2411395
warringah,b333cfb4-ec01-4931-89ae-43932893a871,Q1074025
watson,b9bc600d-487a-47db-8e9b-02329ae48e3b,Q2973888
wentworth,2dac7dbd-f9e0-49ea-bd94-5ff9ffb386dd,Q2973891
werriwa,b123401f-6261-4622-9791-984671de5c02,Q2973901
blair,3ebfcdaa-450a-46a0-a6f8-16f85b59b7d4,Q2973464
bonner,c4492ef1-0a0b-4b78-8b40-9e0d654f84ca,Q2973466
bowman,ba7d1197-1068-4936-87ed-b46a16afc604,Q2973472
brisbane,cef8b73d-605b-40e5-8a1e-dfa1669a6df6,Q917665
capricornia,50a3f44d-6a00-4f42-bb22-71369e9175f8,Q2973486
dawson,dfe45e28-26d1-4e01-bde6-ba8f97645add,Q1079471
dickson,97203fe8-cd0f-4f26-8f50-f5e4577729cc,Q2973551
