id,name,wikidata,wikipedia__tr,source,party_id,party,area,term
abdi_Özkök,Abdi Özkök,,,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,Bolu,15
abdulkadir_Öncel,Abdulkadir Öncel,Q19610369,Abdulkadir Öncel,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,MSP,Millî Selamet Partisi,Urfa,15
abdullah_bazancir,Abdullah Bazancir,Q26454768,Abdullah Bazancir,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,MSP,Millî Selamet Partisi,Bingöl,15
abdullah_cilli,Abdullah Cilli,Q17430305,Abdullah Cilli,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Hatay,15
abdurrahim_erdem,Abdurrahim Erdem,Q19610375,Abdurrahim Erdem,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Antalya,15
abdurrahman_köksaloğlu,Abdurrahman Köksaloğlu,,,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,İstanbul,15
abdurrahman_Ünsal,Abdurrahman Ünsal,Q17412731,Abdurrahman Ünsal,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,MSP,Millî Selamet Partisi,Adıyaman,15
abdülbaki_cartı,Abdülbaki Cartı,,,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,Siirt,15
abdülkerim_doğru,Abdülkerim Doğru,Q6052555,Abdülkerim Doğru,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,MSP,Millî Selamet Partisi,Kars,15
abdülkerim_zilan,Abdülkerim Zilan,Q6032723,Abdülkerim Zilan,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,ind,Bağımsız,Siirt,15
abdüllatif_ensarioğlu,Abdüllatif Ensarioğlu,Q19610379,Abdüllatif Ensarioğlu,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Diyarbakır,15
abidin_İnan_gaydalı,Abidin İnan Gaydalı,Q17430342,Abidin İnan Gaydalı,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Bitlis,15
adil_ali_cinel,Adil Ali Cinel,Q17045442,Adil Ali Cinel,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,Trabzon,15
adil_demir,Adil Demir,Q19610393,Adil Demir,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,İzmir,15
adnan_akarca,Adnan Akarca,Q19610395,Adnan Akarca,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,DP70,Demokratik Parti,Muğla,15
ahmet_akçeel,Ahmet Akçeel,,,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,MSP,Millî Selamet Partisi,Balıkesir,15
ahmet_arıkan,Ahmet Arıkan,Q17430373,Ahmet Arıkan,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,MSP,Millî Selamet Partisi,Sivas,15
ahmet_bahir_ersoy,Ahmet Bahir Ersoy,Q6049134,Ahmet Bahir Ersoy,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,İstanbul,15
ahmet_balkan,Ahmet Balkan,,,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Manisa,15
ahmet_buldanlı,Ahmet Buldanlı,Q6033447,Ahmet Buldanlı,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Muğla,15
ahmet_durakoğlu,Ahmet Durakoğlu,Q6044073,Ahmet Durakoğlu,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,Sivas,15
ahmet_hamdi_Çelebi,Ahmet Hamdi Çelebi,Q17430388,Ahmet Hamdi Çelebi,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,MSP,Millî Selamet Partisi,Muş,15
ahmet_haşim_benli,Ahmet Haşim Benli,,,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,Kütahya,15
ahmet_karaaslan,Ahmet Karaaslan,Q6033019,Ahmet Karaaslan,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Malatya,15
ahmet_mahir_ablum,Ahmet Mahir Ablum,Q6028479,Ahmet Mahir Ablum,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Kütahya,15
ahmet_nihat_akın,Ahmet Nihat Akın,Q19610425,Ahmet Nihat Akın,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Zonguldak,15
ahmet_orhan_senemoğlu,Ahmet Orhan Senemoğlu,,,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,Elazığ,15
ahmet_sebati_ataman,Ahmet Sebati Ataman,Q6054081,Ahmet Sebati Ataman,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Zonguldak,15
ahmet_tevfik_paksu,Ahmet Tevfik Paksu,Q6030855,Ahmet Tevfik Paksu,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,MSP,Millî Selamet Partisi,Maraş,15
ahmet_topaloğlu,Ahmet Topaloğlu,Q6087997,Ahmet Topaloğlu,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Adana,15
ahmet_türk,Ahmet Türk,Q401947,Ahmet Türk,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,DP70,Demokratik Parti,Mardin,15
ahmet_türkel,Ahmet Türkel,Q6036861,Ahmet Türkel,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Bursa,15
ahmet_yılmaz_(uşak_doğumlu),Ahmet Yılmaz,Q17430404,Ahmet Yılmaz (Uşak doğumlu),https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,Uşak,15
ahmet_Çakmak,Ahmet Çakmak,Q6044530,Ahmet Çakmak,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Bolu,15
ahmet_İhsan_kırımlı,Ahmet İhsan Kırımlı,Q4696109,Ahmet İhsan Kırımlı,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Balıkesir,15
ahmet_Şener,Ahmet Şener,Q6064457,Ahmet Şener,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,Trabzon,15
alev_coşkun,Alev Coşkun,Q6059935,Alev Coşkun,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,İzmir,15
ali_acar,Ali Acar,,,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,MSP,Millî Selamet Partisi,Samsun,15
ali_döğerli,Ali Döğerli,Q19610470,Ali Döğerli,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,CHP,Cumhuriyet Halk Partisi,Muğla,15
ali_elverdi,Ali Elverdi,Q6049263,Ali Elverdi,https://tr.wikipedia.org/wiki/TBMM_15._d%C3%B6nem_milletvekilleri_listesi,AP,Adalet Partisi,Bursa,15
