id,name,sort_name,family_name,given_name,area,party,image,term,source
10400,Silipéléto dit Fiu Muliakaaka,"Muliakaaka, Silipéléto dit Fiu",Muliakaaka,Silipéléto dit Fiu,Province Sud,CE,"",4,http://www.congres.nc/assemblee/les-elus/?panel=5
10521,Sonia Backès,"Backès, Sonia",Backès,Sonia,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/Sonia-Backes.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
11107,Monique Millet,"Millet, Monique",Millet,Monique,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/millet.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
11761,Léonard Sam,"Sam, Léonard",Sam,Léonard,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/sam.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
13374,Silipéléto dit Fiu Muliakaaka,"Muliakaaka, Silipéléto dit Fiu",Muliakaaka,Silipéléto dit Fiu,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/Silipeleto-Muliakaaka-14-237x315.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
13375,Hervé Tein-Taouva,"Tein-Taouva, Hervé",Tein-Taouva,Hervé,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/herve-tein-taouva.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9624,Nicole Andrea-Song,"Andrea-Song, Nicole",Andrea-Song,Nicole,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/andrea-song.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9641,Grégoire Bernut,"Bernut, Grégoire",Bernut,Grégoire,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/bernut.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9643,Philippe Blaise,"Blaise, Philippe",Blaise,Philippe,Province Sud,"",http://www.congres.nc/wp-content/uploads/2015/01/blaise.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9644,Angy Boehe,"Boehe, Angy",Boehe,Angy,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/boehe.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9645,Ivana Bouanou,"Bouanou, Ivana",Bouanou,Ivana,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/bouanou.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9646,Gil Brial,"Brial, Gil",Brial,Gil,Province Sud,"",http://www.congres.nc/wp-content/uploads/2015/01/brial.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9647,Basile Citre,"Citre, Basile",Citre,Basile,Province des îles loyauté,"",http://www.congres.nc/wp-content/uploads/2015/01/citre.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9651,Francis Euriboa,"Euriboa, Francis",Euriboa,Francis,Province Nord,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/euriboa.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9652,Henriette Falelavaki,"Falelavaki, Henriette",Falelavaki,Henriette,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/falelavaki.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9653,Marie-Hyacintha Fiafialoto-Santino,"Fiafialoto-Santino, Marie-Hyacintha",Fiafialoto-Santino,Marie-Hyacintha,Province Nord,CE,http://www.congres.nc/wp-content/uploads/2015/01/santino.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9654,Yoann Lecourieux,"Lecourieux, Yoann",Lecourieux,Yoann,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/lecourieux.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9655,Daniel Goa,"Goa, Daniel",Goa,Daniel,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/goa.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9656,Philippe Gomes,"Gomes, Philippe",Gomes,Philippe,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/gomes.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9657,Joseph Goromido,"Goromido, Joseph",Goromido,Joseph,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/goromido.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9658,Marie-Pierre Goyetche,"Goyetche, Marie-Pierre",Goyetche,Marie-Pierre,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/goyetche.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9659,Marie-Françoise Hmeun,"Hmeun, Marie-Françoise",Hmeun,Marie-Françoise,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/hmeun.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9660,Neko Hnepeune,"Hnepeune, Neko",Hnepeune,Neko,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/hnepeune.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9663,Prisca Holero,"Holero, Prisca",Holero,Prisca,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/holero.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9664,Isabelle Kaloi-Bearune,"Kaloi-Bearune, Isabelle",Kaloi-Bearune,Isabelle,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/kaloi-bearune.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9665,Isabelle Lafleur,"Lafleur, Isabelle",Lafleur,Isabelle,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/lafleur.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
