id,type,identifier__freebase,identifier__viaf,website,identifier__britannica,identifier__gnd,name__zh_hans,name__zh_hant,name__zh_hk,name__pt,name__eo,name__pl,name__ru,name__fr,name__es,name__en,name__ca,name__uk,name__it,name__gl,name__de,name__ja,name__vi,name__bg,name__da,name__kk_arab,name__kk_cyrl,name__kk_latn,name__sv,name__nl,name__lt,name__nb,name__zh,name__eu,name__be,name__br,name__kk,name__fa,name__ka,name__ms,name__mrj,name__mk,name__fi,name__cs,name__el,flag,identifier__geonames,name__id,name__ta,name__ceb,name__te,name__ar,name__hi,name__ko,name__tr,name__th,name__mr,name__bn,name__ur,name__si,name__gu,name__kn,name__lv,coat_of_arms
Q1612920,province of New Caledonia,/m/0bt648,,http://www.province-nord.nc/accueil/default.asp,,,,,,Província Norte,Norda Provinco,Prowincja Północna,Северная провинция,Province Nord,Provincia Norte,North Province,província del Nord,Північна провінція,Provincia Nord,,Nordprovinz,北部州,"Tỉnh Bắc, Nouvelle-Calédonie",,North Province,,,,Nord (provins),Province Nord,Šiaurės provincija (Naujoji Kaledonija),Nord,北部省,,,Proviñs Norzh (Kaledonia-Nevez),,,,North Province,,,Pohjoinen lääni,,"Νόρθ Πρόβινς, Νέα Καληδονία",https://upload.wikimedia.org/wikipedia/commons/4/42/Drapeau_Province_Nord_Nouvelle_Calédonie.svg,2140685,"Province Nord, Kaledonia Baru",வடக்கு   மாகாணம்,Province Nord,ఉత్తర ప్రావిన్స్,المقاطعة الشمالية,उत्तर प्रांत,북쪽 주,North Province,นอร์ท โพรวิ้น,उत्तर प्रांत,নর্থ প্রদেশ,نارتھ صوبہ,උතුරු පළාත,ઉત્તર પ્રાંત,ಉತ್ತರ ಪ್ರಾಂತ್ಯ,Ziemeļu province,
Q18655787,province of New Caledonia,,,,,,洛亚蒂群岛省,洛亞蒂群島省,,Província das Ilhas Loyalty,Provinco Lojalec-Insularo,Wyspy Lojalności,Лоялти (Луайоте),province des îles Loyauté,La Provincia de Loyalty Islands,Loyalty Islands Province,província Illes de la Lleialtat,Провінція Острови Лоялті,Isola della Lealtà,,Provinz Loyalitätsinseln,ロイヤルティ諸島,Quần đảo Loyalty,,Loyalty Islands Province,,,,Loyalty Islands Provins,Loyaliteitseilanden,Ištikimybės salų provincija,Loyalty øyer provins,,,,,,,,Loyalty Islands Province,,,Loyalty Islands - provinssi,,Νησιά Λόγιαλτι,,7521415,Provinsi Kepulauan Loyalty,லோயல்ட்டி  இஸ்லாண்ட்ஸ்  மாகாணம்,Province des îles Loyauté,లాయల్టీ దీవుల ప్రావిన్స్,مقاطعة جزر لويالتي,लॉयल्टी द्वीप प्रांत,로열티 제도 주,Loyalty Adaları Province,จังหวัดโลยัลตี ไอซ์แลนด์,लॉयल्टी द्वीप प्रांत,লয়্যাল্টি দ্বীপপুঞ্জ প্রদেশ,لویلٹی آئی لینڈ صوبہ,ලොයල්ටි දුපත් පළාත,લોયલ્ટી આયલેન્ડ્સ પ્રાંત,ಪ್ರಾಂತ್ಯದ ಲಾಯಲ್ಟಿ ದ್ವೀಪಗಳು,Lojaltī salu province,https://upload.wikimedia.org/wikipedia/commons/f/f5/Iles-Loyauté_embleme.svg
Q913470,province of New Caledonia,/m/04k9t6,134937266,http://www.province-iles.nc/,place/Loyalty-Islands,4243270-4,洛亚蒂群岛,羅雅提群島,洛亞蒂群島,Ilhas Lealdade,Lojaleca insularo,Wyspy Lojalności,Луайоте,Îles Loyauté,Islas de la Lealtad,Loyalty Islands,Illes de la Lleialtat,Луайоте,Isole della Lealtà,Illas da Lealdade,Loyalitätsinseln,ロイヤルティ諸島,Quần đảo Loyauté,Лоайоте,Loyalty-øerne,لويالتىي,Лоялти,Loyaltï,Loyautéöarna,Province des îles Loyauté,Ištikimybės salos,Loyautéøyene,洛亚蒂群岛,Leialtasun uharteak,Астравы Луаятэ,Inizi Loyauté,Лоялти,جزایر لویالتی,ლუაიოტეს კუნძულები,Kepulauan Kesetiaan,Луайоте,Верни Острови,Loyautésaaret,Loyauté,Νήσοι Λόγιαλτι,,,,,,,,,,,,,,,,,,,
Q965632,province of New Caledonia,/m/0bt603,,http://www.province-sud.nc/,,,,,,Sud,Suda Provinco,Prowincja Południowa,Южная провинция,Province Sud,Provincia Sur,South Province,província del Sud,Південна провінція,Provincia Sud,,Südprovinz,南部州,"Tỉnh Nam, Nouvelle-Calédonie",,South Province,,,,Sydprovinsen,Province Sud,Pietų provincija (Naujoji Kaledonija),Sud,南部省,,,Proviñs Su (Kaledonia-Nevez),,,,South Province,,,Etelä-Provinssi,,"Σάουθ Πρόβινς, Νέα Καληδονία",https://upload.wikimedia.org/wikipedia/commons/9/94/Bandera_Province_Sud.svg,2140464,"Province Sud, Kaledonia Baru",தென் பிராந்தியம்,Province Sud,దక్షిణ ప్రావిన్స్,المقاطعة الجنوبية,"दक्षिण प्रांत, न्यू कैलेडोनिया",남쪽 주,South Province,"เซาร์ โพรวิ้น, นิว เคลโดเนีย",साऊथ प्रांत,"দক্ষিন প্রদেশ, নিউ ক্যালেডোনিয়া",ساؤتھ صوبہ,දකුණු පළාත,દક્ષિણ પ્રાંત,ದಕ್ಷಿಣ ಪ್ರಾಂತ್ಯ,Dienvidu province,
