id,name,sort_name,family_name,given_name,area,party,image,source,term
10521,Sonia Backès,"Backès, Sonia",Backès,Sonia,Province Sud,Les Républicains calédoniens,http://www.congres.nc/wp-content/uploads/2015/01/Sonia-Backes.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
11107,Monique Millet,"Millet, Monique",Millet,Monique,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/millet.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
13374,Silipéléto dit Fiu Muliakaaka,"Muliakaaka, Silipéléto dit Fiu",Muliakaaka,Silipéléto dit Fiu,Province Sud,Les Républicains calédoniens,http://www.congres.nc/wp-content/uploads/2015/01/Silipeleto-Muliakaaka-14-237x315.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
13375,Hervé Tein-Taouva,"Tein-Taouva, Hervé",Tein-Taouva,Hervé,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/herve-tein-taouva.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9624,Nicole Andrea-Song,"Andrea-Song, Nicole",Andrea-Song,Nicole,Province Sud,Les Républicains calédoniens,http://www.congres.nc/wp-content/uploads/2015/01/andrea-song.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9641,Grégoire Bernut,"Bernut, Grégoire",Bernut,Grégoire,Province Sud,Les Républicains calédoniens,http://www.congres.nc/wp-content/uploads/2015/01/bernut.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9643,Philippe Blaise,"Blaise, Philippe",Blaise,Philippe,Province Sud,Les Républicains calédoniens,http://www.congres.nc/wp-content/uploads/2015/01/blaise.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9644,Angy Boehe,"Boehe, Angy",Boehe,Angy,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/boehe.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9645,Ivana Bouanou,"Bouanou, Ivana",Bouanou,Ivana,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/bouanou.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9646,Gil Brial,"Brial, Gil",Brial,Gil,Province Sud,Les Républicains Rassemblement – MPC,http://www.congres.nc/wp-content/uploads/2015/01/brial.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9647,Basile Citre,"Citre, Basile",Citre,Basile,Province des îles loyauté,sans étiquette,http://www.congres.nc/wp-content/uploads/2015/01/citre.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9650,Philippe Dunoyer,"Dunoyer, Philippe",Dunoyer,Philippe,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/dunoyer.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9651,Francis Euriboa,"Euriboa, Francis",Euriboa,Francis,Province Nord,Les Républicains Rassemblement – MPC,http://www.congres.nc/wp-content/uploads/2015/01/euriboa.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9652,Henriette Falelavaki,"Falelavaki, Henriette",Falelavaki,Henriette,Province Sud,Les Républicains Rassemblement – MPC,http://www.congres.nc/wp-content/uploads/2015/01/falelavaki.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9653,Marie-Hyacintha Fiafialoto-Santino,"Fiafialoto-Santino, Marie-Hyacintha",Fiafialoto-Santino,Marie-Hyacintha,Province Nord,CE,http://www.congres.nc/wp-content/uploads/2015/01/santino.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9654,Yoann Lecourieux,"Lecourieux, Yoann",Lecourieux,Yoann,Province Sud,Les Républicains Rassemblement – MPC,http://www.congres.nc/wp-content/uploads/2015/01/lecourieux.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9655,Daniel Goa,"Goa, Daniel",Goa,Daniel,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/goa.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9656,Philippe Gomes,"Gomes, Philippe",Gomes,Philippe,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/gomes.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9657,Joseph Goromido,"Goromido, Joseph",Goromido,Joseph,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/goromido.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9658,Marie-Pierre Goyetche,"Goyetche, Marie-Pierre",Goyetche,Marie-Pierre,Province Sud,Sans étiquette,http://www.congres.nc/wp-content/uploads/2015/01/goyetche.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9659,Marie-Françoise Hmeun,"Hmeun, Marie-Françoise",Hmeun,Marie-Françoise,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/hmeun.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9660,Neko Hnepeune,"Hnepeune, Neko",Hnepeune,Neko,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/hnepeune.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
9663,Prisca Holero,"Holero, Prisca",Holero,Prisca,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/holero.jpg,http://www.congres.nc/assemblee/les-elus/?panel=5,4
