id,name,start_date,end_date,source
19,19th National Assembly,2012-05-30,2016-05-29,"https://en.wikipedia.org/wiki/List_of_members_of_the_National_Assembly_(South_Korea),_2012%E2%80%9316"
20,20th National Assembly,2016-05-30,,"https://en.wikipedia.org/wiki/List_of_members_of_the_National_Assembly_(South_Korea),_2016%E2%80%93present"
