id,label,type
Q1146214,Tánaiste,cabinet
Q191827,Taoiseach,cabinet
Q22983531,Minister of State for the NewEra Project,cabinet
Q30645438,Minister for Community and Rural Affairs,cabinet
Q4294945,Minister for Finance,cabinet
Q6865747,"Minister for Arts, Heritage and the Gaeltacht",cabinet
Q6865750,"Minister for Agriculture, Food and the Marine",cabinet
Q6865756,Minister for Children and Youth Affairs,cabinet
Q6865764,Minister for Communications,cabinet
Q6865770,"Minister for Communications, Energy and Natural Resources",cabinet
Q6865781,Minister for Defence,cabinet
Q6865816,Minister for Education and Skills,cabinet
Q6865853,Minister for Foreign Affairs and Trade,cabinet
Q6865864,Minister for Health,cabinet
Q6865902,"Minister for Jobs, Enterprise and Innovation",cabinet
Q6865904,Minister for Justice and Equality,cabinet
Q6865958,Minister for Social Protection,cabinet
Q6865981,"Minister for Transport, Tourism and Sport",cabinet
Q6866004,"Minister for Housing, Planning and Local Government",cabinet
Q6866364,Minister of State for Labour Affairs,cabinet
Q6866375,Minister of State for Trade and Development,cabinet
