id,legacy
897ec42a-89ac-4ff8-8723-af6d51a4ed83,5
a4c796f5-8f08-4551-a652-337692742b70,320
62469374-a554-4b8f-bdeb-7c07486a008b,287
1693480d-a2ae-4990-bb15-83d9d5435b65,6
29e99fd4-ac40-4c4a-8154-7f01ef8e4dad,275
2f60ccb0-df63-430e-9656-b0c1bf527901,7
b90dec6e-71d8-4266-8f7a-749939153402,300
fd3b2130-1e12-47df-b623-df3dc555f221,357
5c569213-5a47-4423-8683-6ea4247cb47a,339
f944f9ab-0210-4b84-96d0-4e707f3aa0d4,322
2de5b377-83fc-4656-85e5-32ae8c1927f9,335
70940ec6-3afb-4937-8495-edf69245a4e5,355
8286f46e-ddb2-470b-9517-4a1565599e20,14
9f2189bf-01d4-414f-9c56-3efba8c3e84d,17
558195d6-e6ef-4668-b1e6-a1f1e6104a41,18
e71431a5-aff7-4f3d-a2e1-5e48deaa7d2e,19
a570f807-a08f-4971-ac26-43aea25efc04,338
fa4f8b67-d284-4611-83a7-7593d8c66e1c,149
984ac2ef-582b-4d99-9d6e-8127039120c3,245
b27a79c2-849e-45c4-b59f-6c963d4a95d6,258
8755a064-46b3-4043-bab0-9738a139a83d,356
7044e364-3aaa-45a1-81e8-686c3a89914d,360
446b7bd8-28c0-45dd-941f-c499a404f89a,20
89a624e5-f9a1-4c48-9d42-989067fba970,52
c4c9a026-3297-4891-854a-fecba49b224e,204
61177c20-d74a-4b69-97ce-64a3be62cf38,118
46796ca5-4d42-42a1-8f11-72a384ed408e,313
d3b93fb6-5ef1-4417-b58f-fb09b31b529d,352
d540d9bf-15f9-4517-b71d-dcb6b89a08dd,58
584c8ec9-a42f-4fb8-aa0a-ec35930fd3e4,168
38ff388d-5ce6-43f6-9652-0beea81c80b2,321
6934d85e-2d20-451c-b1db-fb69c24b1d0d,333
d9d07c52-2d06-4346-837f-271962a81b96,106
05126310-d729-4dac-8a54-95167396618d,207
7164fc04-bc37-4708-b5ec-350994323924,56
acbdcede-ea5f-498e-8b94-469e146f4f18,308
78ab3a9b-a197-4666-81b1-c46e7d7bcd02,261
ca495666-fb7b-4f89-843d-d50af5e50ffc,206
a8823f93-c465-4e66-84d5-f265bbdf5858,319
645c9f59-f999-4674-972f-e5253a122c36,334
63c2a2f7-596a-4b76-84cf-98cf1147960c,324
06e8f14e-cbd8-4a8b-9e9b-e7122c9e2970,183
629ebc83-9aa3-477b-a688-a4213422a245,132
b10bf1ad-ed83-4f17-94d7-de6363b1baec,123
e2adebf1-baf3-41a7-a9bf-4e7078c8040e,332
848fd2a2-2368-45b0-94a9-89c7da22416b,260
31eec3de-c928-40c3-a8dd-7e6ce781755b,156
df79ca94-fcf4-47e2-9015-8df55943ebaf,331
807ce4b1-450b-4e32-843e-fe818ebedcd5,327
05cd1938-2f36-43d2-a858-cbc235c96c23,219
e6a4dd5d-6d0a-4a73-8886-f73bda287d4d,184
fee6a407-8bd8-43c0-a9ce-f5b1c8ecb08b,114
a88e09ef-59f8-4e54-b4d6-1c15d5a33c4b,110
75b63e6f-075f-4d94-b56d-4d1383d4d73e,401
3759eded-f601-48b6-9be7-03a29d5071a8,343
f3c3081b-9ccc-4875-92ee-c9a603c70b08,342
