id,name,start_date,end_date,wikidata
32,32nd Dáil,2016-03-10,,Q28976095
31,31st Dáil,2011-03-09,2016-02-03,Q28976144
30,30th Dáil,2007-06-14,2011-02-01,Q28976204
29,29th Dáil,2002-06-06,2007-04-26,Q28976222
28,28th Dáil,1997-06-26,2002-04-25,Q28976267
27,27th Dáil,1992-12-14,1997-05-15,Q28976287
26,26th Dáil,1989-06-29,1992-11-05,Q28976307
25,25th Dáil,1987-03-10,1989-05-25,Q28976332
24,24th Dáil,1982-12-14,1987-01-20,Q28976341
23,23rd Dáil,1982-03-09,1982-11-04,Q28976367
22,22nd Dáil,1981-06-30,1982-01-27,Q28976461
21,21st Dáil,1977-07-05,1981-05-21,Q28976674
20,20th Dáil,1973-03-14,1977-05-25,Q28976762
19,19th Dáil,1969-07-02,1973-02-05,Q28976810
18,18th Dáil,1965-04-21,1969-05-21,Q28976938
17,17th Dáil,1961-10-11,1965-03-11,Q28977041
16,16th Dáil,1957-03-20,1961-09-01,Q28977208
15,15th Dáil,1954-06-02,1956-12-13,Q28977275
14,14th Dáil,1951-06-13,1954-04-23,Q28977355
13,13th Dáil,1948-02-18,1951-05-02,Q29000366
12,12th Dáil,1944-06-09,1947-12-11,Q29000369
11,11th Dáil,1943-07-01,1944-05-10,Q29000373
10,10th Dáil,1938-06-30,1943-05-26,Q29000374
9,9th Dáil,1937-07-21,1938-05-25,Q29000378
8,8th Dáil,1933-02-08,1937-06-14,Q29000380
7,7th Dáil,1932-03-09,1932-12-22,Q29000383
6,6th Dáil,1927-10-11,1931-12-17,Q29000388
5,5th Dáil,1927-06-03,1927-08-16,Q29000395
4,4th Dáil,1923-09-19,1927-05-20,Q29000401
3,3rd Dáil,1922-09-09,1923-08-09,Q29000406
2,2nd Dáil,1921-08-16,1922-06-08,Q29000410
1,1st Dáil,1919-01-21,1921-05-10,Q29000413
