name,wikiname,area,religion,party,party_wikiname,term,source
Abbas Hachem,"",Jbeil,Shia,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Abdellatif Zein,Abdellatif Zein,Nabatieh,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Abdelmajid Saleh,Abdelmajid Saleh,Sour,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Ahmad Fatfat,Ahmad Fatfat,Dinniyeh,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Ahmad Karami,Ahmad Karami,Tripoli,Sunni,Tripolitan Solidarity Bloc,Najib Mikati,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Akram Chehayeb,Akram Chehayeb,Aley,Druz,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Alaeddine Terro,Alaaeddine Terro,Chouf,Sunni,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Alain Aoun,"",Baabda,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Ali Ahmad Bazzi,Ali Ahmad Bazzi,Bint Jbeil,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Ali Ammar,Ali Ammar,Baabda,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Ali Fayyad,Ali Fayyad,Hasbaya/Marjeyoun,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Ali Hassan Khalil,Ali Hassan Khalil,Hasbaya/Marjeyoun,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Ali Khreis,Ali Khreis,Sour,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Ali Mekdad,Ali Mekdad,Baalbeck/Hermil,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Ali Osseiran,Ali Osseiran,Zahrani,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Amal Abou Zeid,"",Jezzine,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Amine Wehbeh,"",West Beqaa/Rashaya,Shia,Democratic Left Movement,Democratic Left Movement (Lebanon),2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
Ammar Houry,"",Beirut III,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament
