statement,id,name,start_date,end_date,wikidata
Q162932-9c266a8a-4011-1874-a5c9-05257c477dac,1,1st United States Congress,1789-03-04,1791-03-04,Q162932
Q210241-98d7fd34-46e1-302a-75dc-fce11c33f726,2,2nd United States Congress,1791-03-04,1793-03-04,Q210241
Q223336-b9f7a858-4afe-dc30-9929-e8559cd38310,3,3rd United States Congress,1793-03-04,1795-03-04,Q223336
Q230796-016be58e-4ded-927d-0d89-238beb91ed6c,4,4th United States Congress,1795-03-04,1797-03-04,Q230796
Q2573610-9BBBCD6F-0E64-4F82-970E-3036D752BA73,5,5th United States Congress,1797-03-04,1799-03-04,Q2573610
Q2395126-9FD144A6-BA12-4617-8363-36B4741FED03,6,6th United States Congress,1799-03-04,1801-03-04,Q2395126
Q1906490-6DFBE08B-B0A7-47CB-A01A-55C95D16FEB9,7,7th United States Congress,1801-03-04,1803-03-04,Q1906490
Q4645488-6FEABF10-837B-4A37-B4C4-025857C6196F,8,8th United States Congress,1803-03-04,1805-03-04,Q4645488
Q4646693-4D2D4D2D-1655-41E3-8146-8A2473BC29F6,9,9th United States Congress,1805-03-04,1807-03-04,Q4646693
Q4547180-997F81A2-5C06-4BF5-A4A7-758BACC2BB15,10,10th United States Congress,1807-03-04,1809-03-04,Q4547180
Q4547997-4A3CB401-492E-4C3F-8913-91078DB12ED2,11,11th United States Congress,1809-03-04,1811-03-04,Q4547997
Q4548939-EE23991B-009B-4BBC-8096-E150D04F03F8,12,12th United States Congress,1811-03-04,1813-03-04,Q4548939
Q4549554-560845B7-999E-4225-B377-492ABB96FAF7,13,13th United States Congress,1813-03-04,1815-03-04,Q4549554
Q4550107-F96CDC44-CBBC-479E-9833-A3534D25CF5D,14,14th United States Congress,1815-03-04,1817-03-04,Q4550107
Q4551057-AC753CA0-46B7-45A3-AE45-8B1D0302B411,15,15th United States Congress,1817-03-04,1819-03-04,Q4551057
Q4552253-7A3CE7AC-745C-4856-AEBE-1C152EC2029C,16,16th United States Congress,1819-03-04,1821-03-04,Q4552253
Q4553695-2756064F-A516-4596-B8EB-1ABD491E56EA,17,17th United States Congress,1821-03-04,1823-03-04,Q4553695
Q4557675-A78BD4A5-A76D-43BF-924D-B54331A461DA,18,18th United States Congress,1823-03-04,1825-03-04,Q4557675
Q4595829-269AB194-00AA-4E8A-9663-1A548FA5AD4A,19,19th United States Congress,1825-03-04,1827-03-04,Q4595829
Q4630820-245E3A73-03A4-40EB-AAA1-0F312E367605,20,20th United States Congress,1827-03-04,1829-03-04,Q4630820
Q4631174-A2882FEA-C977-479B-8F1B-FF4BA7082FDE,21,21st United States Congress,1829-03-04,1831-03-04,Q4631174
Q4631442-3AC48A39-AEB0-4B45-A62F-45ACE86319D5,22,22nd United States Congress,1831-03-04,1833-03-04,Q4631442
Q4631714-C2F3728F-1222-4254-800D-EF5F1837B607,23,23rd United States Congress,1833-03-04,1835-03-04,Q4631714
Q4632038-34849103-BF16-4B93-9424-ED8E702EEE56,24,24th United States Congress,1835-03-04,1837-03-04,Q4632038
Q4632330-24EEE0ED-F1C2-41D3-8176-56935F3FD518,25,25th United States Congress,1837-03-04,1839-03-04,Q4632330
Q4632497-56FBBA8E-C820-440C-8A95-B44AE2163334,26,26th United States Congress,1839-03-04,1841-03-04,Q4632497
Q4632667-D6307AF3-A8B5-472A-885A-0C8A5E7D57A7,27,27th United States Congress,1841-03-04,1843-03-04,Q4632667
Q4632843-095FDB37-3F58-4232-BCEF-0F68C45BD0C4,28,28th United States Congress,1843-03-04,1845-03-04,Q4632843
Q4632990-47BDC8ED-CFBC-49A7-87AF-6C1F0D143CD6,29,29th United States Congress,1845-03-04,1847-03-04,Q4632990
Q4634661-62D5BE1C-16E7-4207-8131-8D80A06BACD4,30,30th United States Congress,1847-03-04,1849-03-04,Q4634661
Q4634895-1F96A057-7BA9-41E1-8569-72574AFE7C28,31,31st United States Congress,1849-03-04,1851-03-04,Q4634895
Q4635114-75B71A0C-A690-48B5-8E5A-67553AF850AD,32,32nd United States Congress,1851-03-04,1853-03-04,Q4635114
Q4635308-2A177016-FB80-4FFC-BF2C-F4EF4AB78AB6,33,33rd United States Congress,1853-03-04,1855-03-04,Q4635308
Q4635460-6ABD5FB3-2DDA-49C5-923F-C9F071FBB211,34,34th United States Congress,1855-03-04,1857-03-04,Q4635460
Q4635622-AC41AF27-EF90-4C81-9095-D16F86B3F415,35,35th United States Congress,1857-03-04,1859-03-04,Q4635622
Q4635787-3BA99C65-33B2-46FC-9144-24A84C1A7F28,36,36th United States Congress,1859-03-04,1861-03-04,Q4635787
Q4635921-2E035C5D-C58A-44B5-BE4F-F998EE006633,37,37th United States Congress,1861-03-04,1863-03-04,Q4635921
Q4636059-E38179CF-300B-4609-93B2-2DE2E6B5951D,38,38th United States Congress,1863-03-04,1865-03-04,Q4636059
Q4636192-B2D2D4AF-D420-4AE8-9695-1B9793ED922B,39,39th United States Congress,1865-03-04,1867-03-04,Q4636192
Q4637505-48B9B9D2-3EAA-454D-8A1F-8B17D7202D0D,40,40th United States Congress,1867-03-04,1869-03-04,Q4637505
Q4637689-A18FF9E3-8D4C-40C3-990E-A943BDEBAF2D,41,41st United States Congress,1869-03-04,1871-03-04,Q4637689
Q4637828-A85FD67B-8B95-4B50-A3C6-4DE4A1807593,42,42nd United States Congress,1871-03-04,1873-03-04,Q4637828
Q4637968-84F49B00-0926-483E-A95F-6DAC6A357D76,43,43rd United States Congress,1873-03-04,1875-03-04,Q4637968
Q4638100-32EA0D38-C8E1-49F1-AE32-BE4FB46E0DAE,44,44th United States Congress,1875-03-04,1877-03-04,Q4638100
Q4638269-1422A2C0-C8FA-4490-8565-5EA55291A833,45,45th United States Congress,1877-03-04,1879-03-04,Q4638269
Q4638409-87EEDC97-40C9-4F08-B8C0-D98405E108EE,46,46th United States Congress,1879-03-04,1881-03-04,Q4638409
Q4638577-52041969-48e2-263e-4a3d-25fa55bff78a,47,47th United States Congress,1881-03-04,1883-03-04,Q4638577
Q4638711-03FC3F8B-099C-4FB8-87DE-A98A4E52C401,48,48th United States Congress,1883-03-04,1885-03-04,Q4638711
Q4638849-556A6986-85B6-4784-9A23-5EC53551F6A9,49,49th United States Congress,1885-03-04,1887-03-04,Q4638849
Q4639974-6985D130-EA1D-47B6-AD65-70156A4CFDBA,50,50th United States Congress,1887-03-04,1889-03-04,Q4639974
Q4640131-1843100C-33E5-4EB4-9C7C-6A0DB9B451E9,51,51st United States Congress,1889-03-04,1891-03-04,Q4640131
Q4640286-3640E00F-22D3-406D-80C2-DE49F7C5D5D0,52,52nd United States Congress,1891-03-04,1893-03-04,Q4640286
Q4640415-890065FB-FBB6-4A10-A004-AFFFE3112C24,53,53rd United States Congress,1893-03-04,1895-03-04,Q4640415
