statement,id,name,start_date,end_date,wikidata
Q11291608-010fd311-4cab-1114-12de-1515eada2fa5,1,1st Riigikogu,1920-01-01,1923-01-01,Q11291608
Q16410260-a71be645-4d93-562b-5b44-4b300dceb90c,2,2nd Riigikogu,1923-06-07,1926-06-14,Q16410260
Q12364239-11c65402-418f-0b17-8b22-c4826d761906,3,3rd Riigikogu,1926-06-15,1929-06-14,Q12364239
Q16410597-5225bba0-45c9-5205-25fc-418a81f58a91,4,4th Riigikogu,1929-06-15,1932-06-14,Q16410597
Q12377911-21345c23-4076-17c9-63a1-82424cf5d245,5,5th Riigikogu,1932-06-15,1937-12-31,Q12377911
Q12377908-94e96e6f-4fd4-a690-8941-832edc2e2ee2,6,6th Riigikogu,1938-04-21,1940-04-19,Q12377908
Q12377905-07cbf751-46cf-4006-448d-1433b2c6faa2,7,7th Riigikogu,1992-09-30,1995-03-10,Q12377905
Q12377902-ba9940b3-4f24-a94c-c94d-bba90fffcd33,8,8th Riigikogu,1995-03-11,1999-03-13,Q12377902
Q12364289-96a91afe-4369-c64f-def6-484255b3d8cb,9,9th Riigikogu,1999-03-14,2003-03-21,Q12364289
Q653547-e1603b82-45bd-f755-9dcb-9345510f16f6,10,10th Riigikogu,2003-03-22,2007-03-26,Q653547
Q3352921-2fd77eb3-4701-7d05-34fb-883fd3a53461,11,11th Riigikogu,2007-03-27,2011-03-26,Q3352921
Q967549-df48be6f-46b1-b5b6-f5ac-c9e5a1fcb9d3,12,12th Riigikogu,2011-03-27,2015-03-23,Q967549
Q20530392-380f60aa-4147-b628-3ad1-9deb2d2882a2,13,13th Riigikogu,2015-03-30,2019-03-03,Q20530392
Q61975993-f8bbd778-48d1-dd49-a0da-6776708a46ff,14,14th Riigikogu,2019-04-04,"",Q61975993
