statement,id,constituency_id,party_id,start_date,end_date,term
Q11023034-14890548-8C8E-4B1E-B4CD-AD057F957180,Q11023034,Q3025278,Q738947,2015-04-09,2015-07-15,13
Q11023034-99966208-4339-a234-c8e8-75ec86d79ed3,Q11023034,Q3025278,Q738947,2019-02-07,"",13
Q11032994-DC7D9C04-8CF3-47B8-8580-02689A3EA609,Q11032994,,Q738947,2011-03-27,2013-12-04,12
Q11032994-D6DF90DB-4872-4FB9-A9CF-6D31A8F9434A,Q11032994,Q2972997,Q738947,2015-03-30,"",13
Q11158997-5e930942-4dfb-ab7a-ba87-4409aa68e5da,Q11158997,Q3025278,Q163347,2015-03-30,2015-04-08,13
Q11158997-998498ec-41c2-b927-f257-2eaf248d0b7b,Q11158997,Q3025278,Q163347,2017-06-12,"",13
Q11158997-7B31B1E2-1995-493F-A4FE-BD38C3292003,Q11158997,,Q163347,2011-03-27,2015-03-23,12
Q1149033-275BBE47-AE5C-4710-91C6-18B6B95C4E78,Q1149033,,Q163347,2011-03-27,2013-01-21,12
Q11716283-27fa6386-4a19-f7b2-91ba-60e015f9b29f,Q11716283,Q3032626,Q163347,2017-06-12,"",13
Q11716283-7A5AEBDC-A107-4540-9343-D59884547FA4,Q11716283,Q3032626,Q163347,2015-03-30,2015-04-08,13
Q11716283-9A411AB3-B7C2-459C-B817-37A9E67A1980,Q11716283,,Q163347,2011-03-27,2015-03-23,12
Q11857954-9C342C81-C128-48F9-AE63-150FC4113574,Q11857954,,Q928652,2011-03-27,2015-03-23,12
Q11857954-1D938723-A1B0-4C88-8682-B8AEC696C4B8,Q11857954,Q2972997,Q928652,2015-03-30,"",13
Q11869065-f5ab9b99-4b30-0f14-134e-d6a911d8b581,Q11869065,,Q738947,2012-07-02,2014-06-18,12
Q11869065-72BE528D-5D3C-4C2D-83B5-1B40429BE7C8,Q11869065,,Q738947,2011-03-27,2011-11-14,12
Q11869429-508E8768-C552-49DB-B8F8-B55E90AAFD20,Q11869429,Q3413626,Q738947,2015-03-30,"",13
Q11869429-1B1F30B1-8D23-4C7D-A6A2-6CACDFFDF4C2,Q11869429,,Q738947,2011-03-27,2015-03-23,12
Q12358062-4A197D5F-67E5-4397-8059-C8D8660378EC,Q12358062,,Q928652,2011-03-27,2013-10-31,12
Q12358062-60A53C8F-BAA4-4CE6-9B4D-2B075AA4C11F,Q12358062,Q3032626,Q928652,2015-03-30,"",13
Q12358088-7760F225-EA4D-4990-9313-0852C3EAB281,Q12358088,,Q738947,2011-03-27,2015-03-23,12
Q12358429-4BA4B38D-E695-4CB1-B515-1642CBE05E28,Q12358429,Q2420663,Q19276353,2015-03-30,"",13
Q12358481-6B0FDA0D-7C6A-47D0-98D8-237EAD3B8E42,Q12358481,Q3413626,Q738947,2015-03-30,"",13
Q12358481-180A4047-5A62-4E78-ADFE-2113515EEB22,Q12358481,,Q738947,2011-03-27,2015-03-23,12
Q12359125-EEF27E7E-F560-4B72-88ED-EFBCDE7188DE,Q12359125,,Q163347,2011-12-06,2014-03-26,12
