id,label,type
Q1195049,Minister of Crown-Indigenous Relations and Northern Affairs,cabinet
Q16821953,Associate Minister of National Defence,cabinet
Q16847971,Minister of Intergovernmental Affairs,cabinet
Q16848986,Minister for International Cooperation,cabinet
Q16931775,"Minister of Employment, Workforce, and Labour",cabinet
Q16933914,Minister of Public Safety and Emergency Preparedness,cabinet
Q16934886,Minister of National Defence for Air,cabinet
Q23890887,Minister of Infrastructure and Communities,cabinet
Q24190727,Minister of Small Business and Tourism,cabinet
Q3251775,Minister of the Environment,cabinet
Q3251779,Minister of Industry,cabinet
Q3251786,"Minister of Energy, Mines and Resources",cabinet
Q3251793,"Minister of Immigration, Refugees and Citizenship",cabinet
Q3251800,Minister of Health,cabinet
Q3251807,Minister of Veterans Affairs,cabinet
Q3251818,Minister of Finance,cabinet
Q3251819,Minister of Fisheries and Oceans,cabinet
Q3251821,Minister of Transport,cabinet
Q3251822,Minister of Mines,cabinet
Q3251824,Minister of Natural Resources,cabinet
Q3251837,Minister of Canadian Heritage,cabinet
Q3253692,President of the Treasury Board,cabinet
Q3315106,Minister of the Interior,cabinet
Q3315114,Minister of National Defence,cabinet
Q3315120,Minister of Justice,cabinet
Q3315374,Minister of Communications,cabinet
Q3556884,Deputy Prime Minister of Canada,cabinet
Q39059620,Minister of Indigenous Services,cabinet
Q4294939,Minister of Agriculture,cabinet
Q541355,Minister of Foreign Affairs of Canada,cabinet
Q6865789,Minister for Democratic Reform,cabinet
Q6865892,Minister for Internal Trade,cabinet
Q6866016,Minister for the purposes of the Atlantic Canada Opportunities Agency Act,cabinet
Q6866044,Minister of Aviation,cabinet
Q6866070,Minister of Constitutional Affairs,cabinet
Q6866194,"Minister of Families, Children and Social Development",cabinet
Q6866202,"Minister of Industry, Science and Technology",cabinet
Q6866242,Minister of Manpower and Immigration,cabinet
Q6866245,Minister of Militia and Defence,cabinet
Q6866251,Minister of Mines and Resources,cabinet
Q6866255,Minister of Multiculturalism and Citizenship,cabinet
Q6866261,Minister of National Defence for Naval Services,cabinet
Q6866264,Minister of National Revenue,cabinet
Q6866295,Minister of Public Services and Procurement,cabinet
Q6866332,Minister of Sport and Persons with Disabilities,cabinet
Q6866422,Minister of Western Economic Diversification,cabinet
Q6866462,Minister responsible for the Francophonie,cabinet
Q6866468,Minister responsible for the Status of Women,cabinet
Q7234363,Postmaster General of Canada,cabinet
Q748607,Minister of International Trade,cabinet
Q839078,Prime Minister of Canada,cabinet
