id,name,image,area,area_id,party,party_id,term,source,last_seen
357,BARRIOS SLOTHER MARIALBERT JULIANA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_647f68100da0aae9548163ca9394e2038306a90c.jpg,Distrito Capital,5,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/357,2016-07-28
358,DE ABREU GONCALVES YLIDIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_d204a75ca4cc1d96b022a9a7810715d94ecb8194.jpg,Carabobo,6,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/358,2016-07-28
359,PROSPERI MANUITT CARLOS MODESTO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_d716b2ae68f18a24ba30f13119fcc2ae6c55b5c4.jpg,Guarico,10,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/359,2016-07-28
360,PILIERI GIANNINOTO BIAGIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_2bc6479879515506275f50a9da2e8f58d7ce5b4e.jpg,Yaracuy,19,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/360,2016-07-28
361,LOZANO PARRA CARLOS ALBERTO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_e24ccf11800a0fd93e866ef186977943c8c81553.jpg,Carabobo,6,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/361,2016-07-28
362,FIGUERA TOVAR DINORAH JAXILDA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_bbcce7364b522c31a0e7761f4d03e505399c3d7a.jpg,Aragua,2,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/362,2016-07-28
363,PAPARONI DURÁN JESÚS ALEXIS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_e248d4be8001e248fe2cc79e9212c21606e83201.jpg,Mérida,14,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/363,2016-07-28
364,VERGARA GONZÁLEZ SERGIO DE,http://www.asambleanacional.gob.ve/uploads/diputado/dip_0a57868ad319359b8d8b72cbd450a69ee79df987.jpg,Táchira,1,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/364,2016-07-28
365,FLORES FIGUEREDO ROMNY OSCAR,http://www.asambleanacional.gob.ve/uploads/diputado/dip_00b6429d7dcbb13e74928d519e911788eb431a41.jpg,Carabobo,6,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/365,2016-07-28
366,ÁLVAREZ GIL ÁNGEL LUIS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_43b4a3d96fd06e5be7d87118667b25e2b9d90f71.jpg,Carabobo,6,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/366,2016-07-28
367,PRAT QUEVEDO JOSÉ LEONARDO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_e73d7b32212a4577ab5e97e7a4204e4cc33e31fd.jpg,Bolivar,17,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/367,2016-07-28
368,STEFANELLI BARJACOBA LUIS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_9d6a152b1d0d5a553345221f8a246d086e4fe480.jpg,Falcón,16,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/368,2016-07-28
369,PAZ MENDOZA FREDDY SEGUNDO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_2313d5773b1cb967c7e70500c0f16b542c976de8.jpg,Zulia,15,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/369,2016-07-28
371,BELISARIO SOCORRO AMELIA GERALDINE,http://www.asambleanacional.gob.ve/uploads/diputado/dip_d7ebc1359b43956518a9378c242db46171835793.jpg,Aragua,2,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/371,2016-07-28
372,SÁNCHEZ EULATE MILAGROS SUSANA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_77c034da756d522253148d627c005b468092ad11.jpg,Vargas,23,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/372,2016-07-28
373,MORENO CIRIMELE LUIS AQUILES,http://www.asambleanacional.gob.ve/uploads/diputado/dip_7e063235ffe8b1cddb1b0f81dceca55e7ad14b25.jpg,Miranda,8,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/373,2016-07-28
374,MATTA WEHBE ELÍAS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_00557d07356d11c2e2c79535a740fc34d5b4b56c.jpg,Zulia,15,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/374,2016-07-28
375,ARELLANO GABY ANDREINA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_7b951739593ab746ad1eb8dde362b09fb24a6fee.jpg,Táchira,1,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/375,2016-07-28
376,MILLÁN TORREALBA JORGE ALBERTO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_18a8f8d0f72481fb2a67da66a03310339d25372d.jpg,Distrito Capital,5,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/376,2016-07-28
377,BRITO RODRÍGUEZ  JOSÉ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_686c568d7618494a6f478e07e6099832906e46a0.jpg,Anzoátegui,13,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/377,2016-07-28
378,GIL LINARES WILLIAMS ALEXANDER,http://www.asambleanacional.gob.ve/uploads/diputado/dip_7fd5d1f0fc8429cec51186d8c49856edb21764a9.jpg,Carabobo,6,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/378,2016-07-28
