id,name,image,area,area_id,party,party_id,term,source,last_seen
1,ELVIS EDUARDO AMOROSO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_20caf4a413264a03883277390e8c6d3f5cb92ea3.jpg,Aragua,2,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/1,
10,ÁNGEL EDUARDO GÓMEZ SIGALA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_6fd4016622aac21fa1e14462b4e029def423351c.jpg,Lara,7,INDEPENDIENTE,4,3,http://www.asambleanacional.gob.ve/diputado/id/10,
100,NELSON ENRIQUE ESCOBAR,http://www.asambleanacional.gob.ve/uploads/diputado/dip_cf663ad0bb09c57ab84d2b22b1648716f15ca7d6.jpg,Portuguesa,22,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/100,
101,JUAN FRANCISCO GARCÍA ESCALONA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_f5e092aa2716a9afad413278b3365eb27c9a85b3.jpg,Apure,20,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/101,
102,SILVIO DE JESÚS MORA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_d6f1edda9c0069b583fd601b20c6b3c05c93ad95.jpg,Portuguesa,22,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/102,
103,JOSÉ GREGORIO HERNÁNDEZ MARTÍNEZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_a709e442c9e8fd47ddd0d9d00eed6fac035251d2.jpg,Aragua,2,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/103,
104,ELIÉZER RAMÓN SIRIT,http://www.asambleanacional.gob.ve/uploads/diputado/dip_c8dcd622f950bd27607adbb91c3e7893c61c20ad.jpg,Falcon,16,AD,8,3,http://www.asambleanacional.gob.ve/diputado/id/104,
105,IVÁN JOSÉ COLMENARES BETANCOURT,http://www.asambleanacional.gob.ve/uploads/diputado/dip_e190152f773b70455f96a8231ff5ad40614a97db.jpg,Portuguesa,22,INDEPENDIENTE,4,3,http://www.asambleanacional.gob.ve/diputado/id/105,
106,HOMERO JOSÉ RUÍZ VIVAS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_89ffbc872d47a0d5f9590cf2a525cb41082dd62d.jpg,Táchira,1,COPEI,7,3,http://www.asambleanacional.gob.ve/diputado/id/106,
107,JESÚS RAFAEL PARAQUEIMA ARICAGUÁN,http://www.asambleanacional.gob.ve/uploads/diputado/dip_47383ecf7244a477689e475778e02873ee5ccb58.jpg,Anzoategui,13,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/107,
108,JOSÉ LUIS GONZÁLEZ GONZÁLEZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_8aecaf3b8a47b2bbe2db14345c6e33bffed8ecfa.jpg,Representación Indígena,24,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/108,
109,ARCADIO JOSÉ MONTIEL,http://www.asambleanacional.gob.ve/uploads/diputado/dip_21eb6f3272a93c7abed113813ecc11193a6221c7.jpg,Representación Indígena,24,PJ,5,3,http://www.asambleanacional.gob.ve/diputado/id/109,
110,MODESTO ANTONIO RUÍZ ESPINOZA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_767502df1cb85bead0f476f49ab7b9f94aad502d.jpg,Miranda,8,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/110,
111,ESTEBAN ARGELIO PÉREZ RAMOS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_85b8d3fb7f6bb9b951a299118f2ef8ed318e2ba1.jpg,Representación Indígena,24,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/111,
112,CÉSAR ALEJANDRO SANGUINETTI MAYABIRO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_99e315de995ed71dfb2b0ea4a4d6e19b2101724b.jpg,Amazonas,25,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/112,
113,LOA DEL VALLE TAMARONIS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_9b552b53ecbb48a1b00b4392e9f61a2b8f883c1d.jpg,Delta Amacuro,4,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/113,
114,ÉDGAR JOSÉ ZAMBRANO RAMÍREZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_9d69163a45f90ca8ddc07b2643241204e2e43777.jpg,Lara,7,AD,8,3,http://www.asambleanacional.gob.ve/diputado/id/114,
115,NIRMA ESTELA GUARULLA GARRIDO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_0bc1b6751fc8d33b375776bfb6000b4bcb3563e0.jpg,Amazonas,25,Movimiento Progresista de Venezuela,18,3,http://www.asambleanacional.gob.ve/diputado/id/115,
116,JUAN BERNARDO ROMERO HERNÁNDEZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_dccc91fcd8160fecc9f936e09959e5aa6ee416c6.jpg,Zulia,15,UNT,6,3,http://www.asambleanacional.gob.ve/diputado/id/116,
117,DARÍO VIVAS VELÁSCO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_75af2019eeb97deec6b847dadfa7ec54f9abce49.jpg,Distrito Capital,5,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/117,
118,EARLE JOSÉ HERRERA SILVA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_f96e8ee35571e9cd3f5860f6a98b730e079aed3f.jpg,Anzoategui,13,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/118,
119,BLANCA ROSA EEKHOUT GÓMEZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_3726d201e10be649d34fe28f4b292d26fc81a82c.jpg,Portuguesa,22,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/119,
120,TANIA VALENTINA DÍAZ GONZÁLEZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_6178661be3edffde0fdf6f2a834518e38f662458.jpg,Distrito Capital,5,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/120,
122,JHONNY JOSÉ GONZÁLEZ SALGUERO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_f975311425e7c00dfd1f34d08b6145cb17a44594.jpg,Apure,20,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/122,
123,MIRIAM FLOR BERDUGO DE,http://www.asambleanacional.gob.ve/uploads/diputado/dip_3569fe4aea63204cd04ac0dba4c50193b280900d.jpg,Apure,20,AD,8,3,http://www.asambleanacional.gob.ve/diputado/id/123,
124,BIAGIO PILIERI GIANNINOTO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_c91a3f7bedfe66725834a8b1a2e17c0cf2ff9b0c.jpg,Yaracuy,19,CONVERGENCIA,15,3,http://www.asambleanacional.gob.ve/diputado/id/124,
125,MARCOS JOSÉ FIGUEROA MEDINA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_a1aba4da13ab6355f9a7e6183546eda78010c342.jpg,Anzoategui,13,INDEPENDIENTE,4,3,http://www.asambleanacional.gob.ve/diputado/id/125,
126,WILLIAM RAMÓN BARRIENTOS VICUÑA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_64e0c059636edbd00520173654b5330c8d59dd8b.jpg,Zulia,15,UNT,6,3,http://www.asambleanacional.gob.ve/diputado/id/126,
127,LEOMAGNO FLORES ALVARADO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_68fdb7cea61561e98f18a75909d8b5d5f91a0e82.jpg,Táchira,1,AD,8,3,http://www.asambleanacional.gob.ve/diputado/id/127,
128,GEOVANNI JOSÉ PEÑA GONZÁLEZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_4b1636d51f767d871108b9de24da0d1053a94684.jpg,Barinas,21,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/128,
129,GUIDO RAFAEL OCHOA GRAVINA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_8d85b6cb779896c3e5fd9d3f7b75a2903e365a08.jpg,Merida,14,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/129,
13,IVÁN STALIN GONZÁLEZ MONTAÑO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_5211204c396eea0e85e7e280e380c6e83d3bfa9f.jpg,Distrito Capital,5,UNT,6,3,http://www.asambleanacional.gob.ve/diputado/id/13,
130,ALEJANDRO RAMÓN VILLANUEVA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_f93abf26a458a2461443ab2ee6e5a2f6151686fc.jpg,Cojedes,11,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/130,
131,BETTY CRÓQUER REBOLLEDO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_d0051130df1f83ae94003d4adb4205f725ccec3b.jpg,Aragua,2,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/131,
132,MIRIAM GRACIELA PÉREZ GOITÍA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_7eeb1b4f1f4af60f032449dea74d4e29d7a959ba.jpg,Carabobo,6,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/132,
133,CARLOS EDUARDO BERRIZBEITIA GILIBERTI,http://www.asambleanacional.gob.ve/uploads/diputado/dip_6a492e4bfa72b58a4e540ab6655c05f54eea637a.jpg,Carabobo,6,PV,9,3,http://www.asambleanacional.gob.ve/diputado/id/133,
134,JULIO HARON YGARZA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_7257b7f65b25c8ed467c4956a2cc21877a5e4067.jpg,Amazonas,25,Movimiento Progresista de Venezuela,18,3,http://www.asambleanacional.gob.ve/diputado/id/134,
135,ENRIQUE AGUSTÍN CATALÁN ZAPICO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_12db217aeecd653dc6fd34fe430883fe2dad5a79.jpg,Trujillo,3,UNT,6,3,http://www.asambleanacional.gob.ve/diputado/id/135,
136,MIGUEL ÁNGEL RODRÍGUEZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_5481ad22bbaffd12c28613bea50e273721ffba86.jpg,Táchira,1,INDEPENDIENTE,4,3,http://www.asambleanacional.gob.ve/diputado/id/136,
137,GLADYS DEL VALLE REQUENA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_eec7024c871aba79e9d9f306d6b5390c527ba719.jpg,Vargas,23,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/137,
138,CRISTÓBAL LEOBARDO JIMÉNEZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_26e38c01060c7f3eb3bc369eef1c2fa2cc3e9d84.jpg,Apure,20,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/138,
140,SERGIO ENRIQUE FUENMAYOR VILLALOBOS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_7a8bf174ca7fe590dfbdbb39e23479e63194ed2d.jpg,Zulia,15,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/140,
142,VÍCTORIA MERCEDES MATA GARCÍA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_781cb9c9f0d953ac1d15fff66383d1d3529b236c.jpg,Bolivar,17,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/142,
144,CÉSAR ENRIQUE RINCONES LUNA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_8897a76a8c652df0ded0e78f2c0cc083b1875d7c.jpg,Sucre,9,AD,8,3,http://www.asambleanacional.gob.ve/diputado/id/144,
145,DENNIS YURAMIS FERNÁNDEZ SOLÓRZANO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_a704e002e6f7635ae9b2072b8fed190acd867d37.jpg,Cojedes,11,AD,8,3,http://www.asambleanacional.gob.ve/diputado/id/145,
146,FREDDY SEGUNDO PAZ MENDOZA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_3a0d5c16b63c945f8e40a49368954da396c7abea.jpg,Zulia,15,UNT,6,3,http://www.asambleanacional.gob.ve/diputado/id/146,
147,DINORAH JAXILDA FIGUERA TOVAR,http://www.asambleanacional.gob.ve/uploads/diputado/dip_e9f782aae086bc724888685d7e90b79169035e8e.jpg,Distrito Capital,5,PJ,5,3,http://www.asambleanacional.gob.ve/diputado/id/147,
148,MARÍA DE LOURDES LEÓN,http://www.asambleanacional.gob.ve/uploads/diputado/dip_c8429688a48a73befa930cf839c13ab50060cc0f.jpg,Aragua,2,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/148,
149,MARLENY JOSEFINA CONTRERAS HERNÁNDEZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_9de33a1f51306e60b7f4676290bbec7cba99b6ae.jpg,Miranda,8,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/149,
15,JESÚS LEONARDO CEPEDA VILLAVICENCIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_44e298bb299936feeb98d133bf9ed299d78c6ce9.jpg,Guarico,10,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/15,
150,ODALIS RAQUEL MONZÓN GUEVARA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_d25c24408270bcb5bd447da85e7f3becf5680114.jpg,Vargas,23,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/150,
151,LIRIS SOL MARGARITA VELÁSQUEZ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_123dd821bd36079b4b5ce1b5bc41b2bdf4964fb1.jpg,Bolivar,17,PSUV,1,3,http://www.asambleanacional.gob.ve/diputado/id/151,
