id,name,party,area,term,source
1,AKOGHET Gisèle,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
2,ANGANGOU Estelle Flore,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
3,ANGARA Alphonse,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
4,ANGO NDOUTOUME François,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
5,ANGOUE Samuel,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
6,ANGWE ABOUGHE André,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
7,AZIZET Berthe,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
8,BAL’ABONDHOUME Irène Farelle épse KOUNDE,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
9,BARRO CHAMBRIER Hugues Alexandre,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
10,BAYOGHA NEMBE Célestin,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
11,BERRE André Dieudonné,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
12,BIE EYENE Paul,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
13,BINET Modeste,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
14,BIYOGHE BI MBA Paul,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
15,BIYOGHE BI-NZUE Nicaise,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
16,BOUKILA Jean Pierre,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
17,BOUKOUBI Faustin,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
18,BOUNGOUERES Alain Simplice,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
19,BOUTAMBA MBINA Alexis,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
20,DOUPAMBY MATOKA Marcel,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
21,EDZEBA-BICKE Steve Thierry,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
22,ELLA MENIE Vincent de Paul,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
23,ESSIE EMANE Paul,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
24,EYAMBA TSIMAT Maurice Nestor,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
25,GONDJOUT Vincent de Paul,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
26,IDOUNDOU Emmanuel,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
27,IGNOUMBA Jonathan,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
28,INDOUMOU MAMBOUNGOU Barnabé,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
29,IVALA Clotaire Christian,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
103,KAH Gervais Landry,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
30,KOUMBA TENGO Bruce,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
31,LATE Emmanuel,PDG,"",12,http://www.assemblee-nationale.ga/object.getObject.do?id=190
