id,wikidata
07b1647d-307e-478b-8dbb-324e7cbacf96,Q212101
a5d735b9-2404-46d9-a1fd-7db2fb1e674b,Q217321
2704139b-2309-4c2e-9a0f-8c9fc2c79c8c,Q25785
eda2c4b5-64d3-4455-9b77-bb6a07192f8b,Q327591
cf843307-3b55-4ac5-9477-605d15d69e4d,Q478180
c209f476-318e-4268-9103-a655014f3a82,Q4993661
619180e0-82fd-4879-8357-6a197d6a5df8,Q507170
56141aaf-2dbe-4854-bc1c-c78e31dd1bad,Q571175
5721f931-86bb-4369-bcfb-0b0a3eaf7060,Q615603
ed4d24e7-06cb-4bb7-8ae5-12e34c5535d9,Q615603
5358935d-a10f-4795-ab65-3a91fc940253,Q750962
73fb9494-ffbf-45a5-b4c3-4c57eb309c09,Q753751
cf9c33d4-faaa-4be1-a554-45b03598538a,Q856027
bd319180-55cd-4f45-945a-21aace785ad3,Q902619
5091a679-12a7-471b-8a71-cd7521890f20,Q916161
40c10da4-57fb-4525-b6c7-6e43f22f8847,Q932342
1a725032-0e8e-4958-96f1-a5207c4b494e,Q932400
7e4d6abe-d3bc-4884-956f-66b9fb354932,Q1054386
bc92450f-df2b-4ac0-a5c9-aadf76f46787,Q1128374
1719bea9-6993-4f2d-8e5d-b2bac308917a,Q1455237
5ed07846-9104-4581-960e-03c95b994d75,Q1455237
0b7d9ebb-5bd0-4207-9a85-383c62af8488,Q1789199
42e17831-73fa-4f28-b1a5-f2f33c93eab0,Q1789199
df4a38b5-b6f8-4fdf-a8ad-f901707a67bf,Q1789199
c6849f23-73d0-4d3f-8f84-5b89f7c33954,Q18042964
