id,name,party,faction,source,image,term,name__ar,name__en
aabdellaoui,Abdellah ABDELLAOUI,Justice and Development Party,Group of Justice and Development,http://www.chambredesrepresentants.ma/en/m/aabdellaoui-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_319.jpg?itok=-gazwy8V,9,عبد الله عبدلاوي,Abdellah ABDELLAOUI
aabdelmoula,Abdelali ABDELMOULA,Justice and Development Party,Group of Justice and Development,http://www.chambredesrepresentants.ma/en/m/aabdelmoula-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_202.jpg?itok=Jx43yb2-,9,عبد العالي عبد المولى,Abdelali ABDELMOULA
aaberni,Abdallah ABERNI,National Rally of Independents,Group of the National Rally of Independents,http://www.chambredesrepresentants.ma/en/m/aaberni-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_258.jpg?itok=SoUY4xxX,9,عبد الله ابرني,Abdallah ABERNI
aaboufaris,Abdellah ABOUFARIS,Independence Party,Group istiqlali of unity and egalitarianism,http://www.chambredesrepresentants.ma/en/m/aaboufaris-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_180.jpg?itok=XRZ79UDC,9,عبد الله ابو فارس,Abdellah ABOUFARIS
aaderrak,Ahmed ADERRAK,Justice and Development Party,Group of Justice and Development,http://www.chambredesrepresentants.ma/en/m/aaderrak-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_261.jpg?itok=Na57p9t8,9,أحمد أدراق,Ahmed ADERRAK
aaftati,Abdelaaziz AFTATI,Justice and Development Party,Group of Justice and Development,http://www.chambredesrepresentants.ma/en/m/aaftati-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_105.jpg?itok=_-T9M0Ca,9,عبد العزيز افتاتي,Abdelaaziz AFTATI
aaguedach,Abdessamad AGUEDACH,National Rally of Independents,Group of the National Rally of Independents,http://www.chambredesrepresentants.ma/en/m/aaguedach-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_366.jpg?itok=jrXk-zjB,9,عبد الصمد اكداش,Abdessamad AGUEDACH
aahrarad,Abdelghafour AHRARAD,Independence Party,Group istiqlali of unity and egalitarianism,http://www.chambredesrepresentants.ma/en/m/aahrarad-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_409.jpg?itok=TuVic9hc,9,عبد الغفور احرراد,Abdelghafour AHRARAD
aaitlaadila,Abdelmajid AIT LAADILA,Justice and Development Party,Group of Justice and Development,http://www.chambredesrepresentants.ma/en/m/aaitlaadila-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_126.jpg?itok=gDlsJk0X,9,عبد المجيد ايت العديلة,Abdelmajid AIT LAADILA
aaitouna,Ahmed AITOUNA,Justice and Development Party,Group of Justice and Development,http://www.chambredesrepresentants.ma/en/m/aaitouna-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_300.jpg?itok=72HlosZv,9,احمد ايتونة,Ahmed AITOUNA
aakfas,Abdellah AKFAS,Justice and Development Party,Group of Justice and Development,http://www.chambredesrepresentants.ma/en/m/aakfas-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_406.jpg?itok=kqBe-yx2,9,عبد الله اكفاس,Abdellah AKFAS
aallaoui,Abdelhalim ALLAOUI,Justice and Development Party,Group of Justice and Development,http://www.chambredesrepresentants.ma/en/m/aallaoui-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_306.jpg?itok=rwkrzBDK,9,عبد الحليم علاوي,Abdelhalim ALLAOUI
aamghar,Abdelhak AMGHAR,Socialist Union of Popular Forces,Group of the Socialist Union of Popular Forces,http://www.chambredesrepresentants.ma/en/m/aamghar-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_224.jpg?itok=7nReUl56,9,عبد الحق امغار,Abdelhak AMGHAR
aamrani,AMINA EL OMRANI EL IDRISSI,Justice and Development Party,Group of Justice and Development,http://www.chambredesrepresentants.ma/en/m/aamrani-2011-2016,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture-58-1436963416.jpg?itok=XseeOzXX,9,أمينة العمراني الإدريسي,AMINA EL OMRANI EL IDRISSI
