name,area_id,area,party,term,source,wikiname
Atalina Asifoa,17,Leasina,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Faimealelei Anthony Fu’e Allen,11,Maoputasi,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Fetu Fetui Jr.,1,Manu'a,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Larry Simou Sanitoa,15,Tualauta,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",Larry Sanitoa
Legae’e Mauga,3,Vaifanua,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Manumaua Wayne Wilson,12,Ituau,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Maugaoali’i Sipa Anoa’i,8,Maoputasi,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Mulinu’u Vae’iaitu Filo Maluia,12,Ituau,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Puleleiite Lia Tufele Jr.,5,Sua,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Puletu D. Koko,13,Fofo,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Savali Talavou Ale,14,Alataua,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",Savali Talavou Ale
Talaimatai Elisara Su’a,4,Saole,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Timusa Tini Lam Yuen,16,Tualautai,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Toea’ina F. Autele,2,Manu'a,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Vailoata Eteuati Amituana’i,7,Maoputasi,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Vesi Talalelei Fautanu Jr.,1,Manu'a,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",""
Vui Florence Tuaumu Saulo,15,Tualauta,Independent,2014,"https://en.wikipedia.org/wiki/American_Samoan_general_election,_2014",Vui Florence Saulo
