constituency,name,wikipedia,party,source,term
Chobe,Ronald Shamukuni,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Maun East,Kostantinos Markus,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Maun West,Tawana Moremi,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Ngami,Thato Kwerepe,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Okavango,Bagalatia Arone,"",BCP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Tati East,Guma Moyo,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Tati West,Biggie Butale,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Francistown East,Buti Billy,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Francistown South,Wynter Mmolotsi,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Francistown West,Mokwaledi Moswaane,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Nata-Gweta,Polson Majaga,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Nkange,Edwin Batshu,http://en.wikipedia.org/wiki/Edwin_Batshu,BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Shashe West,Fidelis Molao,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Tonota,Thapelo Olopeng,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Bobonong,Shaw Kgathi,http://en.wikipedia.org/wiki/Shaw_Kgathi,BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Mmadinare,Kefentse Mzwinila,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Selibe Phikwe East,Nonofo Molefhi,http://en.wikipedia.org/wiki/Nonofo_Molefhi,BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Selibe Phikwe West,Dithapelo Keorapetse,"",BCP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Lerala-Maunalala,Prince Maele,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Palapye,Moiseraela Goya,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Sefhare-Ramokgonami,Dorcus Makgatho-Malesu,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Mahalapye East,Botlogile Tshireletso,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Mahalapye West,Joseph Molefe,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Shosong,Dikgang Makgalemele,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Serowe North,Kgotla Autlwetse,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Serowe West,Tshekedi Khama II,http://en.wikipedia.org/wiki/Tshekedi_Khama_II,BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Serowe South,Pelonomi Venson-Moitoi,http://en.wikipedia.org/wiki/Pelonomi_Venson-Moitoi,BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Boteti East,Lelatisitswe Sethomo,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Boteti West,Slumber Tsogwane,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Mochudi East,Isaac Davids,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Mochudi West,Gilbert Mangole,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Gaborone Central,Phenyo Butale,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Gaborone North,Haskins Nkaigwa,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Gaborone South,Kagiso Molatlhegi,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Gaborone Bonnington North,Duma Boko,http://en.wikipedia.org/wiki/Duma_Boko,UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Gaborone Bonnington South,Ndaba Gaolathe,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Tlokweng,Same Bathobakae,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Ramotswa,Samuel Rantuana,"",BCP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Mogodtishane,Sedirwa Kgoroba,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Gabane-Mmankgodi,Pius Mokgware,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Thamaga-Kumakwane,Tshenolo Mabeo,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Molepolole North,Mohammed I. Khan,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Molepolole South,Tlamelo Mmatli,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Lentswaeletau-Mmopane,Vincent Seretse,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Letlhakeng-Lephephe,Liakat Kablay,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Takatokwane,Ngaka Ngaka,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Lobatse,Sadique Kebonang,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Goodhope-Mabule,James Mathokgwane,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Mmathethe-Molapowabojang,Alfred Madigele,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Kanye North,Patrick Ralotsia,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Kanye South,Abram Kesupile,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Moshupa-Manyana,Mokgweetsi Masisi,http://en.wikipedia.org/wiki/Mokgweetsi_Masisi,BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Jwaneng-Mabutsane,Shawn Ntlhaile,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Kgalagadi North,Itumeleng Moipisi,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Kgalagadi South,Frans Van Der Westhuizen,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Ghanzi North,Noah Salakae,"",UDC,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
Ghanzi South,Christiaan De Graaff,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
"",Kenneth Matambo,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
"",Unity Dow,http://en.wikipedia.org/wiki/Unity_Dow,BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
"",Eric Molale,"",BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
"",Kitso Mokaila,http://en.wikipedia.org/wiki/Kitso_Mokaila,BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
"",Ian Khama,http://en.wikipedia.org/wiki/Ian_Khama,BDP,http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
"",Athaliah Molokomme,http://en.wikipedia.org/wiki/Athaliah_Molokomme,"",http://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014
