id,name,area,category,party,term,deceased,source,birth_date,email,image
137,محمد بلال,اللاذقية,(ب) قطاع باقي فئات الشعب,حزب البعث العربي الاشتراكي,2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=137&RID=&Last=274&First=0&CurrentPage=1&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1949-01-01,,http://parliament.gov.sy/SD08/msf/1432462569_.png
50,هاشم الأتاسي,دمشق,(ب) قطاع باقي فئات الشعب,حركة الإشتراكيين العرب,2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=50&RID=&Last=274&First=0&CurrentPage=2&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1875-01-01,,http://parliament.gov.sy/SD08/msf/1407276514_.jpg
51,سعيد حيدر,دمشق,"","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=51&RID=&Last=274&First=0&CurrentPage=0&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1800-01-01,,""
52,عبد القادر الخطيب,"","","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=52&RID=&Last=274&First=0&CurrentPage=1&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1800-01-01,,""
53,فوزي البكري,"","","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=53&RID=&Last=274&First=0&CurrentPage=1&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1800-01-01,,""
54,وصفي الأتاسي,"","","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=54&RID=&Last=274&First=0&CurrentPage=2&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1800-01-01,,""
55,ابراهيم هنانو,"","","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=55&RID=&Last=274&First=0&CurrentPage=0&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1862-01-01,,""
67,علي الكايد,"","","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=67&RID=&Last=274&First=0&CurrentPage=1&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1800-01-01,,""
68,دعاس جرجس,"","","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=68&RID=&Last=274&First=0&CurrentPage=0&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1800-01-01,,""
69,رياض الصلح,"","","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=69&RID=&Last=274&First=0&CurrentPage=0&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1800-01-01,,""
70,سعد الله الجابري,دمشق,"","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=70&RID=&Last=274&First=0&CurrentPage=0&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1800-01-01,,""
71,مرعي باشا,دمشق,"","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=71&RID=&Last=274&First=0&CurrentPage=2&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1800-01-01,,""
72,فارس الخوري,دمشق,"","",2012,"",http://parliament.gov.sy/arabic/index.php?node=211&nid=72&RID=&Last=274&First=0&CurrentPage=1&FName=&LName=&City=&Cat=&Mem=&Com=&Aso=&or=&,1800-01-01,,""
