id,name,name__ru,party,party__ru,image,term,source
31705,Ryspaev Kozhobek Dzhajchybekovich,Рыспаев Кожобек Джайчыбекович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31705-Ryspaev_Kozhobek_Dzhajchybekovich_Frakciya_SDPK.aspx
31708,Sabirov Maksat Esenovich,Сабиров Максат Эсенович,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31708-Sabirov_Maksat_Esenovich__Frakciya_Respublika__Ata_ZHurt.aspx
31714,Salyanova Aida ZHenishbekovna,Салянова Аида Женишбековна,Ata Meken,"""Ата Мекен""","",6,http://www.kenesh.kg/RU/Articles/31714-Salyanova_Aida_ZHenishbekovna_Frakciya_Ata_Meken.aspx
33760,Samaev Urmat Obozbekovich frakciya Kyrgyzstan,Самаев Урмат Обозбекович,"",фракция «Кыргызстан»,http://www.kenesh.kg/MyFiles/image/%D0%A1%D0%B0%D0%BC%D0%B0%D0%B5%D0%B2%20%D1%84%D0%BE%D1%82%D0%BE.JPG,6,http://www.kenesh.kg/RU/Articles/33760-Samaev_Urmat_Obozbekovich__frakciya_Kyrgyzstan.aspx
31765,Samatov ZHyrgalbek Alimbaevich,Саматов Жыргалбек Алимбаевич,"","","",6,http://www.kenesh.kg/RU/Articles/31765-Samatov_ZHyrgalbek_Alimbaevich_.aspx
32543,Samigullina Alfiya Eldarovna,Самигуллина Альфия Эльдаровна,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/32543-Samigullina_Alfiya_Eldarovna__Frakciya_SDPK.aspx
31718,Satybaldiev Kyyanbek Urmamatovich,Сатыбалдиев Кыянбек Урмаматович,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/_MG_9864a1.jpg,6,http://www.kenesh.kg/RU/Articles/31718-Satybaldiev_Kyyanbek_Urmamatovich_Frakciya_SDPK.aspx
31720,Skripkina Galina Anatolevna,Скрипкина Галина Анатольевна,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31720-Skripkina_Galina_Anatolevna__Frakciya_SDPK.aspx
31721,Strokova Evgeniya Grigorevna,Строкова Евгения Григорьевна,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31721-Strokova_Evgeniya_Grigorevna__Frakciya_SDPK.aspx
34071,Subanbekov Bakirdin ZHamalovich,Субанбеков Бакирдин Жамалович,Bir Bol,«Бир Бол»,"",6,http://www.kenesh.kg/RU/Articles/34071-Subanbekov_Bakirdin_ZHamalovich__Frakciya_Bir_Bol.aspx
31723,Sulajmanov Altynbek Turdubaevich,Сулайманов Алтынбек Турдубаевич,Bir Bol,"""Бир Бол""","",6,http://www.kenesh.kg/RU/Articles/31723-Sulajmanov_Altynbek_Turdubaevich__Frakciya_Bir_Bol.aspx
31727,Sulejmanov Baxadyr Iskakovich,Сулейманов Бахадыр Искакович,Ata Meken,"""Ата Мекен""","",6,http://www.kenesh.kg/RU/Articles/31727-Sulejmanov_Baxadyr_Iskakovich__Frakciya_Ata_Meken.aspx
31728,Sultanbekova CHolpon Aalyevna,Султанбекова Чолпон Аалыевна,Kyrgyzstan,"""Кыргызстан"" Султанбекова Чолпон Аалыевна - ""Кыргызстан"" парламенттик фракциясы",http://www.kenesh.kg/MyFiles/image/%D0%A1%D1%83%D0%BB%D1%82%D0%B0%D0%BD%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%D0%B0%20%D0%A7_%20%D0%90_.JPG,6,http://www.kenesh.kg/RU/Articles/31728-Sultanbekova_CHolpon_Aalyevna__Frakciya_Kyrgyzstan.aspx
31729,Sultanov Abdykapar Madanbekovich,Султанов Абдыкапар Маданбекович,OnuguuProgress,"""Өнүгүү-Прогресс""","",6,http://www.kenesh.kg/RU/Articles/31729-Sultanov_Abdykapar_Madanbekovich__Frakciya_OnuguuProgress.aspx
31732,Surabaldieva Elvira ZHyrgalbekovna,Сурабалдиева Эльвира Жыргалбековна,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31732-Surabaldieva_Elvira_ZHyrgalbekovna_Frakciya_SDPK.aspx
31736,Sydykov Baktybek Usenovich,Сыдыков Бактыбек Усенович,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31736-Sydykov_Baktybek_Usenovich_Frakciya_Respublika__Ata_ZHurt.aspx
31738,Tekebaev Omurbek CHirkeshovich,Текебаев Омурбек Чиркешович,Ata Meken,«Ата Мекен»,"",6,http://www.kenesh.kg/RU/Articles/31738-Tekebaev_Omurbek_CHirkeshovich_Frakciya_Ata_Meken.aspx
31740,Tillaev Taabaldy Gapyrovich,Тиллаев Таабалды Гапырович,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31740-Tillaev_Taabaldy_Gapyrovich_Frakciya_Respublika__Ata_ZHurt.aspx
33759,Toktorov Almazbek Satievich frakciya Kyrgyzstan,Токторов Алмазбек Сатиевич,"",фракция «Кыргызстан»,http://www.kenesh.kg/MyFiles/image/%D0%A2%D0%BE%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2_%D1%84%D0%BE%D1%82%D0%BE.jpg,6,http://www.kenesh.kg/RU/Articles/33759-Toktorov_Almazbek_Satievich__frakciya_Kyrgyzstan.aspx
31742,Toktoshev Emil Toktakunovich,Токтошев Эмиль Токтакунович,Ata Meken,«Ата Мекен»,"",6,http://www.kenesh.kg/RU/Articles/31742-Toktoshev_Emil_Toktakunovich__Frakciya_Ata_Meken.aspx
31744,Tolonov Daniyar Ermekovich,Толонов Данияр Эрмекович,Kyrgyzstan,"""Кыргызстан""","",6,http://www.kenesh.kg/RU/Articles/31744-Tolonov_Daniyar_Ermekovich__Frakciya_Kyrgyzstan.aspx
31747,Torobaev Bakyt Ergeshevich,Торобаев Бакыт Эргешевич,OnuguuProgress,"""Өнүгүү-Прогресс""","",6,http://www.kenesh.kg/RU/Articles/31747-Torobaev_Bakyt_Ergeshevich__Frakciya_OnuguuProgress.aspx
31750,Tulendybaev Parxat Rozymovich,Тулендыбаев Пархат Розымович,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31750-Tulendybaev_Parxat_Rozymovich__Frakciya_Respublika__Ata_ZHurt.aspx
31751,Tumanbaeva Rada Muratalyevna,Туманбаева Рада Мураталыевна,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31751-Tumanbaeva_Rada_Muratalyevna__Frakciya_Respublika__Ata_ZHurt.aspx
31753,Tursunbaev Azizbek Atakozuevich,Турсунбаев Азизбек Атакозуевич,Kyrgyzstan,"""Кыргызстан""","",6,http://www.kenesh.kg/RU/Articles/31753-Tursunbaev_Azizbek_Atakozuevich__Frakciya_Kyrgyzstan.aspx
31754,Tursunbekov CHynybaj Akunovich,Турсунбеков Чыныбай Акунович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31754-Tursunbekov_CHynybaj_Akunovich_Frakciya_SDPK.aspx
31755,Turuskulov ZHyrgalbek Kuruchbekovich,Турускулов Жыргалбек Куручбекович,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31755-Turuskulov_ZHyrgalbek_Kuruchbekovich__Frakciya_Respublika__Ata_ZHurt.aspx
31756,Uzakbaev Abylkajyr Osmonbekovich,Узакбаев Абылкайыр Осмонбекович,OnuguuProgress,"""Өнүгүү-Прогресс""",http://www.kenesh.kg/MyFiles/image/_MG_5722a(1).jpg,6,http://www.kenesh.kg/RU/Articles/31756-Uzakbaev_Abylkajyr_Osmonbekovich_Frakciya_OnuguuProgress.aspx
31757,Xalikova Ashera Ledzhebovna,Халикова Ашэра Леджебовна,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31757-Xalikova_Ashera_Ledzhebovna__Frakciya_SDPK.aspx
31758,CHolponbaev Ulan Saparbekovich,Чолпонбаев Улан Сапарбекович,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31758-CHolponbaev_Ulan_Saparbekovich_Frakciya_Respublika__Ata_ZHurt.aspx
31759,CHudinov Igor Vitalevich,Чудинов Игорь Витальевич,Bir Bol,"""Бир Бол""",http://www.kenesh.kg/MyFiles/image/%D0%A7%D1%83%D0%B4%D0%B8%D0%BD%D0%BE%D0%B2.jpg,6,http://www.kenesh.kg/RU/Articles/31759-CHudinov_Igor_Vitalevich__Frakciya_Bir_Bol.aspx
31760,SHadiev Askarbek Alimbaevich,Шадиев Аскарбек Алимбаевич,Bir Bol,"""Бир Бол""","",6,http://www.kenesh.kg/RU/Articles/31760-SHadiev_Askarbek_Alimbaevich__Frakciya_Bir_Bol.aspx
31761,SHajnazarov Tynchtyk Urajimovich,Шайназаров Тынчтык Урайимович,OnuguuProgress,"""Өнүгүү-Прогресс""","",6,http://www.kenesh.kg/RU/Articles/31761-SHajnazarov_Tynchtyk_Urajimovich__Frakciya_OnuguuProgress.aspx
31711,SHerNiyaz Sadyk,Шер,Ata Meken,Нияз Садык - «Ата Мекен»,"",6,http://www.kenesh.kg/RU/Articles/31711-SHerNiyaz_Sadyk_Frakciya_Ata_Meken.aspx
31762,SHykmamatov Almambet Nasyrkanovich,Шыкмаматов Алмамбет Насырканович,Ata Meken,«Ата Мекен»,"",6,http://www.kenesh.kg/RU/Articles/31762-SHykmamatov_Almambet_Nasyrkanovich__Frakciya_Ata_Meken.aspx
31764,YUsurov Abdumazhit Lelezovich,Юсуров Абдумажит Лелезович,OnuguuProgress,"""Өнүгүү-Прогресс""","",6,http://www.kenesh.kg/RU/Articles/31764-YUsurov_Abdumazhit_Lelezovich__Frakciya_OnuguuProgress.aspx
31643,Abdyldaev Myktybek YUsupovich,Абдылдаев Мыктыбек Юсупович,Bir Bol,«Бир Бол»,http://www.kenesh.kg/MyFiles/image/_MG_9450(1).JPG,6,http://www.kenesh.kg/RU/Articles/31643-Abdyldaev_Myktybek_YUsupovich__Frakciya_Bir_Bol.aspx
31648,Abzhaliev Aliyarbek Tokobekovich,Абжалиев Алиярбек Токобекович,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31648-Abzhaliev_Aliyarbek_Tokobekovich__Frakciya_Respublika__Ata_ZHurt.aspx
32473,Ajdarov Salajdin Abdiraevich,Айдаров Салайдин Абдираевич,Kyrgyzstan,«Кыргызстан»,http://www.kenesh.kg/MyFiles/image/_MG_6014(1).JPG,6,http://www.kenesh.kg/RU/Articles/32473-Ajdarov_Salajdin_Abdiraevich__Frakciya_Kyrgyzstan.aspx
31649,Ajnakulov Muxtarbek Ajnakulovich,Айнакулов Мухтарбек Айнакулович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31649-Ajnakulov_Muxtarbek_Ajnakulovich__Frakciya_SDPK.aspx
31651,Akaev ZHanarbek Kubanychovich,Акаев Жанарбек Кубанычович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31651-Akaev_ZHanarbek_Kubanychovich__Frakciya_SDPK.aspx
31652,Akmatov Almasbek ZHumabekovich,Акматов Алмасбек Жумабекович,Bir Bol,«Бир Бол»,"",6,http://www.kenesh.kg/RU/Articles/31652-Akmatov_Almasbek_ZHumabekovich__Frakciya_Bir_Bol.aspx
31654,Alimbekov Nurbek Kaaryevich,Алимбеков Нурбек Каарыевич,Kyrgyzstan,«Кыргызстан»,"",6,http://www.kenesh.kg/RU/Articles/31654-Alimbekov_Nurbek_Kaaryevich__Frakciya_Kyrgyzstan.aspx
31655,Altybaeva Ajnuru Tojchievna,Алтыбаева Айнуру Тойчиевна,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31655-Altybaeva_Ajnuru_Tojchievna__Frakciya_SDPK.aspx
31657,Altynbekov Ajbek,Алтынбеков Айбек,Respublika Ata ZHurt,«Республика - Ата Журт»,"",6,http://www.kenesh.kg/RU/Articles/31657-Altynbekov_Ajbek__Frakciya_Respublika__Ata_ZHurt.aspx
31658,Amankulov Marat Askerovich,Аманкулов Марат Аскерович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31658-Amankulov_Marat_Askerovich__Frakciya_SDPK.aspx
31659,Arapbaev Azamat Abdullazhanovich,Арапбаев Азамат Абдуллажанович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31659-Arapbaev_Azamat_Abdullazhanovich__Frakciya_SDPK.aspx
