id,name,position_id,position,label,start_date,end_date,ordinal
Q540847,Mary O'Rourke,Q540847-19527844-EDA8-4E30-ACC8-048FAD9AC03B,Q6865864,Minister for Health,1991-11-14,1992-02-11,0
Q540847,Mary O'Rourke,Q540847-74F3437A-1B04-4238-80B1-87387095F0D9,Q6865981,"Minister for Transport, Tourism and Sport",1997-06-26,2002-06-06,0
Q559627,Jimmy Deenihan,Q559627-a7fb7b0f-4e27-b9ef-52f3-85f291dbe5e7,Q6865747,"Minister for Arts, Heritage and the Gaeltacht",2011-03-09,2014-07-11,0
Q560453,Pat Rabbitte,Q560453-DDE7FEB1-41C5-4436-A19F-749AD161DBA7,Q6865770,"Minister for Communications, Energy and Natural Resources",2011-03-09,2014-07-11,0
Q560482,Cathal Brugha,Q560482-FBC13ACA-F3D0-433B-848F-016DDE45E4CA,Q6865781,Minister for Defence,1919-04-01,1922-01-09,0
Q560482,Cathal Brugha,Q560482-32BDE2EA-7374-48F1-A2B0-A7FAA4660003,Q7241266,President of Dáil Éireann,"","",0
Q560499,Richard Mulcahy,Q560499-2698ba36-47d1-c59f-e025-53e22307305b,Q6865781,Minister for Defence,1919-01-22,1919-04-01,0
Q560499,Richard Mulcahy,Q560499-2829F639-BAA6-47E6-B8C0-2FB4AAA1BBB6,Q6865781,Minister for Defence,1922-01-10,1924-03-19,0
Q560499,Richard Mulcahy,Q560499-f73db968-4793-aade-fc7f-bf57121a98fd,Q6865816,Minister for Education and Skills,1948-02-18,1951-06-13,0
Q560499,Richard Mulcahy,Q560499-E60E08E6-E648-435F-BF76-EDE4A2425B29,Q6865816,Minister for Education and Skills,1954-06-02,1957-03-20,0
Q560499,Richard Mulcahy,Q560499-27145368-D354-48B8-8B96-202296780F8B,Q6866004,"Minister for Housing, Planning and Local Government",1927-06-23,1932-03-09,0
Q5693903,Heather Humphreys,Q5693903-c9487b0c-47d1-0efd-46bd-239c3e3db411,Q6865747,"Minister for Arts, Heritage and the Gaeltacht",2014-07-11,2017-11-30,0
Q5693903,Heather Humphreys,Q5693903-c35cd3ec-4a7d-e2fc-c52d-f2b1d1e8d3d0,Q6865902,"Minister for Jobs, Enterprise and Innovation",2017-11-30,"",0
Q57815,Enda Kenny,q57815-67BBCB3A-07D6-4411-8BDF-093F6C70F06F,Q191827,Taoiseach,2011-03-09,2017-06-14,0
Q57815,Enda Kenny,Q57815-96F9EF68-B445-49D7-A61B-64368401FE76,Q6865747,"Minister for Arts, Heritage and the Gaeltacht",1994-12-15,1997-06-26,0
Q57815,Enda Kenny,Q57815-CB26E421-962F-4887-ACD2-BA63C0BF80D2,Q6865781,Minister for Defence,2014-05-07,2014-07-11,0
Q57815,Enda Kenny,Q57815-176D12C9-8173-4681-A342-458EEE3A9449,Q6865781,Minister for Defence,2016-05-06,2017-06-14,0
Q633368,James Everett,Q633368-5da1b457-4384-1a66-65bd-e3c91992b2ae,Q6865904,Minister for Justice and Equality,1954-06-02,1957-03-20,0
Q6376580,Katherine Zappone,Q6376580-7bd862da-46e0-b739-9045-72a042e428fe,Q6865756,Minister for Children and Youth Affairs,2016-05-06,"",0
Q6780355,Mary Mitchell O'Connor,Q6780355-da2d82c3-4020-07ec-3352-650077a229ed,Q6865902,"Minister for Jobs, Enterprise and Innovation",2016-05-06,2017-06-14,0
Q6829535,Michael Creed,Q6829535-59a938b5-455f-8c8f-bd43-01c0b65749f0,Q6865750,"Minister for Agriculture, Food and the Marine",2016-05-06,"",0
Q705655,Art O'Connor,Q705655-74569cf1-4cd1-9102-227c-41c2a8aa502c,Q6865750,"Minister for Agriculture, Food and the Marine",1921-08-26,1922-01-09,0
Q7146741,Patrick Hogan,Q7146741-0b4a1bcc-4d57-5fc8-2c9d-327d99ea92f6,Q6865750,"Minister for Agriculture, Food and the Marine",1922-01-11,1932-03-09,0
Q7308461,Regina Doherty,Q7308461-2b5aded5-44a9-059a-63b8-3a1f9555699b,Q6865958,Minister for Social Protection,2017-06-14,"",0
Q735593,Conor Cruise O'Brien,Q735593-9B2123DA-49D7-44C7-B888-1059537E89A1,Q11781521,Minister for Posts and Telegraphs,1973-03-14,1977-07-05,0
Q7518922,Simon Harris,Q7518922-d841ef2d-4de0-af0f-b825-cb7ac50fbc1b,Q6865864,Minister for Health,2016-05-06,"",0
Q7789468,Thomas F. O'Higgins,Q7789468-6c56f61f-4170-4589-e13f-c5ef80cb0e86,Q6865781,Minister for Defence,1948-02-18,1951-03-07,0
Q7789468,Thomas F. O'Higgins,Q7789468-2cc4e57a-44b3-3f54-b705-249a1a4bc548,Q6865902,"Minister for Jobs, Enterprise and Innovation",1951-03-07,1951-06-13,0
Q781061,Austin Deasy,Q781061-5E8480A6-D8E8-40BC-9304-4431199F2EB9,Q6865750,"Minister for Agriculture, Food and the Marine",1982-12-14,1987-03-10,0
Q809027,Barry Desmond,Q809027-ca1d2caa-4666-0327-375c-fb045052f5aa,Q6865864,Minister for Health,1982-12-14,1987-01-20,0
Q809027,Barry Desmond,Q809027-CD098A44-CF9B-4B93-A6A8-512A4B21E3B2,Q6865958,Minister for Social Protection,1982-12-14,1987-01-20,0
Q888629,Bobby Molloy,Q888629-9DD7C944-0790-4C9A-9F6D-3E99F9A066AF,Q6865747,"Minister for Arts, Heritage and the Gaeltacht",1989-07-12,1992-11-04,0
Q888629,Bobby Molloy,Q888629-82C7FF4F-C3C9-4191-BCC1-707396F45161,Q6865781,Minister for Defence,1977-07-05,1979-12-11,0
Q888629,Bobby Molloy,Q888629-F02FA9A3-0996-4915-9CFE-7AC7149DC609,Q6866004,"Minister for Housing, Planning and Local Government",1970-05-09,1973-03-14,0
Q908658,Brendan Corish,Q908658-E0ED51EF-1EA3-4A2D-9238-08EA1C94C6C0,Q1146214,Tánaiste,1973-03-14,1977-07-05,0
Q908658,Brendan Corish,Q908658-C484FD8D-9871-40C4-BB75-8CB562537B45,Q6865864,Minister for Health,1973-03-14,1977-07-05,0
Q908658,Brendan Corish,Q908658-99323e26-463b-59d8-e918-250b267dcd0f,Q6865958,Minister for Social Protection,1954-06-02,1957-03-20,0
Q908658,Brendan Corish,Q908658-4E3BEE33-DB80-4137-BA0F-68EDC6D2D3A8,Q6865958,Minister for Social Protection,1973-03-14,1977-07-05,0
Q908665,Brendan Daly,Q908665-df972701-4596-7ccc-c41a-3d0c6a788373,Q6865770,"Minister for Communications, Energy and Natural Resources",1982-03-09,1982-12-14,0
Q908665,Brendan Daly,Q908665-36db5d25-4211-012c-cc2f-d4cd8ec7eb57,Q6865770,"Minister for Communications, Energy and Natural Resources",1987-03-10,1989-07-12,0
Q908665,Brendan Daly,Q908665-cf0ecf7c-4b60-9c54-f811-68114378023a,Q6865781,Minister for Defence,1991-02-05,1991-11-14,0
Q908665,Brendan Daly,Q908665-df268f77-4527-87af-a2bf-5400d41c7fec,Q6865958,Minister for Social Protection,1991-11-13,1992-02-11,0
Q912430,"Brian Lenihan, Jnr",Q912430-22c76d73-44b1-3ba1-7d2f-2264ecd4dfca,Q4294945,Minister for Finance,2008-05-07,2011-03-09,0
Q912430,"Brian Lenihan, Jnr",Q912430-a55c0b16-4cae-ce8b-61ac-25ffcdb7009b,Q6865904,Minister for Justice and Equality,2007-06-14,2008-05-07,0
Q912542,Brian Lenihan Snr,Q912542-8E2BEF45-7210-4AD5-9C25-C88BA21E9EF8,Q1146214,Tánaiste,1987-03-10,1990-10-31,0
Q912542,Brian Lenihan Snr,Q912542-6274AEFD-C0CC-418D-A8BF-6A6DADDB60CC,Q6865750,"Minister for Agriculture, Food and the Marine",1982-03-09,1982-12-14,0
Q912542,Brian Lenihan Snr,Q912542-F05DE0F2-6BFE-4403-B0C2-74F117C78558,Q6865770,"Minister for Communications, Energy and Natural Resources",1977-07-05,1979-12-12,0
Q912542,Brian Lenihan Snr,Q912542-7D7BDC7B-F85D-4B49-9A7E-85CB52A79AEE,Q6865781,Minister for Defence,1989-07-12,1990-10-31,0
