statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q1000314-096F2ABF-5DFC-4143-B07C-DD87ECE9234A,Q1000314,Tom O'Donnell,Q6549257,Limerick East,Q247135,Fine Gael,1977-07-05,1981-05-21,21
Q1000314-2D6AA9EE-097A-43F1-A8FF-1FBA08C6641B,Q1000314,Tom O'Donnell,Q6549257,Limerick East,Q247135,Fine Gael,1982-03-09,1982-11-04,23
Q1000314-5795605B-670F-46CC-AA0E-851E154051C9,Q1000314,Tom O'Donnell,Q6549257,Limerick East,Q247135,Fine Gael,1973-03-14,1977-05-25,20
Q1000314-7733CAE8-012F-411A-A98B-D5D7D1E73A87,Q1000314,Tom O'Donnell,Q6549257,Limerick East,Q247135,Fine Gael,1981-06-30,1982-01-27,22
Q1000314-8FAB98A3-B3AB-44F7-8F3A-6F56EFA0C113,Q1000314,Tom O'Donnell,Q6549257,Limerick East,Q247135,Fine Gael,1982-12-14,1987-01-20,24
Q1064368-4485834d-4329-6fbc-3266-c3d82673f03b,Q1064368,Charles Flanagan,Q6487896,Laois–Offaly,Q247135,Fine Gael,1987-03-10,1989-05-25,25
Q1064368-7d140221-4635-291f-3099-9f50d9b13f3f,Q1064368,Charles Flanagan,Q6487896,Laois–Offaly,Q247135,Fine Gael,1989-06-29,1992-11-05,26
Q1064368-90ed390e-4c16-4b70-f3c2-b3825020bbd4,Q1064368,Charles Flanagan,Q6487896,Laois–Offaly,Q247135,Fine Gael,1992-12-14,1997-05-15,27
Q1064368-945aed36-463f-709a-22d6-34915304dd0a,Q1064368,Charles Flanagan,Q6487896,Laois–Offaly,Q247135,Fine Gael,2007-06-14,2011-02-01,30
Q1064368-b6815f12-4ffd-4126-3785-a143b20c8d88,Q1064368,Charles Flanagan,Q6487896,Laois–Offaly,Q247135,Fine Gael,1997-06-26,2002-04-25,28
Q1064368-BDC8DC8B-72ED-4C4B-9767-5B11E184BEB8,Q1064368,Charles Flanagan,Q6487881,Laois,Q247135,Fine Gael,2016-03-10,"",32
