statement,id,name,start_date,end_date,wikidata
Q29000413-0dbae84e-4ff6-f40a-9d92-ed617601f651,1,1st Dáil,1919-01-21,1921-05-10,Q29000413
Q29000410-ec0399d9-4a91-b979-adcc-f51529bb1be6,2,2nd Dáil,1921-08-16,1922-06-08,Q29000410
Q29000406-29d3d7d2-46ac-3d79-1378-29431a3c1df6,3,3rd Dáil,1922-09-09,1923-08-09,Q29000406
Q29000401-e186fa1c-470a-edfd-1e11-6e8c76b83842,4,4th Dáil,1923-09-19,1927-05-20,Q29000401
Q29000395-ff1ddcde-40cd-e374-674a-d95ef1c2d4ae,5,5th Dáil,1927-06-03,1927-08-16,Q29000395
Q29000388-7257dd3e-47d5-07f2-505e-27493d295cd2,6,6th Dáil,1927-10-11,1931-12-17,Q29000388
Q29000383-8a1cbee4-4341-ff69-0fb6-4c36776b62ff,7,7th Dáil,1932-03-09,1932-12-22,Q29000383
Q29000380-315d5fc2-4727-5349-9997-dd34a458ba6e,8,8th Dáil,1933-02-08,1937-06-14,Q29000380
Q29000378-67ab04f6-4bc1-7727-bae9-38a9da5a0f1a,9,9th Dáil,1937-07-21,1938-05-25,Q29000378
Q29000374-ac973f0d-4f8b-d938-7901-8b69f3a12c54,10,10th Dáil,1938-06-30,1943-05-26,Q29000374
Q29000373-b1e189d5-423d-a35c-52c0-b3f09ced9038,11,11th Dáil,1943-07-01,1944-05-10,Q29000373
Q29000369-e199e492-432a-4618-b96d-b5c3b6f7a32c,12,12th Dáil,1944-06-09,1947-12-11,Q29000369
Q29000366-9cb14289-48d7-7668-efc7-8f00dc0b71cf,13,13th Dáil,1948-02-18,1951-05-02,Q29000366
Q28977355-0446349e-4a30-303b-ac24-6c853d8997f3,14,14th Dáil,1951-06-13,1954-04-23,Q28977355
Q28977275-db2f235e-44d6-7225-6f69-77568220ef94,15,15th Dáil,1954-06-02,1956-12-13,Q28977275
Q28977208-f1a0d6e9-4a4f-14ad-832c-a0020202c893,16,16th Dáil,1957-03-20,1961-09-01,Q28977208
Q28977041-f1c3e82d-47e2-2427-8869-4af408c127f9,17,17th Dáil,1961-10-11,1965-03-11,Q28977041
Q28976938-ed4ec724-4742-887a-bab8-cb389341027e,18,18th Dáil,1965-04-21,1969-05-21,Q28976938
Q28976810-4ebb64eb-4ee6-ae9c-8dac-b79f53c4efc6,19,19th Dáil,1969-07-02,1973-02-05,Q28976810
Q28976762-2861727c-4688-b8db-2ea1-146acc9b3d6b,20,20th Dáil,1973-03-14,1977-05-25,Q28976762
Q28976674-88252bb8-42e7-5261-f9c5-69f6a56350c0,21,21st Dáil,1977-07-05,1981-05-21,Q28976674
Q28976461-64316e8f-46ce-c209-d75f-8f274ad16416,22,22nd Dáil,1981-06-30,1982-01-27,Q28976461
Q28976367-ca3deadd-4542-7dc5-b64a-a6eb11aeb685,23,23rd Dáil,1982-03-09,1982-11-04,Q28976367
Q28976341-608edd26-4956-0a58-1653-a65c97197b8a,24,24th Dáil,1982-12-14,1987-01-20,Q28976341
Q28976332-cb61524c-47d8-cbaf-7e50-79fe0fe87800,25,25th Dáil,1987-03-10,1989-05-25,Q28976332
Q28976307-684b37b8-4d2f-8796-0dea-c34d37fc2897,26,26th Dáil,1989-06-29,1992-11-05,Q28976307
Q28976287-49cf1ecb-4964-16ae-c3ad-338987f6ec07,27,27th Dáil,1992-12-14,1997-05-15,Q28976287
Q28976267-56cbc953-40ef-362e-bb98-530f84c0fd90,28,28th Dáil,1997-06-26,2002-04-25,Q28976267
Q28976222-da9fdb3c-40b3-97dd-b2a9-bbd33239683b,29,29th Dáil,2002-06-06,2007-04-26,Q28976222
Q28976204-a65712fe-4bdd-83ad-d69e-4d6f0e0bd40a,30,30th Dáil,2007-06-14,2011-02-01,Q28976204
Q28976144-04c846a0-4b52-ccac-cc0d-c619f9899cee,31,31st Dáil,2011-03-09,2016-02-03,Q28976144
Q28976095-d10e9068-4638-177b-b337-b43bcdd80cd8,32,32nd Dáil,2016-03-10,"",Q28976095
