id,label,type
Q16361594,Minister of Education and Science,cabinet
Q16361611,Minister of Justice,cabinet
Q16361617,Minister for the Environmental Protection and Regional Development of Latvia,cabinet
Q16361620,Minister of the Environment,cabinet
Q16361623,Minister of Agriculture,cabinet
Q20557220,Minister of the Economy,cabinet
Q25907368,Minister of Culture,cabinet
Q369500,Prime Minister of Latvia,cabinet
Q57125919,Foreign Minister,cabinet
Q6590375,Minister of Defence,cabinet
Q6590389,Minister of Finance,cabinet
