id,name,constituency,party,image,term,source
abad-h,"Abad, Henedina R.","Batanes, Lone District","",http://www.congress.gov.ph/members/images/17th/abad-h.jpg,17,http://www.congress.gov.ph/members/search.php?id=abad-h
abaya-f,"Abaya, Francis Gerald A.","Cavite, 1st District","",http://www.congress.gov.ph/members/images/17th/abaya-f.jpg,17,http://www.congress.gov.ph/members/search.php?id=abaya-f
abayon-hn,"Abayon, Harlin Neil III J.","",AANGAT TAYO,http://www.congress.gov.ph/members/images/17th/abayon-hn.jpg,17,http://www.congress.gov.ph/members/search.php?id=abayon-hn
abellanosa-r,"Abellanosa, Rodrigo A.","Cebu City, 2nd District","",http://www.congress.gov.ph/members/images/17th/abellanosa-r.jpg,17,http://www.congress.gov.ph/members/search.php?id=abellanosa-r
abu-r,"Abu, Raneo E.","Batangas, 2nd District","",http://www.congress.gov.ph/members/images/17th/abu-r.jpg,17,http://www.congress.gov.ph/members/search.php?id=abu-r
abueg-f,"Abueg, Frederick ""Erick"" F.","Palawan, 2nd District","",http://www.congress.gov.ph/members/images/17th/abueg-f.jpg,17,http://www.congress.gov.ph/members/search.php?id=abueg-f
acharon-p,"Acharon, Pedro Jr. B.","South Cotabato, 1st District","",http://www.congress.gov.ph/members/images/17th/acharon-p.jpg,17,http://www.congress.gov.ph/members/search.php?id=acharon-p
acop-r,"Acop, Romeo M.","Antipolo City, 2nd District","",http://www.congress.gov.ph/members/images/17th/acop-r.jpg,17,http://www.congress.gov.ph/members/search.php?id=acop-r
acosta-g,"Acosta, Gil ""Kabarangay"" P.","Palawan, 3rd District","",http://www.congress.gov.ph/members/images/17th/acosta-g.jpg,17,http://www.congress.gov.ph/members/search.php?id=acosta-g
acosta-l,"Acosta-Alba, Ma. Lourdes","Bukidnon, 1st District","",http://www.congress.gov.ph/members/images/17th/acosta-l.jpg,17,http://www.congress.gov.ph/members/search.php?id=acosta-l
adiong-a,"Adiong, Ansaruddin A.M. A.","Lanao del Sur, 1st District","",http://www.congress.gov.ph/members/images/17th/adiong-a.jpg,17,http://www.congress.gov.ph/members/search.php?id=adiong-a
advincula-a,"Advincula, Alex","Cavite, 3rd District","",http://www.congress.gov.ph/members/images/17th/advincula-a.jpg,17,http://www.congress.gov.ph/members/search.php?id=advincula-a
agarao-b,"Agarao, Benjamin Jr. C.","Laguna, 4th District","",http://www.congress.gov.ph/members/images/17th/agarao-b.jpg,17,http://www.congress.gov.ph/members/search.php?id=agarao-b
aggabao-l,"Aggabao, Ma. Lourdes R.","Isabela, 4th District","",http://www.congress.gov.ph/members/images/17th/aggabao-l.jpg,17,http://www.congress.gov.ph/members/search.php?id=aggabao-l
aglipay-e,"Aglipay-Villar, Emmeline","",DIWA,http://www.congress.gov.ph/members/images/17th/aglipay-e.jpg,17,http://www.congress.gov.ph/members/search.php?id=aglipay-e
akbar-j,"Akbar, Jum J.","Basilan, Lone District","",http://www.congress.gov.ph/members/images/17th/akbar-j.jpg,17,http://www.congress.gov.ph/members/search.php?id=akbar-j
albano-r,"Albano, Rodolfo III T.","Isabela, 1st District","",http://www.congress.gov.ph/members/images/17th/albano-r.jpg,17,http://www.congress.gov.ph/members/search.php?id=albano-r
alcala-v,"Alcala, Vicente ""Kulit"" J.","Quezon, 2nd District","",http://www.congress.gov.ph/members/images/17th/alcala-v.jpg,17,http://www.congress.gov.ph/members/search.php?id=alcala-v
alejano-g,"Alejano, Gary C.","",MAGDALO,http://www.congress.gov.ph/members/images/17th/alejano-g.jpg,17,http://www.congress.gov.ph/members/search.php?id=alejano-g
almario-j,"Almario, Joel Mayo Z.","Davao Oriental, 2nd District","",http://www.congress.gov.ph/members/images/17th/almario-j.jpg,17,http://www.congress.gov.ph/members/search.php?id=almario-j
almonte-j,"Almonte, Jorge T.","Misamis Occidental, 1st District","",http://www.congress.gov.ph/members/images/17th/almonte-j.jpg,17,http://www.congress.gov.ph/members/search.php?id=almonte-j
alonte-m,"Alonte, Marlyn B.","Biñan City, Lone District","",http://www.congress.gov.ph/members/images/17th/alonte-m.jpg,17,http://www.congress.gov.ph/members/search.php?id=alonte-m
alvarez-f,"Alvarez, Franz","Palawan, 1st District","",http://www.congress.gov.ph/members/images/17th/alvarez-f.jpg,17,http://www.congress.gov.ph/members/search.php?id=alvarez-f
alvarez-m,"Alvarez, Mercedes K.","Negros Occidental, 6th District","",http://www.congress.gov.ph/members/images/17th/alvarez-m.jpg,17,http://www.congress.gov.ph/members/search.php?id=alvarez-m
alvarez-p,"Alvarez, Pantaleon D.","Davao del Norte, 1st District","",http://www.congress.gov.ph/members/images/17th/alvarez-p.jpg,17,http://www.congress.gov.ph/members/search.php?id=alvarez-p
amante-e,"Amante, Erlpe John ""Ping"" M.","Agusan del Norte, 2nd District","",http://www.congress.gov.ph/members/images/17th/amante-e.jpg,17,http://www.congress.gov.ph/members/search.php?id=amante-e
amatong-i,"Amatong, Isagani S.","Zamboanga del Norte, 3rd District","",http://www.congress.gov.ph/members/images/17th/amatong-i.jpg,17,http://www.congress.gov.ph/members/search.php?id=amatong-i
andaya-r,"Andaya, Rolando Jr. G.","Camarines Sur, 1st District","",http://www.congress.gov.ph/members/images/17th/andaya-r.jpg,17,http://www.congress.gov.ph/members/search.php?id=andaya-r
angara-castillo,"Angara-Castillo, Bellaflor J.","Aurora, Lone District","",http://www.congress.gov.ph/members/images/17th/angara-castillo.jpg,17,http://www.congress.gov.ph/members/search.php?id=angara-castillo
antonino-m,"Antonino, Magnolia C.","Nueva Ecija, 4th District","",http://www.congress.gov.ph/members/images/17th/antonino-m.jpg,17,http://www.congress.gov.ph/members/search.php?id=antonino-m
antonio-m,"Antonio, Michelle  M.","",AGBIAG,http://www.congress.gov.ph/members/images/17th/antonio-m.jpg,17,http://www.congress.gov.ph/members/search.php?id=antonio-m
aragones-m,"Aragones, Sol","Laguna, 3rd District","",http://www.congress.gov.ph/members/images/17th/aragones-m.jpg,17,http://www.congress.gov.ph/members/search.php?id=aragones-m
arbison-mu,"Arbison, Munir M.","Sulu, 2nd District","",http://www.congress.gov.ph/members/images/17th/arbison-mu.jpg,17,http://www.congress.gov.ph/members/search.php?id=arbison-mu
arcillas-a,"Arcillas, Arlene B.","Laguna, 1st District","",http://www.congress.gov.ph/members/images/17th/arcillas-a.jpg,17,http://www.congress.gov.ph/members/search.php?id=arcillas-a
arenas-r,"Arenas, Rose Marie ""Baby"" J.","Pangasinan, 3rd District","",http://www.congress.gov.ph/members/images/17th/arenas-r.jpg,17,http://www.congress.gov.ph/members/search.php?id=arenas-r
