id,name,constituency,party,image,term,source
acop-r,"Acop, Romeo M.","Antipolo City, 2nd District","",http://www.congress.gov.ph/members/images/16th/acop-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=acop-r
acosta-l,"Acosta-Alba, Ma. Lourdes","Bukidnon, 1st District","",http://www.congress.gov.ph/members/images/16th/acosta-l.jpg,16,http://www.congress.gov.ph/members/search.php?id=acosta-l
adiong-a,"Adiong, Ansaruddin A.M. A.","Lanao Del Sur, 1st District","",http://www.congress.gov.ph/members/images/16th/adiong-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=adiong-a
advincula-a,"Advincula, Alex ""AA"" L.","Cavite, 3rd District","",http://www.congress.gov.ph/members/images/16th/advincula-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=advincula-a
agarao-b,"Agarao, Benjamin Jr. C.","Laguna, 4th District","",http://www.congress.gov.ph/members/images/16th/agarao-b.jpg,16,http://www.congress.gov.ph/members/search.php?id=agarao-b
aggabao-g,"Aggabao, Giorgidi B.","Isabela, 4th District","",http://www.congress.gov.ph/members/images/16th/aggabao-g.jpg,16,http://www.congress.gov.ph/members/search.php?id=aggabao-g
aglipay-e,"Aglipay Villar, Emmeline Y.","",DIWA,http://www.congress.gov.ph/members/images/16th/aglipay-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=aglipay-e
agyao-m,"Agyao, Manuel S.","Kalinga, Lone District","",http://www.congress.gov.ph/members/images/16th/agyao-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=agyao-m
albano-r,"Albano, Rodolfo III T.","Isabela, 1st District","",http://www.congress.gov.ph/members/images/16th/albano-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=albano-r
alcala-v,"Alcala, Vicente  ""Kulit"" J.","Quezon, 2nd District","",http://www.congress.gov.ph/members/images/16th/alcala-v.jpg,16,http://www.congress.gov.ph/members/search.php?id=alcala-v
alejano-g,"Alejano, Gary C.","",MAGDALO,http://www.congress.gov.ph/members/images/16th/alejano-g.jpg,16,http://www.congress.gov.ph/members/search.php?id=alejano-g
aliping-n,"Aliping, Nicasio Jr. M.","Baguio City, Lone District","",http://www.congress.gov.ph/members/images/16th/aliping-n.jpg,16,http://www.congress.gov.ph/members/search.php?id=aliping-n
almario-t,"Almario, Thelma Z.","Davao Oriental, 2nd District","",http://www.congress.gov.ph/members/images/16th/almario-t.jpg,16,http://www.congress.gov.ph/members/search.php?id=almario-t
almonte-j,"Almonte, Jorge T.","Misamis Occidental, 1st District","",http://www.congress.gov.ph/members/images/16th/almonte-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=almonte-j
alvarez-f,"Alvarez, Franz ""Chicoy"" E.","Palawan, 1st District","",http://www.congress.gov.ph/members/images/16th/alvarez-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=alvarez-f
alvarez-m,"Alvarez, Mercedes K.","Negros Occidental, 6th District","",http://www.congress.gov.ph/members/images/16th/alvarez-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=alvarez-m
amante-e,"Amante, Erlpe John ""Ping"" M.","Agusan Del Norte, 2nd District","",http://www.congress.gov.ph/members/images/16th/amante-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=amante-e
amatong-i,"Amatong, Isagani S.","Zamboanga Del Norte, 3rd District","",http://www.congress.gov.ph/members/images/16th/amatong-i.jpg,16,http://www.congress.gov.ph/members/search.php?id=amatong-i
amatong-r,"Amatong, Rommel C.","Compostela Valley, 2nd District","",http://www.congress.gov.ph/members/images/16th/amatong-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=amatong-r
andaya-r,"Andaya, Rolando Jr. G.","Camarines Sur, 1st District","",http://www.congress.gov.ph/members/images/16th/andaya-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=andaya-r
angara-castillo,"Angara-Castillo, Bellaflor J.","Aurora, Lone District","",http://www.congress.gov.ph/members/images/16th/angara-castillo.jpg,16,http://www.congress.gov.ph/members/search.php?id=angara-castillo
angping-m,"Angping, Maria Zenaida B.","Manila, 3rd District","",http://www.congress.gov.ph/members/images/16th/angping-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=angping-m
antonino-m,"Antonino, Magnolia  Rosa C.","Nueva Ecija, 4th District","",http://www.congress.gov.ph/members/images/16th/antonino-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=antonino-m
antonio-p,"Antonio, Patricio T.","",AGBIAG,http://www.congress.gov.ph/members/images/16th/antonio-p.jpg,16,http://www.congress.gov.ph/members/search.php?id=antonio-p
apostol-s,"Apostol, Sergio A. F.","Leyte, 2nd District","",http://www.congress.gov.ph/members/images/16th/apostol-s.jpg,16,http://www.congress.gov.ph/members/search.php?id=apostol-s
aragones-m,"Aragones, Sol","Laguna, 3rd District","",http://www.congress.gov.ph/members/images/16th/aragones-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=aragones-m
arbison-m,"Arbison, Maryam Napii","Sulu, 2nd District","",http://www.congress.gov.ph/members/images/16th/arbison-m.jpg,16,http://www.congress.gov.ph/members/search.php?id=arbison-m
arenas-r,"Arenas, Rose Marie ""Baby"" J.","Pangasinan, 3rd District","",http://www.congress.gov.ph/members/images/16th/arenas-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=arenas-r
arnaiz-g,"Arnaiz, George P.","Negros Oriental, 2nd District","",http://www.congress.gov.ph/members/images/16th/arnaiz-g.jpg,16,http://www.congress.gov.ph/members/search.php?id=arnaiz-g
arroyo-d,"Arroyo, Diosdado Macapagal","Camarines Sur, 2nd District","",http://www.congress.gov.ph/members/images/16th/arroyo-d.jpg,16,http://www.congress.gov.ph/members/search.php?id=arroyo-d
asilo-b,"Asilo, Benjamin ""Atong"" D.","Manila, 1st District","",http://www.congress.gov.ph/members/images/16th/asilo-b.jpg,16,http://www.congress.gov.ph/members/search.php?id=asilo-b
atienza-j,"Atienza, Jose Jr. L.","",BUHAY,http://www.congress.gov.ph/members/images/16th/atienza-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=atienza-j
aumentado-e,"Aumentado, Erico Aristotle C.","Bohol, 2nd District","",http://www.congress.gov.ph/members/images/16th/aumentado-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=aumentado-e
bagao-k,"Bag-ao, Kaka J.","Dinagat Islands, Lone District","",http://www.congress.gov.ph/members/images/16th/bagao-k.jpg,16,http://www.congress.gov.ph/members/search.php?id=bagao-k
bagatsing-a,"Bagatsing, Amado S.","Manila, 5th District","",http://www.congress.gov.ph/members/images/16th/bagatsing-a.jpg,16,http://www.congress.gov.ph/members/search.php?id=bagatsing-a
baguilat-t,"Baguilat, Teddy Jr. Brawner","Ifugao, Lone District","",http://www.congress.gov.ph/members/images/16th/baguilat-t.jpg,16,http://www.congress.gov.ph/members/search.php?id=baguilat-t
balindong-p,"Balindong, Pangalian M.","Lanao Del Sur, 2nd District","",http://www.congress.gov.ph/members/images/16th/balindong-p.jpg,16,http://www.congress.gov.ph/members/search.php?id=balindong-p
banal-j,"Banal, Jorge""Bolet"" B.","Quezon City, 3rd District","",http://www.congress.gov.ph/members/images/16th/banal-j.jpg,16,http://www.congress.gov.ph/members/search.php?id=banal-j
barcelona-c,"Barcelona-Reyes, Catherine, M.D.","Camarines Norte, 1st District","",http://www.congress.gov.ph/members/images/16th/barcelona-c.jpg,16,http://www.congress.gov.ph/members/search.php?id=barcelona-c
barzaga-e,"Barzaga, Elpidio Jr. F.","Cavite, 4th District","",http://www.congress.gov.ph/members/images/16th/barzaga-e.jpg,16,http://www.congress.gov.ph/members/search.php?id=barzaga-e
bataoil-l,"Bataoil, Leopoldo N.","Pangasinan, 2nd District","",http://www.congress.gov.ph/members/images/16th/bataoil-l.jpg,16,http://www.congress.gov.ph/members/search.php?id=bataoil-l
batocabe-r,"Batocabe, Rodel M.","",AKO BICOL,http://www.congress.gov.ph/members/images/16th/batocabe-r.jpg,16,http://www.congress.gov.ph/members/search.php?id=batocabe-r
bautista-f,"Bautista, Franklin P.","Davao Del Sur, 2nd District","",http://www.congress.gov.ph/members/images/16th/bautista-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=bautista-f
bello-s,"Bello, Silvestre III H.","",1 BAP,http://www.congress.gov.ph/members/images/16th/bello-s.jpg,16,http://www.congress.gov.ph/members/search.php?id=bello-s
bello-w,"Bello, Walden F.","",AKBAYAN,http://www.congress.gov.ph/members/images/16th/bello-w.jpg,16,http://www.congress.gov.ph/members/search.php?id=bello-w
belmonte-f,"Belmonte, Feliciano Jr. R.","Quezon City, 4th District","",http://www.congress.gov.ph/members/images/16th/belmonte-f.jpg,16,http://www.congress.gov.ph/members/search.php?id=belmonte-f
