id,name,position,start_date,end_date
6df823c5-6d37-4280-b899-9152a9f8bb4a,Aksel V. Johannesen,Prime Minister of the Faeroer,2015-09-15,
6df823c5-6d37-4280-b899-9152a9f8bb4a,Aksel V. Johannesen,Finance Minister of the Faroe Islands,2011-02-21,2011-11-14
6df823c5-6d37-4280-b899-9152a9f8bb4a,Aksel V. Johannesen,Health Minister of the Faroe Islands,2009-07-16,2011-02-21
39c29a28-471c-493d-a6c8-273994beb455,Anfinn Kallsberg,Prime Minister of the Faeroer,,
39c29a28-471c-493d-a6c8-273994beb455,Anfinn Kallsberg,Finance Minister of the Faroe Islands,,
7c7ca9fa-e383-43c2-87fe-a93806ac8974,Atli Dam,Prime Minister of the Faeroer,,
09a27ec3-c737-40cc-b6a0-e376f35d9822,Bárður Nielsen,Finance Minister of the Faroe Islands,,
6b002fb1-a936-4e4e-b20b-09a22a4a91e4,Edmund Joensen,Prime Minister of the Faeroer,,
a56028af-d1e3-404b-b903-9eb0dfef4168,Finnbogi Ísakson,Finance Minister of the Faroe Islands,,
d9c2ce78-8533-45d7-a68d-266f4184dfd0,Ivan Johannesen,Finance Minister of the Faroe Islands,,
7dd3196a-7c77-488e-bc21-78c801bae842,Jóannes Eidesgaard,Prime Minister of the Faeroer,,
7dd3196a-7c77-488e-bc21-78c801bae842,Jóannes Eidesgaard,Finance Minister of the Faroe Islands,,
b859a2c0-1892-44f0-a297-6af62593dfee,Jógvan Sundstein,Prime Minister of the Faeroer,,
b859a2c0-1892-44f0-a297-6af62593dfee,Jógvan Sundstein,Finance Minister of the Faroe Islands,,
b3756dbb-69fa-4df2-961d-ff6b2322319f,Jørgen Niclasen,Finance Minister of the Faroe Islands,,
c5dbb97b-1227-4243-b3c0-38f6caddba87,Kaj Leo Johannesen,Prime Minister of the Faeroer,,
755b94a4-0a77-4b2d-a80e-a35cf92de302,Karsten Hansen,Finance Minister of the Faroe Islands,,
f307d2cb-dd58-4679-bbef-1c1c038459a7,Kristina Háfoss,Finance Minister of the Faroe Islands,,
5bf3d55b-a145-41df-a070-666fdc54f14c,Magni Laksáfoss,Finance Minister of the Faroe Islands,,
6808451e-d133-4772-b72d-11800f1ca5f2,Marita Petersen,Prime Minister of the Faeroer,,
