id,name,image,date_of_birth,date_of_death,gender,source,term,start_date,end_date,party
857,Talab Abu Arar,http://www.knesset.gov.il/mk/images/members/AbuArar_Talab.jpg,1967-05-04,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=857,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
909,Abdullah Abu Maaruf,http://www.knesset.gov.il/mk/images/members/Abu-Maaruf_Abdullah.jpg,1956-12-30,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=909,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
844,Masud Ganaim,http://www.knesset.gov.il/mk/images/members/Ganaim_Masud.jpg,1965-02-14,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=844,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
867,Basel Ghattas,http://www.knesset.gov.il/mk/images/members/Jitas_Basil.jpg,1956-03-23,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=867,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
923,Abd Al Hakeem Haj Yahya,http://www.knesset.gov.il/mk/images/members/Haj-Yahya_Abd-Al-Hakeem.jpg,1965-02-16,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=923,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
919,Yousef Jabareen,http://www.knesset.gov.il/mk/images/members/Jabareen_Yousef.jpg,1972-02-23,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=919,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
780,Dov Khenin,http://www.knesset.gov.il/mk/images/members/khenin_dov.jpg,1958-01-10,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=780,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
937,Osama Sa`adi,http://www.knesset.gov.il/mk/images/members/Saadi_Osama.jpg,"","",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=937,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
208,Ahmad Tibi,http://www.knesset.gov.il/mk/images/members/tibi_ahmed.jpg,1958-12-19,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=208,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
948,Aida Touma-Sliman,http://www.knesset.gov.il/mk/images/members/Touma-Sliman_Aida.jpg,1964-07-16,"",female,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=948,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
938,Ayman Udeh,http://www.knesset.gov.il/mk/images/members/Uda_Aiman.jpg,"","",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=938,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
756,Jamal Zahalka,http://www.knesset.gov.il/mk/images/members/zahalka_jamal.jpg,1955-01-11,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=756,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
846,Hanin Zoabi,http://www.knesset.gov.il/mk/images/members/Zuabi_Hanin.jpg,1969-05-23,"",female,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=846,20,2015-03-31,,"Joint Arab List (Hadash, Raam, Balad, Taal)"
864,Naftali Bennett,http://www.knesset.gov.il/mk/images/members/Bennett_Naftali.jpg,1972-03-25,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=864,"",2015-12-06,,Unknown
129,Ahmed A-Dahar,http://www.knesset.gov.il/mk/images/members/adahar_ahmed.jpg,"",1984-02-06,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=129,4,1959-11-30,1961-09-04,Kidma Vepituah
129,Ahmed A-Dahar,http://www.knesset.gov.il/mk/images/members/adahar_ahmed.jpg,"",1984-02-06,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=129,5,1961-09-04,1965-11-22,Kidma Vepituah
179,Mahmud A-Nashaf,http://www.knesset.gov.il/mk/images/members/anaoaf_mahmod.jpg,"",1979-11-10,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=179,4,1959-11-30,1961-09-04,Agriculture and Development
549,Avraham Abaas,http://www.knesset.gov.il/mk/images/members/abaas_avraham.jpg,"",1958-09-17,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=549,3,1955-08-15,1958-09-17,Ahdut Ha`avoda - Poalei Zion
850,Nino Abesadze,http://www.knesset.gov.il/mk/images/members/Nino_Abesadze.jpg,1965-04-12,"",female,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=850,18,2010-11-09,2013-02-05,Kadima
240,Zalman Abramov,http://www.knesset.gov.il/mk/images/members/avramov_shneor.jpg,1908-05-06,1997-03-05,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=240,4,1959-11-30,1961-09-04,Liberal Party of Israel
240,Zalman Abramov,http://www.knesset.gov.il/mk/images/members/avramov_shneor.jpg,1908-05-06,1997-03-05,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=240,5,1961-09-04,1965-11-22,Herut-Liberal Bloc
240,Zalman Abramov,http://www.knesset.gov.il/mk/images/members/avramov_shneor.jpg,1908-05-06,1997-03-05,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=240,6,1965-11-22,1969-11-17,Herut-Liberal Bloc
240,Zalman Abramov,http://www.knesset.gov.il/mk/images/members/avramov_shneor.jpg,1908-05-06,1997-03-05,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=240,7,1969-11-17,1974-01-21,Herut-Liberal Bloc
240,Zalman Abramov,http://www.knesset.gov.il/mk/images/members/avramov_shneor.jpg,1908-05-06,1997-03-05,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=240,8,1974-01-21,1977-06-13,Likud
241,Yehuda Meir Abramovicz,http://www.knesset.gov.il/mk/images/members/avramovitz_yehuda.jpg,"",2007-04-20,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=241,7,1971-08-07,1974-01-21,Agudat Yisrael
241,Yehuda Meir Abramovicz,http://www.knesset.gov.il/mk/images/members/avramovitz_yehuda.jpg,"",2007-04-20,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=241,8,1974-01-21,1977-06-13,Agudat Yisrael
241,Yehuda Meir Abramovicz,http://www.knesset.gov.il/mk/images/members/avramovitz_yehuda.jpg,"",2007-04-20,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=241,9,1977-06-13,1981-07-20,Agudat Yisrael
180,Hamad Abu-Rabiah,http://www.knesset.gov.il/mk/images/members/aburabia_chamad.jpg,"",1981-01-12,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=180,8,1974-01-21,1977-06-13,United Arab List (1)
180,Hamad Abu-Rabiah,http://www.knesset.gov.il/mk/images/members/aburabia_chamad.jpg,"",1981-01-12,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=180,9,1979-04-03,1981-01-12,United Arab List (1)
233,Laviv-Hussein Abu-Rochan,http://www.knesset.gov.il/mk/images/members/aburokun_labib.jpg,"",1989-11-20,male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=233,4,1959-11-30,1961-09-04,Shituf Ve-achva
857,Talab Abu Arar,http://www.knesset.gov.il/mk/images/members/AbuArar_Talab.jpg,1967-05-04,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=857,19,2013-02-05,2015-03-31,United Arab List
857,Talab Abu Arar,http://www.knesset.gov.il/mk/images/members/AbuArar_Talab.jpg,1967-05-04,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=857,20,2015-03-31,,"Joint List (Hadash, Raam, Balad, Taal)"
909,Abdullah Abu Maaruf,http://www.knesset.gov.il/mk/images/members/Abu-Maaruf_Abdullah.jpg,1956-12-30,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=909,20,2015-03-31,,"Joint List (Hadash, Raam, Balad, Taal)"
178,Aharon Abuhatssira,http://www.knesset.gov.il/mk/images/members/abuchazera_aharon.jpg,1938-10-28,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=178,8,1974-01-21,1977-06-13,National Religious Party
178,Aharon Abuhatssira,http://www.knesset.gov.il/mk/images/members/abuchazera_aharon.jpg,1938-10-28,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=178,9,1977-06-13,1981-07-20,National Religious Party
178,Aharon Abuhatssira,http://www.knesset.gov.il/mk/images/members/abuchazera_aharon.jpg,1938-10-28,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=178,10,1981-07-20,1984-08-13,Movement for the Heritage of Israel
178,Aharon Abuhatssira,http://www.knesset.gov.il/mk/images/members/abuchazera_aharon.jpg,1938-10-28,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=178,11,1984-08-13,1988-11-21,Likud
178,Aharon Abuhatssira,http://www.knesset.gov.il/mk/images/members/abuchazera_aharon.jpg,1938-10-28,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=178,12,1988-11-21,1992-07-13,Likud
856,Alali Adamso,http://www.knesset.gov.il/mk/images/members/no_mkphoto.jpg,"","",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=856,18,2012-09-16,2013-02-05,Likud
820,Rachel Adatto,http://www.knesset.gov.il/mk/images/members/Adatto_Rachel.jpg,"","",female,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=820,18,2009-02-24,2013-02-05,Hatenua Chaired by Tzipi Livni
730,Eli Aflalo,http://www.knesset.gov.il/mk/images/members/aflalo_eli.jpg,1952-09-08,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=730,16,2003-02-17,2006-04-17,Kadima
730,Eli Aflalo,http://www.knesset.gov.il/mk/images/members/aflalo_eli.jpg,1952-09-08,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=730,17,2006-04-17,2009-02-24,Kadima
730,Eli Aflalo,http://www.knesset.gov.il/mk/images/members/aflalo_eli.jpg,1952-09-08,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=730,18,2009-02-24,2012-01-25,Kadima
842,Afou Agbaria,http://www.knesset.gov.il/mk/images/members/Agbaria_Afou.jpg,1949-05-13,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=842,18,2009-02-24,2013-02-05,Hadash
842,Afou Agbaria,http://www.knesset.gov.il/mk/images/members/Agbaria_Afou.jpg,1949-05-13,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=842,19,2013-02-05,2015-03-31,Hadash
790,Yitzhak Aharonovitch,http://www.knesset.gov.il/mk/images/members/aharonovitch_yitzhak.jpg,1950-08-22,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=790,17,2006-04-17,2009-02-24,Yisrael Beitenu
790,Yitzhak Aharonovitch,http://www.knesset.gov.il/mk/images/members/aharonovitch_yitzhak.jpg,1950-08-22,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=790,18,2009-02-24,2013-02-05,Yisrael Beitenu
790,Yitzhak Aharonovitch,http://www.knesset.gov.il/mk/images/members/aharonovitch_yitzhak.jpg,1950-08-22,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=790,19,2013-02-05,2015-03-31,Yisrael Beitenu
131,Yosef Ahimeir,http://www.knesset.gov.il/mk/images/members/acimeir_yosef.jpg,1943-05-19,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=131,13,1995-08-07,1996-06-17,Likud
830,Ofir Akunis,http://www.knesset.gov.il/mk/images/members/akunis_ofir.jpg,1973-05-28,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=830,18,2009-02-24,2013-02-05,Likud
830,Ofir Akunis,http://www.knesset.gov.il/mk/images/members/akunis_ofir.jpg,1973-05-28,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=830,19,2013-02-05,2015-03-31,Likud - National Liberal Movement
830,Ofir Akunis,http://www.knesset.gov.il/mk/images/members/akunis_ofir.jpg,1973-05-28,"",male,http://www.knesset.gov.il/mk/eng/mk_print_eng.asp?mk_individual_id_t=830,20,2015-03-31,,Likud
