id,name,start_date,end_date
20,Knesset 20,2015-03-31,
"",Knesset ,2015-12-06,
1,Knesset 1,1949-02-14,1951-08-20
2,Knesset 2,1951-08-20,1955-08-15
3,Knesset 3,1955-08-15,1959-11-30
4,Knesset 4,1959-11-30,1961-09-04
5,Knesset 5,1961-09-04,1965-11-22
6,Knesset 6,1965-11-22,1969-11-17
7,Knesset 7,1969-11-17,1974-01-21
8,Knesset 8,1974-01-21,1977-06-13
9,Knesset 9,1977-06-13,1981-07-20
10,Knesset 10,1981-07-20,1984-08-13
11,Knesset 11,1984-08-13,1988-11-21
12,Knesset 12,1988-11-21,1992-07-13
13,Knesset 13,1992-07-13,1996-06-17
14,Knesset 14,1996-06-17,1999-06-07
15,Knesset 15,1999-06-07,2003-02-17
16,Knesset 16,2003-02-17,2006-04-17
17,Knesset 17,2006-04-17,2009-02-24
18,Knesset 18,2009-02-24,2013-02-05
19,Knesset 19,2013-02-05,2015-03-31
