id,name,position_id,position,label,start_date,end_date,ordinal
Q1159122,Dan Meridor,Q1159122-EE1390F8-2356-44DE-8456-C23035B97F02,Q15733044,Minister without portfolio,2001-08-29,2003-02-28,0
Q1159122,Dan Meridor,Q1159122-1771112C-9CC8-4772-A618-4B063997A59C,Q7040859,Deputy Prime Minister of Israel,2009-04-01,2013-03-18,0
Q1175220,David Levy,Q1175220-3D360798-EDD5-434C-8480-0DE8E366DA02,Q15733044,Minister without portfolio,2002-04-08,2002-07-30,0
Q1175220,David Levy,Q1175220-64A38EB1-C4CB-4CA0-9C8A-583356079007,Q7040859,Deputy Prime Minister of Israel,1996-06-18,1992-07-13,0
Q125731,Ehud Barak,Q125731-618c2a24-4a3c-2a8f-0edf-0a73a933b893,Q13222899,Minister of Defence,1999-07-06,2001-03-07,0
Q125731,Ehud Barak,Q125731-9f9524b1-43c6-b3ca-ebeb-a9f356521b13,Q13222899,Minister of Defence,2007-06-18,2013-03-18,0
Q125731,Ehud Barak,Q125731-e0259205-41c2-56f3-48cd-72c8948c51fb,Q15710855,Minister of Foreign Affairs,1995-11-22,1996-06-18,0
Q125731,Ehud Barak,Q125731-f123c0ba-47f1-7848-f1d1-464a437b5e86,Q15722454,Minister of Tourism,1999-07-06,1999-08-05,0
Q125731,Ehud Barak,Q125731-A3872CB7-94B9-4E76-AABA-FD6FCAF9A507,Q15731462,Minister of Agriculture and Rural Development,2000-06-24,2001-03-07,0
Q125731,Ehud Barak,q125731-931060F2-A114-4635-9EAC-F2196F0E5B8E,Q208487,Prime Minister of Israel,1999-07-06,2001-03-07,0
Q125731,Ehud Barak,Q125731-728DF8BA-00EB-4D5B-A561-1CB25A836C5A,Q7040859,Deputy Prime Minister of Israel,2007-06-18,2013-03-18,0
Q128888,Binyamin Ben-Eliezer,Q128888-3963CE53-7BAA-428F-A02C-AA1505933937,Q13222899,Minister of Defence,2001-03-07,2002-11-02,0
Q128888,Binyamin Ben-Eliezer,Q128888-B6EEFC88-4884-4674-9104-60882FB047E1,Q15732343,"Minister of National Infrastructure, Energy, and Water",2005-01-10,2005-11-23,0
Q128888,Binyamin Ben-Eliezer,Q128888-23E4535D-CE91-4D96-8E87-4E61AD56B307,Q15732343,"Minister of National Infrastructure, Energy, and Water",2006-05-04,2009-03-31,0
Q128888,Binyamin Ben-Eliezer,Q128888-FF81459F-32EF-489D-8B27-C20454CCB430,Q20021270,Minister of Communications,1999-07-06,2001-03-07,0
Q128888,Binyamin Ben-Eliezer,Q128888-3A85E3FC-484A-47A5-B63B-DB466DC75C4A,Q7040859,Deputy Prime Minister of Israel,1999-07-06,2001-03-07,0
Q128911,Ezer Weizman,Q128911-73CAE74A-16C2-47C2-80B9-C98AC67EFC8A,Q13222899,Minister of Defence,1977-06-20,1980-05-26,0
Q128911,Ezer Weizman,Q128911-4B5E1231-42FE-43A5-AB76-0DF1ACA3C398,Q15733044,Minister without portfolio,1984-09-13,1988-12-22,0
Q1296492,Efraim Sneh,Q1296492-3164E3FA-F780-4F65-A39E-4F8DE72DFEBA,Q15722942,Minister of Health,1994-06-01,1996-06-18,0
Q1296492,Efraim Sneh,Q1296492-300A0BD3-E2EF-4C9D-8D34-3052C3ECD56D,Q15728439,Deputy Minister of Defense,1999-08-05,2001-03-07,0
Q1296492,Efraim Sneh,Q1296492-BE3ECFF3-2C9A-403F-896E-A6833CD07D7B,Q15728439,Deputy Minister of Defense,2006-10-30,2007-06-18,0
Q129676,Israel Rokach,Q129676-485d3dc5-4eac-50d6-6516-1f63ccede552,Q2433405,Internal Affairs Minister of Israel,1952-12-24,1955-06-29,0
Q130873,Menachem Begin,Q130873-20FA6E68-9F78-4CD2-8CDA-AE95A2A5E785,Q13222899,Minister of Defence,1980-05-28,1981-08-05,0
Q130873,Menachem Begin,Q130873-5365BC31-79BD-41FD-A7FB-3C4BB4656758,Q13222899,Minister of Defence,1983-02-14,1983-02-23,0
Q130873,Menachem Begin,Q130873-7E0BB866-C956-4E38-AA77-06D7C9AB8139,Q15731462,Minister of Agriculture and Rural Development,1983-06-19,1983-10-10,0
Q130873,Menachem Begin,Q130873-087D96DB-D896-4478-ABBC-C23FBF59A1B0,Q15733044,Minister without portfolio,1967-06-05,1970-08-06,0
