id,label,type
Q1162888,Minister of Education of Hungary,cabinet
Q17278782,Minister of Youth and Sports Affairs in Hungary,cabinet
Q23644987,Minister of Transport and Water Management,cabinet
Q23645099,Minister of Labour,cabinet
Q24205239,Minister of Human Capacities of Hungary,cabinet
Q282907,Minister of Defence of Hungary,cabinet
Q30575843,Minister Without Portfolio for National Policy of Hungary,cabinet
Q30577840,Minister of Interior of Hungary,cabinet
Q3315094,Prime Minister of Hungary,cabinet
Q470760,Minister of Civilian Intelligence Services,cabinet
Q50586116,Minister of Foreign Affairs of Hungary,cabinet
Q50586209,Minister of National Economy of Hungary,cabinet
Q50586281,Minister of National Development of Hungary,cabinet
Q50586423,chief of staff of the Prime Minister of Hungary,cabinet
Q50586594,Minister of Agriculture of Hungary,cabinet
Q50586662,Minister of Justice of Hungary,cabinet
Q50588061,Minister of the Prime Minister's Office of Hungary,cabinet
Q59390956,Q59390956,cabinet
