id,label,type
Q23636106,Minister of Territorial Policy,cabinet
Q24279063,Minister of Justice,cabinet
Q25672112,Foreign Minister,cabinet
Q25907267,Minister of Finance and Public Administrations,cabinet
Q26208485,Minister of Health and Social Policy and Equality,cabinet
Q26252488,"Minister of Education, Culture and Sport",cabinet
Q26262159,Minister of Foreign Affairs and Cooperation of Spain,cabinet
Q3113035,Deputy Prime Minister of Spain,cabinet
Q32971437,Minister of Finance,cabinet
Q35959997,Minister of Education of Science,cabinet
Q45140838,Minister of Health and Social Policy,cabinet
Q6366492,Second Deputy Prime Minister,cabinet
Q844587,Prime Minister of Spain,cabinet
