id,label,type
Q10430157,Minister of International Cooperation,cabinet
Q10670469,Minister of Education,cabinet
Q10686032,Minister of Employment,cabinet
Q10686038,Minister for International Development Cooperation,cabinet
Q10686046,Minister of Civil Affairs,cabinet
Q10686169,Minister for Communications and Regional Policy,cabinet
Q10686194,"Minister for Agriculture, Food and Fisheries",cabinet
Q10686216,Minister for the Environment,cabinet
Q10686220,Minister for Enterprise,cabinet
Q10686247,Minister for Health and Social Affairs,cabinet
Q10686263,Minister for Education and Science,cabinet
Q17103474,Minister for Financial Markets,cabinet
Q1749063,Minister for Foreign Affairs of Sweden,cabinet
Q18176984,Minister for Culture,cabinet
Q18183298,Minister for Migration,cabinet
Q3315958,Minister for Justice,cabinet
Q3612254,Minister for Energy,cabinet
Q4189744,Deputy Prime Minister of Sweden,cabinet
Q6865819,Minister for EU Affairs,cabinet
Q6865835,Minister for Finance,cabinet
Q6865858,Minister for Gender Equality Affairs,cabinet
Q6865890,Minister for Integration,cabinet
Q687075,Prime Minister of Sweden,cabinet
Q920108,Minister for Defence,cabinet
