id,name,family_name,given_name,gender,party,faction,faction_id,area_id,area,statut,image,term,source
adam_bagoudou,"Z. Adam BAGOUDOU",BAGOUDOU,"Z. Adam",male,"Force Cauris pour un Bénin Emergent (FCBE)","République Paix et Progrès","république_paix_et_progrès",8,BORGOU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/884_55f1da2c33be0.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/adam_bagoudou
adrien_houngbedji,"Adrien HOUNGBEDJI",HOUNGBEDJI,Adrien,male,"Partu du Renouveau Démocratique (PRD)","Parti du Renouveau Démocratique","parti_du_renouveau_démocratique",19,OUEME,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/851_55e5e6af2ac49.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/adrien_houngbedji
alexis_agbelessessi,"C.  Alexis AGBELESSESSI",AGBELESSESSI,"C.  Alexis",male,"","Union Paix et Démocratie","union_paix_et_démocratie",17,MONO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/855_55e5ffce18207.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/alexis_agbelessessi
andre_okounlola,"André OKOUNLOLA-BIAOU",OKOUNLOLA-BIAOU,"André",male,"Force Cauris pour un Bénin Emergent (FCBE)","République et Unité Nationale","république_et_unité_nationale",10,COLLINE,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/857_55e767ee05097.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/andre_okounlola
augustin_ahouanvoebla,"S. Augustin AHOUANVOEBLA",AHOUANVOEBLA,"S. Augustin",male,"","","",20,OUEME,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/862_55e7717c4f44d.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/augustin_ahouanvoebla
badiroudin_aguemon,"Badirou Din-Owoladé O. AGUEMON",AGUEMON,"Badirou Din-Owoladé O.",male,"","","",15,LITTORAL,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/874_55e986f7378f3.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/badiroudin_aguemon
barthelemy_kassa,"D. Barthélémy KASSA",KASSA,"D. Barthélémy",male,"Force Cauris pour un Bénin Emergent (FCBE)","République et Solidarité Nationale","république_et_solidarité_nationale",3,ATACORA,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/864_55e846dd62384.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/barthelemy_kassa
bruno_amoussou,"Ange-Marie Bruno AMOUSSOU",AMOUSSOU,"Ange-Marie Bruno",male,"Union fait la Nation (UN)","","",11,COUFFO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/880_55eed4f62731e.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/bruno_amoussou
chabi_bahguera,"Chabi BAH GUERA","BAH GUERA",Chabi,male,"Force Cauris pour un Bénin Emergent (FCBE)","République et Unité Nationale","république_et_unité_nationale",8,BORGOU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/885_55f1db94a23b1.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/chabi_bahguera
claudine_prudencio,"Claudine Affiavi PRUDENCIO",PRUDENCIO,"Claudine Affiavi",female,"Union fait la Nation (UN)","","",6,ATLANTIQUE,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/856_55e60169c5b99.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/claudine_prudencio
edmond_agoua,"Edmond AGOUA",AGOUA,Edmond,,"Alliance Eclaireur","République Paix et Progrès","république_paix_et_progrès",10,COLLINE,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/873_55e9832115732.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/edmond_agoua
eric_houndete,"Eric Louis Camille HOUNDETE",HOUNDETE,"Eric Louis Camille",male,"Union fait la Nation (UN)","","",5,ATLANTIQUE,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/852_55e5f86700d5c.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/eric_houndete
honorine_vieyra,"Honorine Rose-Marie VIEYRA",VIEYRA,"Honorine Rose-Marie",female,"Alliance RB-RP","Nation Unité et Développpement","nation_unité_et_développpement",16,LITTORAL,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/859_55e76cfbc6964.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/honorine_vieyra
idrissou_bako,"Idrissou BAKO",BAKO,Idrissou,male,"Force Cauris pour un Bénin Emergent (FCBE)","République et Démocratie","république_et_démocratie",1,ALIBORI,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/886_55f1ddd40a681.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/idrissou_bako
jeremie_adomahou,"Jérémie ADOMAHOU",ADOMAHOU,"Jérémie",male,"","Union Paix et Démocratie","union_paix_et_démocratie",12,COUFFO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/870_55e873dfe03b0.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/jeremie_adomahou
justin_agbodjete,"Hounsa Justin AGBOJETE",AGBOJETE,"Hounsa Justin",male,"Alliance AND","Union Paix et Démocratie","union_paix_et_démocratie",20,OUEME,Titulaire,http://www.assemblee-nationale.bj/components/com_comprofiler/plugin/templates/bootstrap/images/avatar/nophoto_n.png,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/justin_agbodjete
kolawole_idji,"Antoine Kolawolé IDJI",IDJI,"Antoine Kolawolé",male,"Union fait la Nation (UN)","","",21,PLATEAU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/860_55e76ea8877f7.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/kolawole_idji
leon_ahossi,"Léon C. AHOSSI",AHOSSI,"Léon C.",male,"Union fait la Nation (UN)","","",17,MONO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/877_55e9bb0fa3fe0.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/leon_ahossi
marcellin_ahonoukoun,"Tossou  Marcellin AHONOUKOU",AHONOUKOU,"Tossou  Marcellin",male,"Alliance UB","République Paix et Progrès","république_paix_et_progrès",5,ATLANTIQUE,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/875_55e9b693e5c1d.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/marcellin_ahonoukoun
mathurin_nago,"Coffi Mathurin NAGO",NAGO,"Coffi Mathurin",male,"","Union Paix et Démocratie","union_paix_et_démocratie",18,MONO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/861_55e7703871861.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/mathurin_nago
michel_abimbola,"Jean-Michel ABIMBOLA",ABIMBOLA,Jean-Michel,male,"","","","","","",http://www.assemblee-nationale.bj/images/comprofiler/867_55e8501d4a0d3.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/michel_abimbola
nassirou_bakoarifari,"Nassirou BAKO ARIFARI","BAKO ARIFARI",Nassirou,male,"Force Cauris pour un Bénin Emergent (FCBE)","République et Démocratie","république_et_démocratie",1,ALIBORI,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/868_55e85ea821073.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/nassirou_bakoarifari
natonde_ake,"Natondé AKE",AKE,"Natondé",male,"Force Cauris pour un Bénin Emergent (FCBE)","République et Démocratie","république_et_démocratie",24,ZOU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/878_55e9bd2ddca92.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/natonde_ake
noel_akissoe,"Houédougbé  Noël AKISSOE",AKISSOE,"Houédougbé  Noël",male,"","","",19,OUEME,"Suppléant",http://www.assemblee-nationale.bj/images/comprofiler/879_55eed1ca84b24.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/noel_akissoe
nourenou_atchade,"Nourénou ATCHADE",ATCHADE,"Nourénou",male,"Force Cauris pour un Bénin Emergent (FCBE)","République et Solidarité Nationale","république_et_solidarité_nationale",14,DONGA,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/881_55eed94d948d8.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/nourenou_atchade
octave_houdegbe,"Octave Cossi HOUDEGBE",HOUDEGBE,"Octave Cossi",male,"Alliance AND","République Paix et Progrès","république_paix_et_progrès",5,ATLANTIQUE,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/858_55e76ae05f3ef.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/octave_houdegbe
rachidi_gbadamassi,"Rachidi GBADAMASSI",GBADAMASSI,Rachidi,male,"","","","","","",http://www.assemblee-nationale.bj/images/comprofiler/863_55e8450a29da7.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/rachidi_gbadamassi
raphael_akotegnon,"Raphaël AKOTEGNON",AKOTEGNON,"Raphaël",male,"","","",15,LITTORAL,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/866_55e84b008f710.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/raphael_akotegnon
