id,name,name_el,constituency,party,party_id,term,start_date,start_reason,source,end_date,name__el,identifier__hellenic_parliament
013bab92-bddf-4508-b849-6150356536c4,Agathopoulou Eirini - Eleni,Αγαθοπούλου Δημητρίου Ειρήνη-Ελένη,Kilkis,SYRIZA (Coalition of the Radical Left),syriza,15,2012-06-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=013bab92-bddf-4508-b849-6150356536c4,,Αγαθοπούλου Δημητρίου Ειρήνη-Ελένη,013bab92-bddf-4508-b849-6150356536c4
013bab92-bddf-4508-b849-6150356536c4,Agathopoulou Eirini - Eleni,Αγαθοπούλου Δημητρίου Ειρήνη-Ελένη,Kilkis,SYRIZA (Coalition of the Radical Left),syriza,14,2012-05-06,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=013bab92-bddf-4508-b849-6150356536c4,,Αγαθοπούλου Δημητρίου Ειρήνη-Ελένη,013bab92-bddf-4508-b849-6150356536c4
28b306da-1b83-4b17-a7c0-a8c4659394ab,Aidonas Apostolos,Αηδονάς Γεωργίου Απόστολος,Of Thessaloniki (rest),N.D. (New Democracy),nd,1,1974-11-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=28b306da-1b83-4b17-a7c0-a8c4659394ab,,Αηδονάς Γεωργίου Απόστολος,28b306da-1b83-4b17-a7c0-a8c4659394ab
3e922a7b-0ec7-43cd-a150-a52500fb3fe1,Aivatidis Ioannis,Αϊβατίδης Γεωργίου Ιωάννης,Corfu,LAIKOS SYNDESMOS - CHRYSI AVGI (People’s Association – Golden Dawn),laikossyndesmoschrysiavgi,17,2015-09-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=3e922a7b-0ec7-43cd-a150-a52500fb3fe1,,Αϊβατίδης Γεωργίου Ιωάννης,3e922a7b-0ec7-43cd-a150-a52500fb3fe1
4d3c7c34-7ad1-42e2-a807-01ee80db406b,Agatsa Ariadni (Aria),Αγάτσα Αριστείδη Αριάδνη,Viotia,INDEPENDENT,independent,13,2012-04-04,Became Independent,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=4d3c7c34-7ad1-42e2-a807-01ee80db406b,,Αγάτσα Αριστείδη Αριάδνη,4d3c7c34-7ad1-42e2-a807-01ee80db406b
4d3c7c34-7ad1-42e2-a807-01ee80db406b,Agatsa Ariadni (Aria),Αγάτσα Αριστείδη Αριάδνη,Viotia,PA.SO.K. (Panhellenic Socialist Movement),pasok,13,2009-10-04,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=4d3c7c34-7ad1-42e2-a807-01ee80db406b,2012-04-03,Αγάτσα Αριστείδη Αριάδνη,4d3c7c34-7ad1-42e2-a807-01ee80db406b
4e9a51d7-b519-4a47-8b37-6b6e0d58c0b6,Afentoulidis Nikolaos,Αφεντουλίδης Σπυρίδωνα Νικόλαος,Kilkis,PA.SO.K. (Panhellenic Socialist Movement),pasok,8,1993-10-10,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=4e9a51d7-b519-4a47-8b37-6b6e0d58c0b6,,Αφεντουλίδης Σπυρίδωνα Νικόλαος,4e9a51d7-b519-4a47-8b37-6b6e0d58c0b6
4eccae4f-e9bd-43ed-9a01-c000ad931dc3,Akifoglou Birol,Ακήφογλου Ακίφ Μπηρόλ,Xanthi,N.D. (New Democracy),nd,9,1996-09-22,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=4eccae4f-e9bd-43ed-9a01-c000ad931dc3,,Ακήφογλου Ακίφ Μπηρόλ,4eccae4f-e9bd-43ed-9a01-c000ad931dc3
601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,Achmet Ilchan,Αχμέτ Σαμπρή Ιλχάν,Rodopi,DEMOCRATIC COALITION (Panhellenic Socialist Movement Democratic Left ),democraticcoalition,17,2017-01-13,Accession/ re-affiliation to Parliamentary Group,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,2017-01-12,Αχμέτ Σαμπρή Ιλχάν,601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b
601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,Achmet Ilchan,Αχμέτ Σαμπρή Ιλχάν,Rodopi,INDEPENDENT,independent,17,2017-01-13,Became Independent,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b,,Αχμέτ Σαμπρή Ιλχάν,601b6bab-4bde-4f3e-8bcb-4ba2eba6f59b
