id,name,name_el,constituency,party,party_id,term,start_date,start_reason,source,end_date,name__el
007d7f83-3e2e-4aca-8f6f-5ec9ce5c8fb8,"Papaioannou Nikolaos","Παπαϊωάννου Γεωργίου Νικόλαος",Aitolo-Akarnania,"N.D. (New Democracy)",nd,2,1977-11-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=007d7f83-3e2e-4aca-8f6f-5ec9ce5c8fb8,,"Παπαϊωάννου Γεωργίου Νικόλαος"
007d7f83-3e2e-4aca-8f6f-5ec9ce5c8fb8,"Papaioannou Nikolaos","Παπαϊωάννου Γεωργίου Νικόλαος",Aitolo-Akarnania,"N.D. (New Democracy)",nd,1,1974-11-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=007d7f83-3e2e-4aca-8f6f-5ec9ce5c8fb8,,"Παπαϊωάννου Γεωργίου Νικόλαος"
00a2e3e3-4aed-40a0-aee0-eadf65bea834,"Kalles Nikolaos","Καλλές Κωνσταντίνου Νικόλαος",Magnesia,"N.D. (New Democracy)",nd,6,1989-11-05,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=00a2e3e3-4aed-40a0-aee0-eadf65bea834,,"Καλλές Κωνσταντίνου Νικόλαος"
00a2e3e3-4aed-40a0-aee0-eadf65bea834,"Kalles Nikolaos","Καλλές Κωνσταντίνου Νικόλαος",Magnesia,"N.D. (New Democracy)",nd,5,1989-06-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=00a2e3e3-4aed-40a0-aee0-eadf65bea834,,"Καλλές Κωνσταντίνου Νικόλαος"
00ba6ba0-a7a9-446b-96c9-a59bc34d12a4,"Papadopoulos Michalis","Παπαδόπουλος Γεωργίου Μιχάλης",Kozani,"N.D. (New Democracy)",nd,15,2012-06-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=00ba6ba0-a7a9-446b-96c9-a59bc34d12a4,,"Παπαδόπουλος Γεωργίου Μιχάλης"
00ba6ba0-a7a9-446b-96c9-a59bc34d12a4,"Papadopoulos Michalis","Παπαδόπουλος Γεωργίου Μιχάλης",Kozani,"N.D. (New Democracy)",nd,13,2009-10-04,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=00ba6ba0-a7a9-446b-96c9-a59bc34d12a4,,"Παπαδόπουλος Γεωργίου Μιχάλης"
00ba6ba0-a7a9-446b-96c9-a59bc34d12a4,"Papadopoulos Michalis","Παπαδόπουλος Γεωργίου Μιχάλης",Kozani,"N.D. (New Democracy)",nd,12,2007-09-16,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=00ba6ba0-a7a9-446b-96c9-a59bc34d12a4,,"Παπαδόπουλος Γεωργίου Μιχάλης"
00ba6ba0-a7a9-446b-96c9-a59bc34d12a4,"Papadopoulos Michalis","Παπαδόπουλος Γεωργίου Μιχάλης",Kozani,"N.D. (New Democracy)",nd,11,2004-03-07,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=00ba6ba0-a7a9-446b-96c9-a59bc34d12a4,,"Παπαδόπουλος Γεωργίου Μιχάλης"
00ba6ba0-a7a9-446b-96c9-a59bc34d12a4,"Papadopoulos Michalis","Παπαδόπουλος Γεωργίου Μιχάλης",Kozani,"N.D. (New Democracy)",nd,10,2000-04-09,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=00ba6ba0-a7a9-446b-96c9-a59bc34d12a4,,"Παπαδόπουλος Γεωργίου Μιχάλης"
00ca5fac-09fd-496f-9d8f-0c2232fa5857,"Matis Athanasios","Μάτης Δημητρίου Αθανάσιος",Trikala,"PA.SO.K. (Panhellenic Socialist Movement)",pasok,9,1996-09-22,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=00ca5fac-09fd-496f-9d8f-0c2232fa5857,,"Μάτης Δημητρίου Αθανάσιος"
