id,name,start_date,end_date
10,10th Hellenic Parliament,2000-04-09,2004-02-11
12,12th Hellenic Parliament,2007-09-16,2009-09-07
14,14th Hellenic Parliament,2012-05-06,2012-05-19
15,15th Hellenic Parliament,2012-06-17,2014-12-31
13,13th Hellenic Parliament,2009-10-04,2012-04-11
2,2nd Hellenic Parliament,1977-11-20,1981-09-19
3,3nd Hellenic Parliament,1981-10-18,1985-05-07
4,4th Hellenic Parliament,1985-06-02,1989-06-02
1,1st Hellenic Parliament,1974-11-17,1977-10-22
16,16th Hellenic Parliament,2015-01-25,2015-08-28
11,11th Hellenic Parliament,2004-03-07,2007-08-18
17,17th Hellenic Parliament,2015-09-20,""
5,5th Hellenic Parliament,1989-06-18,1989-10-12
6,6th Hellenic Parliament,1989-11-05,1990-03-12
7,7th Hellenic Parliament,1990-04-08,1993-09-11
8,8th Hellenic Parliament,1993-10-10,1996-08-24
9,9th Hellenic Parliament,1996-09-22,2000-03-14
