id,position,label,description,start_date,constituency,term,election,end_date,replaced_by,replaces
Q16728047,Q42509248,Member of the 16th Lok Sabha,"","",Junagadh Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Junagadh Lok Sabha constituency,,,
Q16728047,Q56051771,Member of the 17th Lok Sabha,"","",Junagadh Lok Sabha constituency,17th Lok Sabha,,,,
Q16728533,Q42509248,Member of the 16th Lok Sabha,"","",Kolhapur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kolhapur Lok Sabha constituency,,,
Q16728677,Q24457068,Member of the Bihar Legislative Assembly,political position in India,"",,,,,,
Q16728677,Q42509248,Member of the 16th Lok Sabha,"","",Valmiki Nagar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Valmiki Nagar Lok Sabha constituency,,,
Q16729140,Q42509248,Member of the 16th Lok Sabha,"","",Latur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Latur Lok Sabha constituency,,,
Q16729328,Q42509248,Member of the 16th Lok Sabha,"","",Adilabad Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Adilabad Lok Sabha constituency,,,
Q16729646,Q42509248,Member of the 16th Lok Sabha,"","",Dausa Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Dausa Lok Sabha constituency,,,
Q16730131,Q13119774,Member of the Maharashtra Legislative Assembly,political position in India,"",,,,,,
Q16730131,Q42509248,Member of the 16th Lok Sabha,"","",Parbhani Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Parbhani Lok Sabha constituency,,,
Q16730131,Q56051771,Member of the 17th Lok Sabha,"","",Parbhani Lok Sabha constituency,17th Lok Sabha,,,,
Q16730213,Q24497178,Member of the Haryana Legislative Assembly,political position in India,"",,,,,,
Q16730213,Q42509248,Member of the 16th Lok Sabha,"","",Tonk-Sawai Madhopur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Tonk-sawai Madhopur Lok Sabha constituency,,,
Q16730213,Q56051771,Member of the 17th Lok Sabha,"","",Tonk-Sawai Madhopur Lok Sabha constituency,17th Lok Sabha,,,,
Q16731793,Q17582810,Member of the Gujarat Legislative Assembly,political position in India,"",,,,,,
Q16731793,Q42509248,Member of the 16th Lok Sabha,"","",Jamnagar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Jamnagar Lok Sabha constituency,,,
Q16731793,Q56051771,Member of the 17th Lok Sabha,"","",Jamnagar Lok Sabha constituency,17th Lok Sabha,,,,
Q16731832,Q17599276,Member of the Rajasthan Legislative Assembly,political position in India,"",,,,,,
Q16731832,Q42509248,Member of the 16th Lok Sabha,"","",Alwar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Alwar Lok Sabha constituency,2017-09-17,Karan Singh Yadav,
Q16732672,Q24529702,Member of the Madhya Pradesh Legislative Assembly,political position in India,"",,,,,,
Q16732672,Q42509248,Member of the 16th Lok Sabha,"","",Morena Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Morena Lok Sabha constituency,,,
Q16733274,Q13119774,Member of the Maharashtra Legislative Assembly,political position in India,"",,,,,,
Q16733274,Q42509248,Member of the 16th Lok Sabha,"","",Gadchiroli-Chimur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Gadchiroli-chimur Lok Sabha constituency,,,
Q16733274,Q56051771,Member of the 17th Lok Sabha,"","",Gadchiroli-Chimur Lok Sabha constituency,17th Lok Sabha,,,,
Q16734269,Q42509248,Member of the 16th Lok Sabha,"","",Bhiwandi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bhiwandi Lok Sabha constituency,,,
Q16734269,Q56051771,Member of the 17th Lok Sabha,"","",Bhiwandi Lok Sabha constituency,17th Lok Sabha,,,,
Q16734274,Q13119774,Member of the Maharashtra Legislative Assembly,political position in India,"",,,,,,
Q16734274,Q42509248,Member of the 16th Lok Sabha,"","",Bhandara-Gondiya Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bhandara - Gondiya Lok Sabha constituency,2017-12-08,Madhukar Kukde,
Q16734872,Q24457068,Member of the Bihar Legislative Assembly,political position in India,"",,,,,,
Q16734872,Q42509248,Member of the 16th Lok Sabha,"","",Ujiarpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Ujiarpur Lok Sabha constituency,,,
Q16734872,Q56051771,Member of the 17th Lok Sabha,"","",Ujiarpur Lok Sabha constituency,17th Lok Sabha,,,,
Q16734885,Q18039836,Member of the Uttar Pradesh Legislative Assembly,political position in India,"",,,,,,
Q16734885,Q42509248,Member of the 16th Lok Sabha,"",2014-05-26,Shahjahanpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Shahjahanpur Lok Sabha constituency,,,Mithlesh Kumar
Q16734915,Q42509248,Member of the 16th Lok Sabha,"","",Mandi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Mandi Lok Sabha constituency,,,
Q16734915,Q56051771,Member of the 17th Lok Sabha,"","",Mandi Lok Sabha constituency,17th Lok Sabha,,,,
Q16735024,Q13119774,Member of the Maharashtra Legislative Assembly,political position in India,"",,,,,,
Q16735024,Q24529704,Member of the Maharashtra Legislature,"","",,,,,,
Q16735024,Q42509248,Member of the 16th Lok Sabha,"","",Ratnagiri-Sindhudurg Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Ratnagiri - Sindhudurg Lok Sabha constituency,,,
Q16735024,Q56051771,Member of the 17th Lok Sabha,"","",Ratnagiri-Sindhudurg Lok Sabha constituency,17th Lok Sabha,,,,
Q16736863,Q42509248,Member of the 16th Lok Sabha,"","",Misrikh Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Misrikh Lok Sabha constituency,,,
Q16736870,Q42509248,Member of the 16th Lok Sabha,"","",Fatehpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Fatehpur Lok Sabha constituency,,,
Q16736870,Q56051771,Member of the 17th Lok Sabha,"","",Fatehpur Lok Sabha constituency,17th Lok Sabha,,,,
Q16736873,Q17324844,member of the Rajya Sabha,"","",,,,,,
Q16736873,Q42509248,Member of the 16th Lok Sabha,"","",Karakat Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Karakat Lok Sabha constituency,,,
Q16736874,Q42509248,Member of the 16th Lok Sabha,"","",Sidhi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Sidhi Lok Sabha constituency,,,
Q16736874,Q56051771,Member of the 17th Lok Sabha,"","",Sidhi Lok Sabha constituency,17th Lok Sabha,,,,
Q16736876,Q42509248,Member of the 16th Lok Sabha,"","",Tezpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Tezpur Lok Sabha constituency,,,
Q16736878,Q42509248,Member of the 16th Lok Sabha,"","",Barabanki Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Barabanki Lok Sabha constituency,,,
Q16736880,Q42509248,Member of the 16th Lok Sabha,"","",Dhaurahra Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Dhaurahra Lok Sabha constituency,,,
Q16736880,Q56051771,Member of the 17th Lok Sabha,"","",Dhaurahra Lok Sabha constituency,17th Lok Sabha,,,,
Q16736885,Q24529704,Member of the Maharashtra Legislature,"","",,,,,,
Q16736885,Q42509248,Member of the 16th Lok Sabha,"","",Sangli Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Sangli Lok Sabha constituency,,,
Q16736885,Q56051771,Member of the 17th Lok Sabha,"","",Sangli Lok Sabha constituency,17th Lok Sabha,,,,
Q16736887,Q18039836,Member of the Uttar Pradesh Legislative Assembly,political position in India,"",,,,,,
Q16736887,Q42509248,Member of the 16th Lok Sabha,"","",Bahraich Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bahraich Lok Sabha constituency,,,
Q16736889,Q42509248,Member of the 16th Lok Sabha,"","",South Goa Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in South Goa Lok Sabha constituency,,,
Q16736891,Q18171423,member of the Jammu and Kashmir Legislative Assembly,political position in India,"",,,,,,
Q16736891,Q42509248,Member of the 16th Lok Sabha,"","",Jammu Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Jammu Lok Sabha constituency,,,
Q16736891,Q56051771,Member of the 17th Lok Sabha,"","",Jammu Lok Sabha constituency,17th Lok Sabha,,,,
Q16736892,Q18039836,Member of the Uttar Pradesh Legislative Assembly,political position in India,"",,,,,,
Q16736892,Q42509248,Member of the 16th Lok Sabha,"","",Bijnor Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bijnor Lok Sabha constituency,,,
Q16736893,Q42509248,Member of the 16th Lok Sabha,"","",Bulandshahr Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bulandshahr Lok Sabha constituency,,,
Q16736893,Q56051771,Member of the 17th Lok Sabha,"","",Bulandshahr Lok Sabha constituency,17th Lok Sabha,,,,
Q16736894,Q42509248,Member of the 16th Lok Sabha,"","",Nawada Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Nawada Lok Sabha constituency,,,
Q16736894,Q56051771,Member of the 17th Lok Sabha,"","",Begusarai Lok Sabha constituency,17th Lok Sabha,,,,
Q16736896,Q42509248,Member of the 16th Lok Sabha,"","",Rampur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Rampur Lok Sabha constituency,,,
Q16736898,Q42509248,Member of the 16th Lok Sabha,"","",Lalganj Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Lalganj Lok Sabha constituency,,,
Q16736900,Q24529704,Member of the Maharashtra Legislature,"","",,,,,,
Q16736900,Q42509248,Member of the 16th Lok Sabha,"","",Wardha Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Wardha Lok Sabha constituency,,,
Q16736900,Q56051771,Member of the 17th Lok Sabha,"","",Wardha Lok Sabha constituency,17th Lok Sabha,,,,
Q16736901,Q18055681,Member of the Uttarakhand Legislative Assembly,political position in India,"",,,,,,
Q16736901,Q42509248,Member of the 16th Lok Sabha,"","",Almora Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Almora Lok Sabha constituency,,,
Q16736901,Q56051771,Member of the 17th Lok Sabha,"","",Almora Lok Sabha constituency,17th Lok Sabha,,,,
Q16736902,Q42509248,Member of the 16th Lok Sabha,"","",Dhar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Dhar Lok Sabha constituency,,,
Q16736905,Q42509248,Member of the 16th Lok Sabha,"","",Kanker Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kanker Lok Sabha constituency,,,
Q16736906,Q42509248,Member of the 16th Lok Sabha,"","",Munger Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Munger Lok Sabha constituency,,,
Q16736906,Q56051771,Member of the 17th Lok Sabha,"","",Vaishali Lok Sabha constituency,17th Lok Sabha,,,,
Q16736907,Q13119774,Member of the Maharashtra Legislative Assembly,political position in India,"",,,,,,
Q16736907,Q42509248,Member of the 16th Lok Sabha,"","",Thane Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Thane Lok Sabha constituency,,,
Q16736907,Q56051771,Member of the 17th Lok Sabha,"","",Thane Lok Sabha constituency,17th Lok Sabha,,,,
Q16736908,Q42509248,Member of the 16th Lok Sabha,"","",Kachchh Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kachchh Lok Sabha constituency,,,
Q16736908,Q56051771,Member of the 17th Lok Sabha,"","",Kachchh Lok Sabha constituency,17th Lok Sabha,,,,
Q16736909,Q42509248,Member of the 16th Lok Sabha,"","",Palamu Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Palamau Lok Sabha constituency,,,
Q16736909,Q56051771,Member of the 17th Lok Sabha,"","",Palamu Lok Sabha constituency,17th Lok Sabha,,,,
Q16745222,Q42509248,Member of the 16th Lok Sabha,"","",Jhanjharpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Jhanjharpur Lok Sabha constituency,,,
Q16885675,Q24457068,Member of the Bihar Legislative Assembly,political position in India,"",,,,,,
Q16885675,Q42509248,Member of the 16th Lok Sabha,"","",Maharajganj Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Maharajganj Lok Sabha constituency,,,
Q16885675,Q56051771,Member of the 17th Lok Sabha,"","",Maharajganj Lok Sabha constituency,17th Lok Sabha,,,,
Q16886057,Q21191662,Member of the Assam Legislative Assembly,political position in India,"",,,,,,
Q16886057,Q42509248,Member of the 16th Lok Sabha,"","",Dibrugarh Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Dibrugarh Lok Sabha constituency,,,
Q16886057,Q56051771,Member of the 17th Lok Sabha,"","",Dibrugarh Lok Sabha constituency,17th Lok Sabha,,,,
Q16887749,Q42509248,Member of the 16th Lok Sabha,"","",Vizianagaram Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Vizianagaram Lok Sabha constituency,,,
Q16890498,Q42509248,Member of the 16th Lok Sabha,"","",Hardoi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Hardoi Lok Sabha constituency,,,
Q16890500,Q42509248,Member of the 16th Lok Sabha,"","",Mumbai South Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Mumbai South Lok Sabha constituency,,,
Q16890500,Q56051771,Member of the 17th Lok Sabha,"","",Mumbai South Lok Sabha constituency,17th Lok Sabha,,,,
Q16890538,Q42509248,Member of the 16th Lok Sabha,"","",Fatehpur Sikri Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Fatehpur Sikri Lok Sabha constituency,,,
Q16890553,Q42509248,Member of the 16th Lok Sabha,"","",Hisar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Hisar Lok Sabha constituency,,,
Q16890566,Q42509248,Member of the 16th Lok Sabha,"","",Narsapuram Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Narsapuram Lok Sabha constituency,,,
Q16890575,Q42509248,Member of the 16th Lok Sabha,"","",Ghosi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Ghosi Lok Sabha constituency,,,
Q16890592,Q42509248,Member of the 16th Lok Sabha,"","",Idukki Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Idukki Lok Sabha constituency,,,
Q16890604,Q42509248,Member of the 16th Lok Sabha,"","",Amroha Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Amroha Lok Sabha constituency,,,
Q16890620,Q42509248,Member of the 16th Lok Sabha,"","",Gautam Buddha Nagar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Gautam Buddha Nagar Lok Sabha constituency,,,
Q16890620,Q56051771,Member of the 17th Lok Sabha,"","",Gautam Buddha Nagar Lok Sabha constituency,17th Lok Sabha,,,,
Q16890657,Q42509248,Member of the 16th Lok Sabha,"","",Mumbai South Central Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Mumbai South Central Lok Sabha constituency,,,
Q16890657,Q56051771,Member of the 17th Lok Sabha,"","",Mumbai South Central Lok Sabha constituency,17th Lok Sabha,,,,
Q16890659,Q42509248,Member of the 16th Lok Sabha,"","",Etah Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Etah Lok Sabha constituency,,,
Q16890659,Q42513698,Member of the 12th Lok Sabha,"","",Aonla Lok Sabha constituency,,,,,
Q16890659,Q56051771,Member of the 17th Lok Sabha,"","",Etah Lok Sabha constituency,17th Lok Sabha,,,,
Q16897817,Q42509248,Member of the 16th Lok Sabha,"","",Mahabubnagar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Mahbubnagar Lok Sabha constituency,,,
Q16897817,Q42510875,Member of the 13th Lok Sabha,"","",Mahabubnagar Lok Sabha constituency,,,,,
Q16897818,Q42509248,Member of the 16th Lok Sabha,"","",Rajnandgaon Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Rajnandgaon Lok Sabha constituency,,,
Q16897819,Q42509248,Member of the 16th Lok Sabha,"","",Muzaffarpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Muzaffarpur Lok Sabha constituency,,,
Q16897819,Q56051771,Member of the 17th Lok Sabha,"","",Muzaffarpur Lok Sabha constituency,17th Lok Sabha,,,,
Q16897821,Q42509248,Member of the 16th Lok Sabha,"",2014-05-18,Arambagh Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Arambagh Lok Sabha constituency,,,Sakti Mohan Malik
Q16897821,Q56051771,Member of the 17th Lok Sabha,"","",Arambagh Lok Sabha constituency,17th Lok Sabha,,,,
Q16897822,Q42509248,Member of the 16th Lok Sabha,"",2014-05-18,Balurghat Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Balurghat Lok Sabha constituency,,,Prasanta Kumar Majumdar
Q16897823,Q42509248,Member of the 16th Lok Sabha,"","",Mahabubabad Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Mahabubabad Lok Sabha constituency,,,
Q16897825,Q42509248,Member of the 16th Lok Sabha,"","",Peddapalli Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Peddapalle Lok Sabha constituency,,,
Q16897826,Q42509248,Member of the 16th Lok Sabha,"","",Korba Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Korba Lok Sabha constituency,,,
Q16897834,Q3526627,Member of a Legislative Assembly of India,member of a state government of India,2009,Baharagora Vidhan Sabha constituency,,,2014,Kunal Sarangi,
Q16897834,Q42509248,Member of the 16th Lok Sabha,"",2014-05-26,Jamshedpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Jamshedpur Lok Sabha constituency,,,Ajay Kumar
Q16897834,Q56051771,Member of the 17th Lok Sabha,"","",Jamshedpur Lok Sabha constituency,17th Lok Sabha,,,,
Q16897835,Q42509248,Member of the 16th Lok Sabha,"",2014,Jalpaiguri Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Jalpaiguri Lok Sabha constituency,,,Mahendra Kumar Roy
Q16897839,Q42509248,Member of the 16th Lok Sabha,"","",Kurnool Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kurnool Lok Sabha constituency,,,
Q16897841,Q42509248,Member of the 16th Lok Sabha,"","",Mandya Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Mandya Lok Sabha constituency,2018-05-21,,
Q16897843,Q42509248,Member of the 16th Lok Sabha,"","",Malkajgiri Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Malkajgiri Lok Sabha constituency,,,
Q16897859,Q42509248,Member of the 16th Lok Sabha,"","",Kheda Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kheda Lok Sabha constituency,,,
Q16897859,Q56051771,Member of the 17th Lok Sabha,"","",Kheda Lok Sabha constituency,17th Lok Sabha,,,,
Q16897860,Q42509248,Member of the 16th Lok Sabha,"","",Bhiwani-Mahendragarh Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bhiwani-Mahendragarh Lok Sabha constituency,,,
Q16897860,Q56051771,Member of the 17th Lok Sabha,"","",Bhiwani-Mahendragarh Lok Sabha constituency,17th Lok Sabha,,,,
Q16897862,Q42509248,Member of the 16th Lok Sabha,"",2014-05-26,Patiala Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Patiala Lok Sabha constituency,,,Preneet Kaur
Q16897863,Q42509248,Member of the 16th Lok Sabha,"","",Sabarkantha Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Sabarkantha Lok Sabha constituency,,,
Q16897863,Q56051771,Member of the 17th Lok Sabha,"","",Sabarkantha Lok Sabha constituency,17th Lok Sabha,,,,
Q16897866,Q42509248,Member of the 16th Lok Sabha,"","",Surendranagar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Surendranagar Lok Sabha constituency,,,
Q16897876,Q42509248,Member of the 16th Lok Sabha,"","",Fatehgarh Sahib Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Fatehgarh Sahib Lok Sabha constituency,,,
Q16897877,Q42509248,Member of the 16th Lok Sabha,"","",Rajsamand Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Rajsamand Lok Sabha constituency,,,
Q16897882,Q42509248,Member of the 16th Lok Sabha,"",2014,Basirhat Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Basirhat Lok Sabha constituency,,,Haji Nurul Islam
Q16897883,Q42509248,Member of the 16th Lok Sabha,"","",Anantapuramu Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Anantapur Lok Sabha constituency,,,
Q16897884,Q42509248,Member of the 16th Lok Sabha,"","",Gopalganj Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Gopalganj (sc) Lok Sabha constituency,,,
Q16897886,Q42509248,Member of the 16th Lok Sabha,"","",Dahod Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Dahod Lok Sabha constituency,,,
Q16897886,Q56051771,Member of the 17th Lok Sabha,"","",Dahod Lok Sabha constituency,17th Lok Sabha,,,,
Q16897887,Q42509248,Member of the 16th Lok Sabha,"","",Hazaribagh Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Hazaribagh Lok Sabha constituency,,,
Q16897887,Q56051771,Member of the 17th Lok Sabha,"","",Hazaribagh Lok Sabha constituency,17th Lok Sabha,,,,
Q16897888,Q42509248,Member of the 16th Lok Sabha,"","",Valsad Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Valsad Lok Sabha constituency,,,
Q16897888,Q56051771,Member of the 17th Lok Sabha,"","",Valsad Lok Sabha constituency,17th Lok Sabha,,,,
Q16897890,Q42509248,Member of the 16th Lok Sabha,"","",Jorhat Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Jorhat Lok Sabha constituency,,,
Q16897891,Q42509248,Member of the 16th Lok Sabha,"","",Surguja Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Sarguja Lok Sabha constituency,,,
Q16897892,Q42509248,Member of the 16th Lok Sabha,"","",Visakhapatnam Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Visakhapatnam Lok Sabha constituency,,,
Q16897895,Q42509248,Member of the 16th Lok Sabha,"","",Vijayawada Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Vijayawada Lok Sabha constituency,,,
Q16897895,Q56051771,Member of the 17th Lok Sabha,"","",Vijayawada Lok Sabha constituency,17th Lok Sabha,,,,
Q16897896,Q42509248,Member of the 16th Lok Sabha,"","",Chevella Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Chelvella Lok Sabha constituency,,,
Q16897897,Q42509248,Member of the 16th Lok Sabha,"","",Araku Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Aruku Lok Sabha constituency,,,
Q16900559,Q42509248,Member of the 16th Lok Sabha,"",2014-05-26,Kalahandi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kalahandi Lok Sabha constituency,,,Bhakta Charan Das
Q16900893,Q24546266,Member of the Odisha Legislative Assembly,political position in India,"",,,,,,
Q16900893,Q42509248,Member of the 16th Lok Sabha,"","",Nabarangpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Nabarangpur Lok Sabha constituency,,,
Q16900893,Q61479084,Member of the Fifteenth Odisha Legislative Assembly,"",2014-05-18,Lanjigarh Vidhan Sabha constituency,Fifteenth Odisha Legislative Assembly,2014 Odisha Legislative Assembly election,,,
Q16900893,Q61479168,Member of the Thirteenth Odisha Legislative Assembly,"",2004-05-15,,Thirteenth Odisha Legislative Assembly,"Odisha Legislative Assembly election, 2004",2009-05-19,,
Q16900893,Q61479266,Member of the Twelfth Odisha Legislative Assembly,"",2000-02-29,Narla Vidhan Sabha constituency,Twelfth Odisha Legislative Assembly,2000 Odisha Legislative Assembly election,2004-02-06,,
Q16900893,Q61479293,Member of the Eleventh Odisha Legislative Assembly,"",1995-03-15,Narla Vidhan Sabha constituency,Eleventh Odisha Legislative Assembly,1995 Odisha Legislative Assembly election,2000-02-29,,
Q16900893,Q61479298,Member of the Tenth Odisha Legislative Assembly,"",1990-03-03,,Tenth Odisha Legislative Assembly,1990 Odisha Legislative Assembly election,1995-03-15,,
Q16901147,Q167156,Ministry of Road Transport and Highways,government ministry in India,2014-05-26,,,,2014-11-26,,
Q16901147,Q42509248,Member of the 16th Lok Sabha,"",2014-05-26,Faridabad Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Faridabad Lok Sabha constituency,,,Avtar Singh Bhadana
Q16901147,Q4294701,Ministry of Social Justice and Empowerment,"",2014-11-26,,,,,,
Q16901147,Q4294719,Ministry of Shipping,"",2014-05-26,,,,2014-11-26,Pon Radhakrishnan,
Q16901147,Q56051771,Member of the 17th Lok Sabha,"","",Faridabad Lok Sabha constituency,17th Lok Sabha,,,,
Q16901152,Q42509248,Member of the 16th Lok Sabha,"","",Bilaspur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bilaspur Lok Sabha constituency,,,
Q16901163,Q42509248,Member of the 16th Lok Sabha,"","",Bapatla Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bapatla Lok Sabha constituency,,,
Q16901165,Q42509248,Member of the 16th Lok Sabha,"",2014,Bardhaman-Durgapur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Burdwan - Durgapur Lok Sabha constituency,,,Sheikh Saidul Haque
Q16901167,Q42509248,Member of the 16th Lok Sabha,"","",Karauli-Dholpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Karauli-dholpur Lok Sabha constituency,,,
Q16901167,Q56051771,Member of the 17th Lok Sabha,"","",Karauli-Dholpur Lok Sabha constituency,17th Lok Sabha,,,,
Q16901183,Q42509248,Member of the 16th Lok Sabha,"","",Anakapalli Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Anakapalli Lok Sabha constituency,,,
Q16901193,Q42509248,Member of the 16th Lok Sabha,"",2014-05-16,Rajampet Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Rajampet Lok Sabha constituency,2018-06-20,,
Q16901193,Q56051771,Member of the 17th Lok Sabha,"","",Rajampet Lok Sabha constituency,17th Lok Sabha,,,,
Q16901194,Q42509248,Member of the 16th Lok Sabha,"","",Amalapuram Lok Sabha Constituency,16th Lok Sabha,2014 Indian general election in Amalapuram Lok Sabha constituency,,,
Q16901201,Q42509248,Member of the 16th Lok Sabha,"","",Khammam Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Khammam Lok Sabha constituency,,,
Q16901207,Q42509248,Member of the 16th Lok Sabha,"","",Karimganj Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Karimganj Lok Sabha constituency,,,
Q16901214,Q42509248,Member of the 16th Lok Sabha,"","",Sitamarhi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Sitamarhi Lok Sabha constituency,,,
Q16901218,Q42509248,Member of the 16th Lok Sabha,"","",Vaishali Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Vaishali Lok Sabha constituency,,,
Q16901220,Q42509248,Member of the 16th Lok Sabha,"","",Sonipat Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Sonipat Lok Sabha constituency,,,
Q16901220,Q56051771,Member of the 17th Lok Sabha,"","",Sonipat Lok Sabha constituency,17th Lok Sabha,,,,
Q16901223,Q42509248,Member of the 16th Lok Sabha,"","",Srikakulam Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Srikakulam Lok Sabha constituency,,,
Q16901223,Q56051771,Member of the 17th Lok Sabha,"","",Srikakulam Lok Sabha constituency,17th Lok Sabha,,,,
Q16901226,Q42509248,Member of the 16th Lok Sabha,"","",Khadoor Sahib Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Khadoor Sahib Lok Sabha constituency,,,
Q16901228,Q24525324,Member of the Jharkhand Legislative Assembly,political position in India,"",,,,,,
Q16901228,Q42509248,Member of the 16th Lok Sabha,"","",Kodarma Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kodarma Lok Sabha constituency,,,
