id,position,label,description,start_date,constituency,term,election,end_date,replaced_by,replaces
Q12457057,Q42510526,Member of the 14th Lok Sabha,"","",Davangere Lok Sabha constituency,,,,,
Q12457057,Q42510875,Member of the 13th Lok Sabha,"","",Davangere Lok Sabha constituency,,,,,
Q12457057,Q56051771,Member of the 17th Lok Sabha,"","",Davangere Lok Sabha constituency,17th Lok Sabha,,,,
Q1287413,Q16868002,Minister of Urban Development (India),"",2011-01,,,,2012-10,,
Q1287413,Q42509248,Member of the 16th Lok Sabha,"","",Chhindwara Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Chhindwara Lok Sabha constituency,,,
Q1287413,Q42509330,Member of the 15th Lok Sabha,"","",Chhindwara Lok Sabha constituency,,,,,
Q1287413,Q42510875,Member of the 13th Lok Sabha,"","",Chhindwara Lok Sabha constituency,,,,,
Q1287413,Q42513698,Member of the 12th Lok Sabha,"","",Chhindwara Lok Sabha constituency,,,,,
Q1287413,Q55018639,Chief Minister of Madhya Pradesh,chief minister of a state in India,2018-12-17,,,,,,Shivraj Singh Chauhan
Q1287413,Q6866058,Minister of Commerce and Industry,head of the Ministry of Commerce and Industry in India,2004-05,,,,2009-04,,
Q1287413,Q6866308,Minister of Road Transport and Highways,"",2009-05-22,,,,2011-01-18,C. P. Joshi,T. R. Baalu
Q13110635,Q42509248,Member of the 16th Lok Sabha,"","",Wayanad Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Wayanad Lok Sabha constituency,,,
Q13110635,Q42509330,Member of the 15th Lok Sabha,"","",Wayanad Lok Sabha constituency,,,,,
Q13111517,Q19468152,Member of the Kerala Legislative Assembly,political position in India,"",,,,,,
Q13111517,Q42509248,Member of the 16th Lok Sabha,"","",Alappuzha Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Alappuzha Lok Sabha constituency,,,
Q13111517,Q42509330,Member of the 15th Lok Sabha,"","",Alappuzha Lok Sabha constituency,,,,,
Q13564443,Q17324844,member of the Rajya Sabha,"","",,,,,,
Q13564443,Q42509248,Member of the 16th Lok Sabha,"","",Kollam Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kollam Lok Sabha constituency,,,
Q13564443,Q42513698,Member of the 12th Lok Sabha,"","",Kollam Lok Sabha constituency,,,,,
Q13564443,Q42529900,Member of the 11th Lok Sabha,"","",Kollam Lok Sabha constituency,,,,,
Q13564443,Q56051771,Member of the 17th Lok Sabha,"","",Kollam Lok Sabha constituency,17th Lok Sabha,,,,
Q1428118,Q17073489,Minister of Health and Family Welfare,"",2004-05-22,,,,2009-05-22,,
Q1428118,Q17324844,member of the Rajya Sabha,"","",,,,,,
Q1428118,Q42509248,Member of the 16th Lok Sabha,"",2014-05-16,Dharmapuri Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Dharmapuri Lok Sabha constituency,,,
Q14647783,Q24461612,Member of the Delhi Legislative Assembly,political position in India,"",,,,,,
Q14647783,Q42509248,Member of the 16th Lok Sabha,"","",Chandni Chowk Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Chandni Chowk Lok Sabha constituency,,,
Q14647783,Q56051771,Member of the 17th Lok Sabha,"","",Chandni Chowk Lok Sabha constituency,17th Lok Sabha,,,,
Q14647783,Q6866319,Minister of Science and Technology,Indian cabinet minister,2014-11-09,,,,,,
Q14917548,Q42509248,Member of the 16th Lok Sabha,"","",Jalgaon Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Jalgaon Lok Sabha constituency,,,
Q14917548,Q42509330,Member of the 15th Lok Sabha,"","",Jalgaon Lok Sabha constituency,,,,,
Q14922951,Q24525419,Member of the Karnataka Legislative Assembly,political position in India,"",,,,,,
Q14922951,Q42509248,Member of the 16th Lok Sabha,"","",Chikodi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Chikkodi Lok Sabha constituency,,,
Q15113996,Q42509248,Member of the 16th Lok Sabha,"","",New Delhi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in New Delhi Lok Sabha constituency,,,
Q15113996,Q42509330,Member of the 15th Lok Sabha,"","",New Delhi Lok Sabha constituency,,,,,
Q15113996,Q56051771,Member of the 17th Lok Sabha,"","",New Delhi Lok Sabha constituency,17th Lok Sabha,,,,
Q15216956,Q24461612,Member of the Delhi Legislative Assembly,political position in India,"",,,,,,
Q15216956,Q42509248,Member of the 16th Lok Sabha,"","",West Delhi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in West Delhi Lok Sabha constituency,,,
Q15216956,Q56051771,Member of the 17th Lok Sabha,"","",West Delhi Lok Sabha constituency,17th Lok Sabha,,,,
Q15456220,Q17324844,member of the Rajya Sabha,"","",,,,,,
Q15456220,Q42509248,Member of the 16th Lok Sabha,"",2014-05-16,Darjeeling Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Darjeeling Lok Sabha constituency,,,Jaswant Singh
Q15456220,Q56051771,Member of the 17th Lok Sabha,"","",Bardhaman-Durgapur Lok Sabha constituency,17th Lok Sabha,,,,
Q15719409,Q42509248,Member of the 16th Lok Sabha,"","",Mysore Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Mysore Lok Sabha constituency,,,
Q15719409,Q56051771,Member of the 17th Lok Sabha,"","",Mysore Lok Sabha constituency,17th Lok Sabha,,,,
Q15730347,Q42509248,Member of the 16th Lok Sabha,"","",Sheohar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Sheohar Lok Sabha constituency,,,
Q15730347,Q42509330,Member of the 15th Lok Sabha,"","",Sheohar Lok Sabha constituency,,,,,
Q15730347,Q56051771,Member of the 17th Lok Sabha,"","",Sheohar Lok Sabha constituency,17th Lok Sabha,,,,
Q158136,Q42509248,Member of the 16th Lok Sabha,"",2014-05-16,Chandigarh Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Chandigarh Lok Sabha constituency,,,
Q158136,Q56051771,Member of the 17th Lok Sabha,"","",Chandigarh Lok Sabha constituency,17th Lok Sabha,,,,
Q15940945,Q42509248,Member of the 16th Lok Sabha,"","",Tehri Garhwal Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Tehri Garhwal Lok Sabha constituency,,,
Q15940945,Q56051771,Member of the 17th Lok Sabha,"","",Tehri Garhwal Lok Sabha constituency,17th Lok Sabha,,,,
Q15991037,Q17599276,Member of the Rajasthan Legislative Assembly,political position in India,"",,,,,,
Q15991037,Q42509248,Member of the 16th Lok Sabha,"","",Jhunjhunu Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Jhunjhunu Lok Sabha constituency,,,
Q1609586,Q42509248,Member of the 16th Lok Sabha,"",2014,Bankura Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bankura Lok Sabha constituency,2019,,Basudeb Acharia
Q16104982,Q18039836,Member of the Uttar Pradesh Legislative Assembly,political position in India,"",,,,,,
Q16104982,Q42509248,Member of the 16th Lok Sabha,"","",Kairana Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Kairana Lok Sabha constituency,2018-02-03,Begum Tabassum Hasan,
Q16105255,Q42509248,Member of the 16th Lok Sabha,"","",Madhubani Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Madhubani Lok Sabha constituency,,,
Q16105255,Q42509330,Member of the 15th Lok Sabha,"","",Madhubani Lok Sabha constituency,,,,,
Q16105255,Q42510875,Member of the 13th Lok Sabha,"","",Madhubani Lok Sabha constituency,,,,,
Q16105883,Q42509248,Member of the 16th Lok Sabha,"","",Ranchi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Ranchi Lok Sabha constituency,,,
Q16105883,Q42510875,Member of the 13th Lok Sabha,"","",Ranchi Lok Sabha constituency,,,,,
Q16105883,Q42513698,Member of the 12th Lok Sabha,"","",Ranchi Lok Sabha constituency,,,,,
Q16105883,Q42529900,Member of the 11th Lok Sabha,"","",Ranchi Lok Sabha constituency,,,,,
Q16145766,Q42509248,Member of the 16th Lok Sabha,"","",Ahmedabad West Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Ahmedabad West Lok Sabha constituency,,,
Q16145766,Q42509330,Member of the 15th Lok Sabha,"","",Ahmedabad West Lok Sabha constituency,,,,,
Q16145766,Q56051771,Member of the 17th Lok Sabha,"","",Ahmedabad West Lok Sabha constituency,17th Lok Sabha,,,,
Q16146117,Q17599276,Member of the Rajasthan Legislative Assembly,political position in India,"",,,,,,
Q16146117,Q42509248,Member of the 16th Lok Sabha,"","",Bharatpur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bharatpur Lok Sabha constituency,,,
Q16146117,Q42510875,Member of the 13th Lok Sabha,"","",Bayana Lok Sabha constituency,13th Lok Sabha,,,,
Q16147813,Q42509248,Member of the 16th Lok Sabha,"","",Pune Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Pune Lok Sabha constituency,,,
Q16149149,Q42509248,Member of the 16th Lok Sabha,"","",Ambala Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Ambala Lok Sabha constituency,,,
Q16149149,Q42510875,Member of the 13th Lok Sabha,"","",Ambala Lok Sabha constituency,,,,,
Q16149149,Q56051771,Member of the 17th Lok Sabha,"","",Ambala Lok Sabha constituency,17th Lok Sabha,,,,
Q16150082,Q42509248,Member of the 16th Lok Sabha,"","",Chhota Udaipur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Chhota Udaipur Lok Sabha constituency,,,
Q16150082,Q42510875,Member of the 13th Lok Sabha,"","",Chhota Udaipur Lok Sabha constituency,,,,,
Q16151657,Q42509248,Member of the 16th Lok Sabha,"","",Khandwa Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Khandwa Lok Sabha constituency,,,
Q16151657,Q42510875,Member of the 13th Lok Sabha,"","",Khandwa Lok Sabha constituency,,,,,
Q16151657,Q42513698,Member of the 12th Lok Sabha,"","",Khandwa Lok Sabha constituency,,,,,
Q16151657,Q42529900,Member of the 11th Lok Sabha,"","",Khandwa Lok Sabha constituency,,,,,
Q16151657,Q56051771,Member of the 17th Lok Sabha,"","",Khandwa Lok Sabha constituency,17th Lok Sabha,,,,
Q16154549,Q42509248,Member of the 16th Lok Sabha,"","",Bathinda Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bathinda Lok Sabha constituency,,,
Q16154549,Q42509330,Member of the 15th Lok Sabha,"",2009,Bathinda Lok Sabha constituency,,,,,Paramjit Kaur Gulshan
Q16154549,Q56051771,Member of the 17th Lok Sabha,"","",Bathinda Lok Sabha constituency,17th Lok Sabha,,,,
Q16185592,Q42509248,Member of the 16th Lok Sabha,"","",Arrah Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Arrah Lok Sabha constituency,,,
Q16185592,Q56051771,Member of the 17th Lok Sabha,"","",Arrah Lok Sabha constituency,17th Lok Sabha,,,,
Q16186182,Q42509248,Member of the 16th Lok Sabha,"","",Banaskantha Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Banaskantha Lok Sabha constituency,,,
Q16186182,Q42509330,Member of the 15th Lok Sabha,"",2013,Banaskantha Lok Sabha constituency,,,,,Mukesh Gadhvi
Q16186182,Q42510875,Member of the 13th Lok Sabha,"","",Banaskantha Lok Sabha constituency,,,,,
Q16186182,Q42513698,Member of the 12th Lok Sabha,"","",Banaskantha Lok Sabha constituency,,,,,
Q16186482,Q13119774,Member of the Maharashtra Legislative Assembly,political position in India,"",,,,,,
Q16186482,Q42509248,Member of the 16th Lok Sabha,"","",Mumbai North Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Mumbai North Lok Sabha constituency,,,
Q16186482,Q56051771,Member of the 17th Lok Sabha,"","",Mumbai North Lok Sabha constituency,17th Lok Sabha,,,,
Q16186580,Q42509248,Member of the 16th Lok Sabha,"",2014,Howrah Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Howrah Lok Sabha constituency,,,Prasun Banerjee
Q16186580,Q42509330,Member of the 15th Lok Sabha,"",2013,Howrah Lok Sabha constituency,15th Lok Sabha,,2014,Prasun Banerjee,Ambica Banerjee
Q16186580,Q56051771,Member of the 17th Lok Sabha,"","",Howrah Lok Sabha constituency,17th Lok Sabha,,,,
Q16186898,Q42509248,Member of the 16th Lok Sabha,"","",Baghpat Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Baghpat Lok Sabha constituency,,,
Q16186898,Q56051771,Member of the 17th Lok Sabha,"","",Baghpat Lok Sabha constituency,17th Lok Sabha,,,,
Q16187254,Q42509248,Member of the 16th Lok Sabha,"","",Sasaram Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Sasaram (sc) Lok Sabha constituency,,,
Q16187254,Q56051771,Member of the 17th Lok Sabha,"","",Sasaram Lok Sabha constituency,17th Lok Sabha,,,,
Q16187328,Q42509248,Member of the 16th Lok Sabha,"","",Bhilwara Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bhilwara Lok Sabha constituency,,,
Q16187328,Q42529900,Member of the 11th Lok Sabha,"","",Bhilwara Lok Sabha constituency,,,,,
Q16187328,Q56051771,Member of the 17th Lok Sabha,"","",Bhilwara Lok Sabha constituency,17th Lok Sabha,,,,
Q16189554,Q42509248,Member of the 16th Lok Sabha,"","",Bharuch Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Bharuch Lok Sabha constituency,,,
Q16189554,Q42509330,Member of the 15th Lok Sabha,"","",Bharuch Lok Sabha constituency,,,,,
Q16189554,Q42510875,Member of the 13th Lok Sabha,"","",Bharuch Lok Sabha constituency,,,,,
Q16189554,Q56051771,Member of the 17th Lok Sabha,"","",Bharuch Lok Sabha constituency,17th Lok Sabha,,,,
Q16193188,Q42509248,Member of the 16th Lok Sabha,"","",Nalanda Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Nalanda Lok Sabha constituency,,,
Q16193188,Q42509330,Member of the 15th Lok Sabha,"",2009,Nalanda Lok Sabha constituency,,,,,Ramswaroop Prasad
Q16193188,Q56051771,Member of the 17th Lok Sabha,"","",Nalanda Lok Sabha constituency,17th Lok Sabha,,,,
Q16193959,Q24461612,Member of the Delhi Legislative Assembly,political position in India,"",,,,,,
Q16193959,Q42509248,Member of the 16th Lok Sabha,"","",South Delhi Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in South Delhi Lok Sabha constituency,,,
Q16193959,Q42509330,Member of the 15th Lok Sabha,"","",West Delhi Lok Sabha constituency,,,,,
Q16193959,Q56051771,Member of the 17th Lok Sabha,"","",South Delhi Lok Sabha constituency,17th Lok Sabha,,,,
Q16194549,Q42509248,Member of the 16th Lok Sabha,"","",Firozepur Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Firozpur Lok Sabha constituency,,,
