statement,id,name,start_date,end_date,wikidata
Q2317490-4D7BBCB6-966C-49F7-A6C1-83C9FC7E3BE8,1,1st Lok Sabha,1952-04-17,1957-04-04,Q2317490
Q2402693-A8F4EAA3-0268-41C8-B74A-7F059BBDADA1,2,2nd Lok Sabha,1957-04-05,1962-03-31,Q2402693
Q3522127-73FE61C2-A4AB-44F5-AFF8-6AAC0D354BB6,3,3rd Lok Sabha,1962-04-02,1967-03-03,Q3522127
Q3522016-EC74459F-F9D6-4B96-A1E3-8A6A8A2BFC52,4,4th Lok Sabha,1967-03-04,1970-12-27,Q3522016
Q3523480-09223208-8EA8-46F8-8E47-B2721280615E,5,5th Lok Sabha,1971-03-15,1977-01-18,Q3523480
Q3522682-96CD838B-5AE6-42C0-B912-4250A4FDF882,6,6th Lok Sabha,1977-03-23,1979-08-22,Q3522682
Q3534076-BE427425-243E-4351-B986-FED400A0044E,7,7th Lok Sabha,1980-01-18,1984-12-31,Q3534076
Q3534144-2ECD96C7-C46A-4E27-8753-1F01545423B5,8,8th Lok Sabha,1984-12-31,1989-11-27,Q3534144
Q3534169-F9332C31-F8F3-4454-9F12-6E29F5CE6A70,9,9th Lok Sabha,1989-12-02,1991-03-13,Q3534169
Q3522615-77F6418A-248B-452D-BF09-D418267C7187,10,10th Lok Sabha,1991-06-20,1996-05-10,Q3522615
Q3534024-8445FED7-353F-49A9-A158-6D6471DC75E5,11,11th Lok Sabha,1996-05-15,1997-12-04,Q3534024
Q3523469-2F1776BB-8B89-4B9D-8CB5-4CF20E0A6CFD,12,12th Lok Sabha,1998-03-10,1999-04-26,Q3523469
Q3521642-59430CBD-53AB-4C14-9C76-D5B05E9F51E4,13,13th Lok Sabha,1999-10-10,2004-02-06,Q3521642
Q3521611-AF30FFD5-50F5-419C-8DC8-ECE9C920C6D2,14,14th Lok Sabha,2004-05-17,2009-05-18,Q3521611
Q2617526-9864d8f6-48dc-2906-9fff-dc036d559c2e,15,15th Lok Sabha,2009-05-22,2014-05-18,Q2617526
Q15978395-c8ca3479-47f8-2bb4-e293-af10fbc30a5d,16,16th Lok Sabha,2014-05-26,"",Q15978395
