id,label,type
Q11984312,Minister of Labour and Social Inclusion,cabinet
Q11992117,Minister of Agriculture and Food (Norway),cabinet
Q14436783,"Minister of Children, Equality and Social Inclusion",cabinet
Q1769706,Minister of Justice and Public Security,cabinet
Q18018541,Foreign Minister of Norway,cabinet
Q22981866,Minister of Education and Research,cabinet
Q2334076,Prime Minister of Norway,cabinet
Q25342372,"Minister of Government Administration, Reform and Church Affairs",cabinet
Q25376088,Minister of Education and Church Affairs,cabinet
Q3356730,Minister of Climate and the Environment,cabinet
Q3437006,Minister of Local Government and Regional Development,cabinet
Q3734685,Minister of Finance of Norway,cabinet
Q4574171,Minister of International Development,cabinet
Q56489714,Minister of Trade and Industry,cabinet
Q6514745,Minister of Transport and Communications,cabinet
Q6866085,Minister of Culture,cabinet
Q6866170,Minister of Health and Care Services,cabinet
Q6866276,Minister of Petroleum and Energy,cabinet
