name,image,dpto,dip,id,party,type,term,source,area,area_id
Gonzalo Aguilar Ayma,http://www.diputados.bo/script/imagenes/Oruro/aguilar.ag.jpg,Oruro,Uninominal C - 29,aguilar.ag,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,C - 29
Rosa Alvarez Choquetupa,http://www.diputados.bo/script/imagenes/Potosi/alvarez.cr.jpg,Potosi,Uninominal C - 39,alvarez.cr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,C - 39
Anacleta Amurrio Paniagua,http://www.diputados.bo/script/imagenes/Santa%20Cruz/amurrio.pa.jpg,Santa Cruz,Uninominal C - 55,amurrio.pa,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 55
Virginia Anze Nina,http://www.diputados.bo/script/imagenes/Potosi/anze.nv.jpg,Potosi,Plurinominal,anze.nv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,
Dulce Maria Araujo Dominguez,http://www.diputados.bo/script/imagenes/Pando/araujo.dd.jpg,Pando,Plurinominal,araujo.dd,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Pando,
Adriana Arias Calderón,http://www.diputados.bo/script/imagenes/Santa%20Cruz/arias.ca.jpg,Santa Cruz,Uninominal C - 49,arias.ca,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 49
Ros Mery Arias Quiroga,http://www.diputados.bo/script/imagenes/Cochabamba/arias.qr.jpg,Cochabamba,Uninominal C - 28,arias.qr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,C - 28
Walter Ayala Siripi,http://www.diputados.bo/script/imagenes/Pando/ayala.sw.jpg,Pando,Especial,ayala.sw,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Pando,
Gonzalo Guillermo Barrientos Alvarado,http://www.diputados.bo/script/imagenes/Potosi/barrientos.ag.jpg,Potosi,Uninominal C - 33,barrientos.ag,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,C - 33
Celia Andrea Bonilla Gemio,http://www.diputados.bo/script/imagenes/La%20Paz/bonilla.gc.jpg,La Paz,Plurinominal,bonilla.gc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Victor Ezequiel Borda Belzu,http://www.diputados.bo/script/imagenes/Potosi/borda.bv.jpg,Potosi,Uninominal C - 34,borda.bv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,C - 34
Sonia Silvia Brito Sandoval,http://www.diputados.bo/script/imagenes/La%20Paz/brito.ss.jpg,La Paz,Uninominal C - 8,brito.ss,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 8
Eddy Henrry Cabrera Carlo,http://www.diputados.bo/script/imagenes/Santa%20Cruz/cabrera.ce.jpg,Santa Cruz,Plurinominal,cabrera.ce,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Juan Cala Ortega,http://www.diputados.bo/script/imagenes/Santa%20Cruz/cala.oj.jpg,Santa Cruz,Uninominal C - 52,cala.oj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 52
Maria Eugenia Calcina Rivero,http://www.diputados.bo/script/imagenes/La%20Paz/calcina.rm.jpg,La Paz,Plurinominal,calcina.rm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Maria Natalia Calle Perez,http://www.diputados.bo/script/imagenes/La%20Paz/calle.pm.jpg,La Paz,Plurinominal,calle.pm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Delia Canaviri Condori,http://www.diputados.bo/script/imagenes/Oruro/canaviri.cd.jpg,Oruro,Uninominal C - 32,canaviri.cd,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,C - 32
Jose Manuel Canelas Jaime,http://www.diputados.bo/script/imagenes/La%20Paz/canelas.jj.jpg,La Paz,Plurinominal,canelas.jj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Alicia Canqui Condori,http://www.diputados.bo/script/imagenes/Chuquisaca/canqui.ca.jpg,Chuquisaca,Plurinominal,canqui.ca,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Chuquisaca,
Beatriz Eliane Capobianco Sandoval,http://www.diputados.bo/script/imagenes/Santa%20Cruz/capobianco.sb.jpg,Santa Cruz,Plurinominal,capobianco.sb,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Juan Lino Cardenas Ortega,http://www.diputados.bo/script/imagenes/Tarija/cardenas.oj.jpg,Tarija,Plurinominal,cardenas.oj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Tarija,
Sandra Cartagena Lopez,http://www.diputados.bo/script/imagenes/Cochabamba/cartagena.ls.jpg,Cochabamba,Uninominal C - 21,cartagena.ls,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,C - 21
Elisa Catari Méndez,http://www.diputados.bo/script/imagenes/Potosi/catari.me.jpg,Potosi,Uninominal C - 35,catari.me,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,C - 35
Ruben Chambi Mollericona,http://www.diputados.bo/script/imagenes/La%20Paz/chambi.mr.jpg,La Paz,Uninominal C - 19,chambi.mr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 19
Patricia Chavez Noe,http://www.diputados.bo/script/imagenes/Cochabamba/chavez.np.jpg,Cochabamba,Especial,chavez.np,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,
Pura Leny Chavez Vaca,http://www.diputados.bo/script/imagenes/Santa%20Cruz/chavez.vp.jpg,Santa Cruz,Uninominal C - 44,chavez.vp,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,C - 44
Aniceto Choque Chino,http://www.diputados.bo/script/imagenes/Oruro/choque.ca.jpg,Oruro,Plurinominal,choque.ca,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,
Simon Sergio Choque Siñani,http://www.diputados.bo/script/imagenes/La%20Paz/choque.ss.jpg,La Paz,Uninominal C - 12,choque.ss,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 12
Otilia Choque Veliz,http://www.diputados.bo/script/imagenes/Oruro/choque.vo.jpg,Oruro,Plurinominal,choque.vo,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,
Rosa Ines Chuquimia Tarquino,http://www.diputados.bo/script/imagenes/La%20Paz/chuquimia.tr.jpg,La Paz,Uninominal C - 9,chuquimia.tr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,C - 9
Zacarias Colque Matias,http://www.diputados.bo/script/imagenes/Potosi/colque.mz.jpg,Potosi,Uninominal C - 38,colque.mz,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,C - 38
Fidel Colque Pascual,http://www.diputados.bo/script/imagenes/Potosi/colque.pf.jpg,Potosi,Plurinominal,colque.pf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,
Ana Jimena Costa Benavides,http://www.diputados.bo/script/imagenes/La%20Paz/costa.ba.jpg,La Paz,Plurinominal,costa.ba,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,
Julio Hermogenes Costas Gonzales,http://www.diputados.bo/script/imagenes/Santa%20Cruz/costas.gj.jpg,Santa Cruz,Plurinominal,costas.gj,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
Carmen Muriel Cruz Claros,http://www.diputados.bo/script/imagenes/Santa%20Cruz/cruz.cc.jpg,Santa Cruz,Plurinominal,cruz.cc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,
