name,image,area,id,party,type,term,source,dpto,dip,area_id
Gonzalo Aguilar Ayma,http://www.diputados.bo/script/imagenes/Oruro/aguilar.ag.jpg,Oruro,aguilar.ag,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,Uninominal C - 29,C - 29
Rosa Alvarez Choquetupa,http://www.diputados.bo/script/imagenes/Potosi/alvarez.cr.jpg,Potosi,alvarez.cr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Uninominal C - 39,C - 39
Anacleta Amurrio Paniagua,http://www.diputados.bo/script/imagenes/Santa%20Cruz/amurrio.pa.jpg,Santa Cruz,amurrio.pa,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 55,C - 55
Virginia Anze Nina,http://www.diputados.bo/script/imagenes/Potosi/anze.nv.jpg,Potosi,anze.nv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Plurinominal,
Dulce Maria Araujo Dominguez,http://www.diputados.bo/script/imagenes/Pando/araujo.dd.jpg,Pando,araujo.dd,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Pando,Plurinominal,
Adriana Arias Calderón,http://www.diputados.bo/script/imagenes/Santa%20Cruz/arias.ca.jpg,Santa Cruz,arias.ca,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 49,C - 49
Ros Mery Arias Quiroga,http://www.diputados.bo/script/imagenes/Cochabamba/arias.qr.jpg,Cochabamba,arias.qr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Cochabamba,Uninominal C - 28,C - 28
Walter Ayala Siripi,http://www.diputados.bo/script/imagenes/Pando/ayala.sw.jpg,Pando,ayala.sw,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Pando,Especial,
Gonzalo Guillermo Barrientos Alvarado,http://www.diputados.bo/script/imagenes/Potosi/barrientos.ag.jpg,Potosi,barrientos.ag,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Uninominal C - 33,C - 33
Celia Andrea Bonilla Gemio,http://www.diputados.bo/script/imagenes/La%20Paz/bonilla.gc.jpg,La Paz,bonilla.gc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Victor Ezequiel Borda Belzu,http://www.diputados.bo/script/imagenes/Potosi/borda.bv.jpg,Potosi,borda.bv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Potosi,Uninominal C - 34,C - 34
Sonia Silvia Brito Sandoval,http://www.diputados.bo/script/imagenes/La%20Paz/brito.ss.jpg,La Paz,brito.ss,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Uninominal C - 8,C - 8
Eddy Henrry Cabrera Carlo,http://www.diputados.bo/script/imagenes/Santa%20Cruz/cabrera.ce.jpg,Santa Cruz,cabrera.ce,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Plurinominal,
Juan Cala Ortega,http://www.diputados.bo/script/imagenes/Santa%20Cruz/cala.oj.jpg,Santa Cruz,cala.oj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Santa Cruz,Uninominal C - 52,C - 52
Maria Eugenia Calcina Rivero,http://www.diputados.bo/script/imagenes/La%20Paz/calcina.rm.jpg,La Paz,calcina.rm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Maria Natalia Calle Perez,http://www.diputados.bo/script/imagenes/La%20Paz/calle.pm.jpg,La Paz,calle.pm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
Delia Canaviri Condori,http://www.diputados.bo/script/imagenes/Oruro/canaviri.cd.jpg,Oruro,canaviri.cd,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,Oruro,Uninominal C - 32,C - 32
Jose Manuel Canelas Jaime,http://www.diputados.bo/script/imagenes/La%20Paz/canelas.jj.jpg,La Paz,canelas.jj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php,La Paz,Plurinominal,
