id,identifier__parldata,name,start_date,end_date
40,550303bc273a39033bab34df,Országgyűlés 2014 - ,2014-05-06,
39,550303bc273a39033bab34e1,Országgyűlés 2010 - 2014,2010-05-14,2014-05-05
38,550303bc273a39033bab34e3,Országgyűlés 2006 - 2010,2006-05-16,2010-05-13
37,550303bc273a39033bab34e5,Országgyűlés 2002 - 2006,2002-05-15,2006-05-15
36,550303bc273a39033bab34e7,Országgyűlés 1998 - 2002,1998-06-18,2002-05-14
35,550303bc273a39033bab34e9,Országgyűlés 1994 - 98,1994-06-28,1998-06-17
34,550303bc273a39033bab34eb,Országgyűlés 1990 - 94,1990-05-02,1994-06-27
