id,position,label,description,start_date,term,election,constituency,end_date,replaced_by,replaces,of
Q30103048,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q30103059,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q30103059,Q736559,Secretary of State,minister or senior civil servant in the government of a state,"",,,,,,,
Q30103064,Q17590876,member of the National Assembly of Hungary,"",2016-09-12,2014–2018 legislative term,,,,,,
Q30103066,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31091594,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31092212,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31092223,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31092228,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31092251,Q17590876,member of the National Assembly of Hungary,"",2014-06-30,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31092369,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31092481,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31092510,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31092525,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31094741,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Szabolcs-Szatmár-Bereg County 05,,,,
Q31094909,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31094952,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31094958,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q31094962,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q383427,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Pest County 09,,,,
Q383427,Q736559,Secretary of State,minister or senior civil servant in the government of a state,"",,,,,,,
Q458925,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q465476,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
