id,label,type
Q15304810,Prime Minister of Romania,cabinet
Q17278764,Minister of Relations with the Parliament,cabinet
Q20884417,Minister of Communications and Information Society,cabinet
Q20885066,Minister of Health of Romania,cabinet
Q21159939,Minister of Justice of Romania,cabinet
Q21389881,Minister of Education,cabinet
Q21503604,Minister of Agriculture of Romania,cabinet
Q21503673,Minister of Foreign Affairs of Romania,cabinet
Q21503762,Minister of Development and Administration,cabinet
Q21503769,Minister of Culture,cabinet
Q21503827,Minister of Youth and Sport,cabinet
Q21504145,"Minister of Labor, Family and Social Protection",cabinet
Q21504155,Minister of the Environment and Climate Change,cabinet
Q21504183,Minister of the Economy,cabinet
Q21504197,Minister of National Defence,cabinet
Q21504201,Minister of Internal Affairs,cabinet
Q21504216,Minister of Public Finance,cabinet
Q21504218,Minister of European Funds,cabinet
Q21513080,Minister of Transport and Infrastructure,cabinet
Q21513151,Minister of Energy,cabinet
Q29053668,Minister of Tourism,cabinet
Q29053673,Minister of Tourism and Regional Development of Romania,cabinet
Q47519801,"Minister for Businesses, Trade and Entrepreneurship",cabinet
