id,wikidata
sdp,Q830323
hdz,Q738439
hns,Q1255803
independent,Q327591
most,Q16116415
hdssb,Q1262429
hsu,Q1244748
sdss,Q1261401
ids,Q1261390
hss,Q638194
hsp_as,Q1290995
hsp_dr._ante_starčević,Q1290995
hsls,Q1249448
hgs,Q1563417
bdsh,Q4947403
hrast,Q5187124
dc,Q1270959
buz,Q23758291
hds,Q1055317
reformists,Q18166661
reformisti,Q18166661
labourists,Q1274719
croatian_labourists_–_labour_party,Q1274719
hrid,Q23758335
bm_365,Q20648974
orah,Q15953679
human_shield,Q16117007
new_wave,Q20527390
naprijed_hrvatska!,Q20045390
glas,Q39046276
human_blockade,Q16117007
