statement,id,name,start_date,end_date,wikidata
Q3790289-F5F3D47B-37C7-4DE9-BB51-243A02BDCDB4,1,1st Legislature of Italy,1948-05-08,1953-06-24,Q3790289
Q3788583-92D31EF8-70FD-465A-814C-F63D00AB7B28,2,2nd Legislature of Italy,1953-06-25,1958-06-11,Q3788583
Q3788564-77075749-046F-4F3F-A8DD-0D97C7CBE6FD,3,3rd Legislature of Italy,1958-06-12,1963-05-15,Q3788564
Q3789944-C6C816FD-311A-4EC6-9B9C-76B3D800677C,4,4th Legislature of Italy,1963-05-16,1968-06-04,Q3789944
Q4007102-5F7BF57A-6E9A-4558-A6E2-23DA6C32A14B,5,5th Legislature of Italy,1968-06-05,1972-05-24,Q4007102
Q4007008-86D0A0A3-F42A-4555-BB6B-C5220D956111,6,6th Legislature of Italy,1972-05-25,1976-07-04,Q4007008
Q4006990-4B07D5DD-FD93-4187-AEAB-E3507E3AB14B,7,7th Legislature of Italy,1976-07-05,1979-06-19,Q4006990
Q4006975-0322C93F-2F9B-48E9-B23A-17631FFC34C5,8,8th Legislature of Italy,1979-06-20,1983-07-11,Q4006975
Q3790001-933782B2-B551-46BD-A6A1-D33A982CF0F4,9,9th Legislature of Italy,1983-07-12,1987-07-01,Q3790001
Q4021692-22D661CF-A606-4EF1-88E4-F3B593D4B6FD,10,10th Legislature of Italy,1987-07-02,1992-04-22,Q4021692
Q4021369-22EA07FA-B2F9-42E3-8F2F-7503AEB182E9,11,11th Legislature of Italy,1992-04-23,1994-04-14,Q4021369
Q943400-B0FF0CF3-A248-4B23-82F4-761FB9404FEE,12,12th Legislature of Italy,1994-04-15,1996-05-08,Q943400
Q4021342-822EE00C-FAC2-4D95-BD2C-0A0400D2C6BD,13,13th Legislature of Italy,1996-05-09,2001-05-29,Q4021342
Q4021359-1059AE3A-D87D-45D9-BBB0-2AB5D6FE51BD,14,14th Legislature of Italy,2001-05-30,2006-04-27,Q4021359
Q2376850-0650F1F9-DDA9-452D-85BD-F4F0B891C19D,15,15th Legislature of Italy,2006-04-28,2006-04-28,Q2376850
Q4021588-5582D80D-DC6F-41BA-AEF7-DA115277FBED,16,16th Legislature of Italy,2008-04-29,2013-03-14,Q4021588
Q5487948-CB12E3C5-BA99-4F56-B072-26E63CEA8888,17,17th Legislature of Italy,2013-03-15,2018-03-22,Q5487948
Q48799610-7d27fdc5-4643-c615-aa12-539844dc592c,18,18th Legislature of Italy,2018-03-23,"",Q48799610
