name,party,area,term,start_date,end_date
Alexander De Croo,Open Vld,Oost-Vlaanderen,54,2014-06-19,2014-10-14
André Flahaut,PS,Waals-Brabant,54,2014-06-19,2014-07-30
Ann Vanheste,sp.a,West-Vlaanderen,54,2014-06-19,2017-12-13
Annemie Turtelboom,Open Vld,Antwerpen,54,2014-06-19,2014-07-30
Annemie Turtelboom,Open Vld,Antwerpen,54,2016-04-29,
Charles Michel,MR,Waals-Brabant,54,2014-06-19,2014-10-14
Céline Fremault,cdH,Brussel-Hoofdstad,54,2014-06-19,2014-07-30
Daniel Bacquelaine,MR,Luik,54,2014-06-19,2014-10-14
Denis Ducarme,MR,Henegouwen,54,2014-06-19,2017-08-24
Didier Reynders,MR,Brussel-Hoofdstad,54,2014-06-19,2014-10-11
Jan Jambon,N-VA,Antwerpen,54,2014-06-19,2014-10-14
Johan Vande Lanotte,sp.a,West-Vlaanderen,54,2014-06-19,2017-01-12
Koen Geens,CD&V,Vlaams-Brabant,54,2014-06-19,2014-10-14
Maggie De Block,Open Vld,Vlaams-Brabant,54,2014-06-19,2014-10-14
Marie-Christine Marghem,MR,Henegouwen,54,2014-06-19,2014-10-14
Marijke Dillen,Vlaams Belang,Antwerpen,54,2014-06-19,2014-06-19
Melchior Wathelet,cdH,Luik,54,2014-06-19,2015-04-23
Pieter De Crem,CD&V,Oost-Vlaanderen,54,2014-06-19,2014-10-14
Sarah Claerhout,CD&V,Oost-Vlaanderen,54,2014-10-14,2016-11-10
Sophie Wilmès,MR,Brussel-Hoofdstad,54,2014-10-11,2015-09-22
Steven Vandeput,N-VA,Limburg,54,2014-06-19,2014-10-14
Theo Francken,N-VA,Vlaams-Brabant,54,2014-06-19,2014-10-14
Willy Demeyer,PS,Luik,54,2014-06-19,2017-11-09
Zakia Khattabi,Ecolo,Brussel-Hoofdstad,54,2014-06-19,2015-05-28
