name,party,wikiname,constituency,term,source,id
Adriana Gjonaj,Democratic Party,Adriana Gjonaj,Elbasan County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",adriana_gjonaj
Agim Leka,Socialist Party,Agim Leka,Elbasan County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",agim_leka
Albana Vokshi,Democratic Party,Albana Vokshi,Durrës County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",albana_vokshi
Albert Çaçi,Socialist Party,Albert Çaçi,Fier County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",albert_Çaçi
Aldo Bumçi,Democratic Party,Aldo Bumçi,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",aldo_bumçi
Alfred Dalipi,Socialist Party,Alfred Dalipi,Korçë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",alfred_dalipi
Andis Harasani,Socialist Party,Andis Harasani,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",andis_harasani
Arben Ahmetaj,Socialist Party,Arben Ahmetaj,Korçë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arben_ahmetaj
Arben Imami,Democratic Party,Arben Imami,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arben_imami
Arben Isaraj,Socialist Party,Arben Isaraj,Vlorë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arben_isaraj
Arben Malaj,Socialist Party,Arben Malaj,Vlorë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arben_malaj
Arben Çuko,Socialist Party,Arben Çuko,Fier County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arben_Çuko
Ardian Kollozi,Democratic Party,Ardian Kollozi,Vlorë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ardian_kollozi
Ardian Turku,Democratic Party,Ardian Turku,Elbasan County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ardian_turku
Arenca Trashani,Democratic Party,Arenca Trashani,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arenca_trashani
Armando Prenga,Socialist Party,Armando Prenga,Lezhë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",armando_prenga
Armando Subashi,Socialist Party,Armando Subashi,Fier County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",armando_subashi
Arta Dade,Socialist Party,Arta Dade,Gjirokastër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arta_dade
Artan Gaçi,Socialist Party,Artan Gaçi,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",artan_gaçi
Asllan Dogjani,Socialist Party,Asllan Dogjani,Kukës County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",asllan_dogjani
Astrit Beci,Socialist Party,Astrit Beci,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",astrit_beci
Astrit Bushati,Democratic Party,Astrit Bushati,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",astrit_bushati
Astrit Patozi,Democratic Party,Astrit Patozi,Vlorë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",astrit_patozi
Bashkim Fino,Socialist Party,Bashkim Fino,Fier County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",bashkim_fino
Bedri Hoxha,Democratic Party,Bedri Hoxha,Dibër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",bedri_hoxha
Ben Blushi,Socialist Party,Ben Blushi,Korçë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ben_blushi
Besnik Baraj,Socialist Party,Besnik Baraj,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",besnik_baraj
Besnik Dushaj,Democratic Party,Besnik Dushaj,Kukës County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",besnik_dushaj
Blendi Klosi,Socialist Party,Blendi Klosi,Durrës County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",blendi_klosi
Bujar Nishani,Democratic Party,Bujar Nishani,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",bujar_nishani
Damian Gjiknuri,Socialist Party,Damian Gjiknuri,Elbasan County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",damian_gjiknuri
Dashamir Peza,Socialist Party,Dashamir Peza,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",dashamir_peza
Dashamir Tahiri,PDIU,Dashamir Tahiri,Vlorë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",dashamir_tahiri
Dashnor Sula,Democratic Party,Dashnor Sula,Elbasan County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",dashnor_sula
Ditmir Bushati,Socialist Party,Ditmir Bushati,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ditmir_bushati
Dritan Prifti,Independent,"",Fier County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",dritan_prifti
Edi Paloka,Democratic Party,Edi Paloka,Lezhë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",edi_paloka
Edmond Spaho,Democratic Party,Edmond Spaho,Korçë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",edmond_spaho
Eduard Halimi,Democratic Party,Eduard Halimi,Durrës County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",eduard_halimi
Eduard Shalsi,Socialist Party,Eduard Shalsi,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",eduard_shalsi
Eglantina Gjermeni,Socialist Party,Eglantina Gjermeni,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",eglantina_gjermeni
Eltar Deda,Socialist Party,Eltar Deda,Vlorë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",eltar_deda
Enkelejd Alibeaj,Democratic Party,Enkelejd Alibeaj,Fier County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",enkelejd_alibeaj
Enkelejda Shkreli,Socialist Party,Enkelejda Shkreli,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",enkelejda_shkreli
Erion Braçe,Socialist Party,Erion Braçe,Berat County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",erion_braçe
Ermelinda Meksi,Socialist Party,Ermelinda Meksi,Fier County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ermelinda_meksi
Ermonela Felaj,Socialist Party,Ermonela Felaj,Berat County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ermonela_felaj
Ervin Koçi,Socialist Party,Ervin Koçi,Fier County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ervin_koçi
Et’hem Ruka,Socialist Party,Et’hem Ruka,Gjirokastër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",et’hem_ruka
Fatbardh Kadilli,Democratic Party,Fatbardh Kadilli,Korçë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",fatbardh_kadilli
Fatmir Mediu,Republican Party,Fatmir Mediu,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",fatmir_mediu
Fatmir Toci,Socialist Party,Fatmir Toci,Vlorë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",fatmir_toci
