id,name
ocd-division/country:ug/region:central,Central
ocd-division/country:ug/region:central/subregion:buganda,Buganda
ocd-division/country:ug/region:central/subregion:buganda/district:buikwe,Buikwe
ocd-division/country:ug/region:central/subregion:buganda/district:buikwe/constituency:buikwe_north,Buikwe North
ocd-division/country:ug/region:central/subregion:buganda/district:buikwe/constituency:buikwe_south,Buikwe South
ocd-division/country:ug/region:central/subregion:buganda/district:buikwe/constituency:buikwe_west,Buikwe West
ocd-division/country:ug/region:central/subregion:buganda/district:buikwe/constituency:lugazi_municipality,Lugazi Municipality
ocd-division/country:ug/region:central/subregion:buganda/district:bukomansimbi,Bukomansimbi
ocd-division/country:ug/region:central/subregion:buganda/district:bukomansimbi/constituency:bukomansimbi,Bukomansimbi
ocd-division/country:ug/region:central/subregion:buganda/district:bukomansimbi/constituency:bukomansimbi_county,Bukomansimbi County
ocd-division/country:ug/region:central/subregion:buganda/district:bukomansimbi/constituency:bukomansimbi_south,Bukomansimbi South
ocd-division/country:ug/region:central/subregion:buganda/district:butambala,Butambala
ocd-division/country:ug/region:central/subregion:buganda/district:butambala/constituency:butambala_county,Butambala County
ocd-division/country:ug/region:central/subregion:buganda/district:buvuma,Buvuma
ocd-division/country:ug/region:central/subregion:buganda/district:buvuma/constituency:buvuma_county,Buvuma county
ocd-division/country:ug/region:central/subregion:buganda/district:buvuma/constituency:buvuma_county,Buvuma County
ocd-division/country:ug/region:central/subregion:buganda/district:gomba,Gomba
ocd-division/country:ug/region:central/subregion:buganda/district:gomba/constituency:gomba_east,Gomba East
ocd-division/country:ug/region:central/subregion:buganda/district:gomba/constituency:gomba_west,Gomba West
ocd-division/country:ug/region:central/subregion:buganda/district:kalangala,Kalangala
ocd-division/country:ug/region:central/subregion:buganda/district:kalangala/constituency:bujuma_county,Bujuma County
ocd-division/country:ug/region:central/subregion:buganda/district:kalangala/constituency:kyamuswa_county,Kyamuswa County
ocd-division/country:ug/region:central/subregion:buganda/district:kalungu,Kalungu
ocd-division/country:ug/region:central/subregion:buganda/district:kalungu/constituency:kalungu_east,Kalungu East
ocd-division/country:ug/region:central/subregion:buganda/district:kalungu/constituency:kalungu_west,Kalungu West
ocd-division/country:ug/region:central/subregion:buganda/district:kampala,Kampala
ocd-division/country:ug/region:central/subregion:buganda/district:kampala/constituency:kampala_central,Kampala Central
ocd-division/country:ug/region:central/subregion:buganda/district:kampala/constituency:kawempe_north,Kawempe North
ocd-division/country:ug/region:central/subregion:buganda/district:kampala/constituency:kawempe_south,Kawempe South
ocd-division/country:ug/region:central/subregion:buganda/district:kampala/constituency:makindye_east,Makindye East
ocd-division/country:ug/region:central/subregion:buganda/district:kampala/constituency:makindye_west,Makindye West
ocd-division/country:ug/region:central/subregion:buganda/district:kampala/constituency:nakawa_division,Nakawa Division
ocd-division/country:ug/region:central/subregion:buganda/district:kampala/constituency:rubaga_north,Rubaga North
ocd-division/country:ug/region:central/subregion:buganda/district:kampala/constituency:rubaga_south,Rubaga South
ocd-division/country:ug/region:central/subregion:buganda/district:kayunga,kayunga
ocd-division/country:ug/region:central/subregion:buganda/district:kayunga,Kayunga
ocd-division/country:ug/region:central/subregion:buganda/district:kayunga/constituency:bbale_county,Bbale County
ocd-division/country:ug/region:central/subregion:buganda/district:kayunga/constituency:ntenjeru_north,Ntenjeru North
ocd-division/country:ug/region:central/subregion:buganda/district:kayunga/constituency:ntenjeru_south,Ntenjeru South
ocd-division/country:ug/region:central/subregion:buganda/district:kiboga,Kiboga
ocd-division/country:ug/region:central/subregion:buganda/district:kiboga/constituency:kiboga_east,Kiboga East
ocd-division/country:ug/region:central/subregion:buganda/district:kyankwanzi,Kyankwanzi
ocd-division/country:ug/region:central/subregion:buganda/district:kyankwanzi/constituency:butemba_county,Butemba County
ocd-division/country:ug/region:central/subregion:buganda/district:kyankwanzi/constituency:ntwetwe_county,Ntwetwe County
ocd-division/country:ug/region:central/subregion:buganda/district:luweero,luweero
ocd-division/country:ug/region:central/subregion:buganda/district:luweero,Luweero
ocd-division/country:ug/region:central/subregion:buganda/district:luweero/constituency:bamunanika_county,Bamunanika County
ocd-division/country:ug/region:central/subregion:buganda/district:luweero/constituency:katikamu_north,Katikamu North
ocd-division/country:ug/region:central/subregion:buganda/district:luweero/constituency:katikamu_south,Katikamu South
ocd-division/country:ug/region:central/subregion:buganda/district:luwero,Luwero
ocd-division/country:ug/region:central/subregion:buganda/district:lwengo,Lwengo
ocd-division/country:ug/region:central/subregion:buganda/district:lwengo/constituency:bukoto_mid-west,Bukoto Mid-west
ocd-division/country:ug/region:central/subregion:buganda/district:lwengo/constituency:bukoto_south,Bukoto South
ocd-division/country:ug/region:central/subregion:buganda/district:lwengo/constituency:bukoto_west,Bukoto West
ocd-division/country:ug/region:central/subregion:buganda/district:lyantonde,Lyantonde
ocd-division/country:ug/region:central/subregion:buganda/district:lyantonde/constituency:kabula_county,Kabula County
ocd-division/country:ug/region:central/subregion:buganda/district:masaka,Masaka
ocd-division/country:ug/region:central/subregion:buganda/district:masaka/constituency:bukoto_central,Bukoto Central
ocd-division/country:ug/region:central/subregion:buganda/district:masaka/constituency:bukoto_east,Bukoto East
ocd-division/country:ug/region:central/subregion:buganda/district:masaka/constituency:bukoto_mid_west,Bukoto Mid West
ocd-division/country:ug/region:central/subregion:buganda/district:masaka/constituency:bukoto_south,Bukoto South
ocd-division/country:ug/region:central/subregion:buganda/district:masaka/constituency:bukoto_west,Bukoto West
ocd-division/country:ug/region:central/subregion:buganda/district:masaka/constituency:masaka_municipality,Masaka Municipality
ocd-division/country:ug/region:central/subregion:buganda/district:mityana,Mityana
ocd-division/country:ug/region:central/subregion:buganda/district:mityana/constituency:busunjju,Busunjju
ocd-division/country:ug/region:central/subregion:buganda/district:mityana/constituency:busunjju_county,Busunjju County
ocd-division/country:ug/region:central/subregion:buganda/district:mityana/constituency:mityana_municipality,Mityana Municipality
ocd-division/country:ug/region:central/subregion:buganda/district:mityana/constituency:mityana_north,Mityana North
ocd-division/country:ug/region:central/subregion:buganda/district:mityana/constituency:mityana_south,Mityana South
ocd-division/country:ug/region:central/subregion:buganda/district:mpigi,Mpigi
ocd-division/country:ug/region:central/subregion:buganda/district:mpigi/constituency:mawokota_north,Mawokota North
ocd-division/country:ug/region:central/subregion:buganda/district:mpigi/constituency:mawokota_south,Mawokota South
ocd-division/country:ug/region:central/subregion:buganda/district:mubende,Mubende
ocd-division/country:ug/region:central/subregion:buganda/district:mubende/constituency:bukuya_county,Bukuya county
ocd-division/country:ug/region:central/subregion:buganda/district:mubende/constituency:buwekula_county,Buwekula County
ocd-division/country:ug/region:central/subregion:buganda/district:mubende/constituency:kasambya_county,Kasambya County
ocd-division/country:ug/region:central/subregion:buganda/district:mubende/constituency:kassanda_north,Kassanda North
ocd-division/country:ug/region:central/subregion:buganda/district:mubende/constituency:kassanda_south,Kassanda South
ocd-division/country:ug/region:central/subregion:buganda/district:mubende/constituency:mubende_municipality,Mubende Municipality
ocd-division/country:ug/region:central/subregion:buganda/district:mukono,Mukono
ocd-division/country:ug/region:central/subregion:buganda/district:mukono/constituency:mukono_county_south,Mukono County South
ocd-division/country:ug/region:central/subregion:buganda/district:mukono/constituency:mukono_municipality,Mukono Municipality
ocd-division/country:ug/region:central/subregion:buganda/district:mukono/constituency:mukono_north,Mukono North
ocd-division/country:ug/region:central/subregion:buganda/district:mukono/constituency:nakifuma_county,Nakifuma county
ocd-division/country:ug/region:central/subregion:buganda/district:mukono/constituency:nakifuma_county,Nakifuma County
ocd-division/country:ug/region:central/subregion:buganda/district:nakaseke,Nakaseke
ocd-division/country:ug/region:central/subregion:buganda/district:nakaseke/constituency:nakaseke_north,Nakaseke North
ocd-division/country:ug/region:central/subregion:buganda/district:nakaseke/constituency:nakaseke_south,Nakaseke South
ocd-division/country:ug/region:central/subregion:buganda/district:nakasongola,Nakasongola
ocd-division/country:ug/region:central/subregion:buganda/district:nakasongola/constituency:budyebo_county,Budyebo County
ocd-division/country:ug/region:central/subregion:buganda/district:nakasongola/constituency:nakasongola_county,Nakasongola County
ocd-division/country:ug/region:central/subregion:buganda/district:rakai,Rakai
ocd-division/country:ug/region:central/subregion:buganda/district:rakai/constituency:buyamba_county,Buyamba County
ocd-division/country:ug/region:central/subregion:buganda/district:rakai/constituency:kakuuto_county,Kakuuto County
ocd-division/country:ug/region:central/subregion:buganda/district:rakai/constituency:kooki_county,Kooki County
ocd-division/country:ug/region:central/subregion:buganda/district:rakai/constituency:kyotera_county,Kyotera County
ocd-division/country:ug/region:central/subregion:buganda/district:sembabule,Sembabule
ocd-division/country:ug/region:central/subregion:buganda/district:sembabule/constituency:lwemiyaga_county,Lwemiyaga County
ocd-division/country:ug/region:central/subregion:buganda/district:sembabule/constituency:mawogola_county,Mawogola County
ocd-division/country:ug/region:central/subregion:buganda/district:sembabule/constituency:mawogola_north,Mawogola North
ocd-division/country:ug/region:central/subregion:buganda/district:sembabule/constituency:mawogola_south,Mawogola South
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso,Wakiso
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso/constituency:busiro_east,Busiro East
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso/constituency:busiro_north,Busiro North
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso/constituency:busiro_south,Busiro South
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso/constituency:entebbe_municipality,Entebbe Municipality
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso/constituency:kira_municipality,Kira Municipality
ocd-division/country:ug/region:central/subregion:buganda/district:wakiso/constituency:kyadondo_east,Kyadondo East
