id,name,start_date,end_date
1,1st Parliament of the United Kingdom,1801-01-01,1802-06-29
2,2nd Parliament of the United Kingdom,1802-07-05,1806-10-24
3,3rd Parliament of the United Kingdom,1806-10-29,1807-04-29
4,4th Parliament of the United Kingdom,1807-05-04,1812-09-29
5,5th Parliament of the United Kingdom,1812-10-05,1818-06-10
6,6th Parliament of the United Kingdom,1818-06-15,1820-02-29
7,7th Parliament of the United Kingdom,1820-03-06,1826-06-02
8,8th Parliament of the United Kingdom,1826-06-07,1830-07-24
9,9th Parliament of the United Kingdom,1830-07-29,1831-04-23
10,10th Parliament of the United Kingdom,1831-04-28,1832-12-03
11,11th Parliament of the United Kingdom,1832-12-10,1834-12-29
12,12th Parliament of the United Kingdom,1835-01-05,1837-07-17
13,13th Parliament of the United Kingdom,1837-07-24,1841-06-23
14,14th Parliament of the United Kingdom,1841-06-29,1847-07-23
15,15th Parliament of the United Kingdom,1847-07-26,1852-07-01
16,16th Parliament of the United Kingdom,1852-07-06,1857-03-21
17,17th Parliament of the United Kingdom,1857-03-27,1859-04-23
18,18th Parliament of the United Kingdom,1859-04-28,1865-07-06
19,19th Parliament of the United Kingdom,1865-07-11,1868-11-11
20,20th Parliament of the United Kingdom,1868-11-16,1874-01-26
21,21st Parliament of the United Kingdom,1874-01-31,1880-03-24
22,22nd Parliament of the United Kingdom,1880-03-31,1885-11-18
23,23rd Parliament of the United Kingdom,1885-11-24,1886-06-26
24,24th Parliament of the United Kingdom,1886-07-01,1892-06-28
25,25th Parliament of the United Kingdom,1892-07-01,1895-07-08
26,26th Parliament of the United Kingdom,1895-07-12,1900-09-25
27,27th Parliament of the United Kingdom,1900-10-01,1906-01-08
28,28th Parliament of the United Kingdom,1906-01-12,1910-01-10
29,29th Parliament of the United Kingdom,1910-01-15,1910-11-28
30,30th Parliament of the United Kingdom,1910-12-02,1918-11-25
31,31st Parliament of the United Kingdom,1918-12-14,1922-10-26
32,32nd Parliament of the United Kingdom,1922-11-15,1923-11-16
33,33rd Parliament of the United Kingdom,1923-12-06,1924-10-09
34,34th Parliament of the United Kingdom,1924-10-29,1929-05-10
35,35th Parliament of the United Kingdom,1929-05-30,1931-10-07
36,36th Parliament of the United Kingdom,1931-10-27,1935-10-25
37,37th Parliament of the United Kingdom,1935-11-14,1945-06-15
38,38th Parliament of the United Kingdom,1945-07-05,1950-02-03
39,39th Parliament of the United Kingdom,1950-02-23,1951-10-05
40,40th Parliament of the United Kingdom,1951-10-25,1955-05-06
41,41st Parliament of the United Kingdom,1955-05-26,1959-09-18
42,42nd Parliament of the United Kingdom,1959-10-08,1964-09-25
43,43rd Parliament of the United Kingdom,1964-10-15,1966-03-10
44,44th Parliament of the United Kingdom,1966-03-31,1970-04-29
45,45th Parliament of the United Kingdom,1970-06-18,1974-02-08
46,46th Parliament of the United Kingdom,1974-02-28,1974-09-20
47,47th Parliament of the United Kingdom,1974-10-10,1979-04-07
48,48th Parliament of the United Kingdom,1979-05-03,1983-05-13
49,49th Parliament of the United Kingdom,1983-06-09,1987-05-18
50,50th Parliament of the United Kingdom,1987-06-11,1992-03-16
51,51st Parliament of the United Kingdom,1992-04-09,1997-04-08
52,52nd Parliament of the United Kingdom,1997-05-01,2001-05-14
53,53rd Parliament of the United Kingdom,2001-06-07,2005-04-11
54,54th Parliament of the United Kingdom,2005-05-05,2010-04-12
55,55th Parliament of the United Kingdom,2010-05-06,2015-03-30
56,56th Parliament of the United Kingdom,2015-05-08,
