id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image
54c6931d808848fe5d749d2a,Alex Ahrendtsen,,,Danish People‘s Party,O,,Folketing,2011,,,https://denmark.popit.mysociety.org/persons/54c6931d808848fe5d749d2a/image/54c75da7808848fe5d74a783
54c6931d808848fe5d749d54,Anders Samuelsen,,,Liberal Alliance,I,,Folketing,2011,,,
54c6931d808848fe5d749d6a,Andreas Frost Steenberg,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d749d74,Ane Halsboe-Jørgensen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749d9f,Anne Sina,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749da8,Anne-Mette Winther Christiansen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749db1,Annette Lind,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749db7,Annette Vilhelmsen,,,Socialist People‘s Party,F,,Folketing,2011,,,
54c6931d808848fe5d749dbe,Anni Matthiesen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749dcb,Astrid Krag,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749ddb,Benny Engelbrecht,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749de5,Bent Bøgsted,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d749df5,Bertel Haarder,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749e0c,Bjarne Corydon,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749e14,Bjarne Laustsen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749e29,Brian Mikkelsen,,,Conservative People‘s Party,C,,Folketing,2011,,,
54c6931d808848fe5d749e39,Camilla Hersom,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d749e52,Carsten Hansen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749e79,Christian Juhl,,,Red–Green Alliance,Ø,,Folketing,2011,,,
54c6931d808848fe5d749e7f,Christian Langballe,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d749e90,Christine Antorini,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749e9b,Claus Hjort Frederiksen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749ec0,Daniel Rugholm,,,Conservative People‘s Party,C,,Folketing,2011,,,
54c6931d808848fe5d749ecd,Dennis Flydtkjær,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d749eeb,Eigil Andersen,,,Socialist People‘s Party,F,,Folketing,2011,,,
54c6931d808848fe5d749ef9,Ellen Trane Nørby,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749f17,Erling Bonnesen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749f1d,Esben Lunde Larsen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749f23,Eva Kjer Hansen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749f29,Fatma Øktem,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749f31,Finn Sørensen,,,Red–Green Alliance,Ø,,Folketing,2011,,,
54c6931d808848fe5d749f37,Finn Thranum,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749f3c,Flemming Damgaard Larsen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749f42,Flemming Møller Mortensen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749f7c,Hans Andersen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749f84,Hans Chr. Schmidt,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749f87,Hans Chr. Thoning,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d749f8e,Hans Kristian Skibby,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d749fa2,Helge Vagn Jacobsen,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d749fb3,Helle Løvgreen Mølvig,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d749fba,Helle Thorning-Schmidt,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749fc1,Henning Hyllested,,,Red–Green Alliance,Ø,,Folketing,2011,,,
54c6931d808848fe5d749fd8,Henrik Dam Kristensen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749fe6,Henrik Sass Larsen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d749ff0,Holger K. Nielsen,,,Socialist People‘s Party,F,,Folketing,2011,,,
54c6931d808848fe5d749ff8,Ib Poulsen,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d749ffc,Ida Auken,,,Danish Social Liberal Party,B,,Folketing,2011,,,
54c6931d808848fe5d74a00a,Inger Støjberg,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a018,Jacob Jensen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a02b,Jakob Ellemann-Jensen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a031,Jakob Engel-Schmidt,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a044,Jan E. Jørgensen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a04d,Jan Johansen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a059,Jane Heitmann,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a062,Jens Ejner Christensen,,,Venstre,V,,Folketing,2011,,,
54c6931d808848fe5d74a06a,Jens Henrik Thulesen Dahl,,,Danish People‘s Party,O,,Folketing,2011,,,
54c6931d808848fe5d74a06e,Jens Joel,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a07c,Jeppe Bruus,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a099,Jesper Petersen,,,Social Democrats,A,,Folketing,2011,,,
54c6931d808848fe5d74a0b5,Joachim B. Olsen,,,Liberal Alliance,I,,Folketing,2011,,,
54c6931d808848fe5d74a0bb,Johanne Schmidt-Nielsen,,,Red–Green Alliance,Ø,,Folketing,2011,,,
