id,name,party,constituency,homepage,photo,term
abel.chocolate,ABEL LOURENÇO CHOCOLATE,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/abel.chocolate,http://www.parlamento.ao/image/user_portrait?screenName=abel.chocolate&companyId=10132,4
abel.lubota,ABEL XAVIER NZUZI LUBOTA,CASA-CE,Círculo Eleitoral Provincial de Cabinda,http://www.parlamento.ao/web/abel.lubota,http://www.parlamento.ao/image/user_portrait?screenName=abel.lubota&companyId=10132,4
adalberto.junior,ADALBERTO COSTA JÚNIOR,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/adalberto.junior,http://www.parlamento.ao/image/user_portrait?screenName=adalberto.junior&companyId=10132,4
adelina.chilica,ADELINA CHILICA,MPLA,Círculo Eleitoral Provincial do Moxico,http://www.parlamento.ao/web/adelina.chilica,http://www.parlamento.ao/image/user_portrait?screenName=adelina.chilica&companyId=10132,4
aderito.kandambo,ADÉRITO JAIME FERNANDES KANDAMBO,UNITA,Círculo Eleitoral Provincial do Bié,http://www.parlamento.ao/web/aderito.kandambo,http://www.parlamento.ao/image/user_portrait?screenName=aderito.kandambo&companyId=10132,4
adriano.patrocinio,ADRIANO MEIRELES PATROCÍNIO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/adriano.patrocinio,http://www.parlamento.ao/image/user_portrait?screenName=adriano.patrocinio&companyId=10132,4
adriano.sapinala,ADRIANO ABEL SAPINÃLA,UNITA,Círculo Eleitoral Provincial do Cuando Cubango,http://www.parlamento.ao/web/adriano.sapinala,http://www.parlamento.ao/image/user_portrait?screenName=adriano.sapinala&companyId=10132,4
albertina.felisberto,ALBERTINA NAVEMBA NGOLO FELISBERTO,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/albertina.felisberto,http://www.parlamento.ao/image/user_portrait?screenName=albertina.felisberto&companyId=10132,4
alberto.ngalanela,ALBERTO FRANCISCO NGALANELA,UNITA,Circulo Eleitoral Provincial de Benguela,http://www.parlamento.ao/web/alberto.ngalanela,http://www.parlamento.ao/image/user_portrait?screenName=alberto.ngalanela&companyId=10132,4
alberto.paulino,ALBERTO PAULINO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/alberto.paulino,http://www.parlamento.ao/image/user_portrait?screenName=alberto.paulino&companyId=10132,4
alcides.simoes,ALCIDES SAKALA SIMÕES,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/alcides.simoes,http://www.parlamento.ao/image/user_portrait?screenName=alcides.simoes&companyId=10132,4
aldina.lomba,ALDINA MATILDE BARROS DA LOMBA,MPLA,Círculo Eleitoral Provincial de Cabinda,http://www.parlamento.ao/web/aldina.lomba,http://www.parlamento.ao/image/user_portrait?screenName=aldina.lomba&companyId=10132,4
alexandre.andre,ALEXANDRE SEBASTIÃO ANDRÉ,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/alexandre.andre,http://www.parlamento.ao/image/user_portrait?screenName=alexandre.andre&companyId=10132,4
alfredo.dala,ALFREDO JUNQUEIRA DALA,MPLA,Círculo Eleitoral Provincial de Malange,http://www.parlamento.ao/web/alfredo.dala,http://www.parlamento.ao/image/user_portrait?screenName=alfredo.dala&companyId=10132,4
alicerces.bartolomeu,ALICERCES PAULO BARTOLOMEU,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/alicerces.bartolomeu,http://www.parlamento.ao/image/user_portrait?screenName=alicerces.bartolomeu&companyId=10132,4
amalia.alexandre,AMÁLIA MARIA ALEXANDRE,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/amalia.alexandre,http://www.parlamento.ao/image/user_portrait?screenName=amalia.alexandre&companyId=10132,4
amelia.ernesto,AMÉLIA JUDITH ERNESTO,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/amelia.ernesto,http://www.parlamento.ao/image/user_portrait?screenName=amelia.ernesto&companyId=10132,4
amelia.quinta,AMÉLIA CALUMBO QUINTA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/amelia.quinta,http://www.parlamento.ao/image/user_portrait?screenName=amelia.quinta&companyId=10132,4
americo.cuononoca,AMÉRICO ANTÓNIO CUONONOCA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/americo.cuononoca,http://www.parlamento.ao/image/user_portrait?screenName=americo.cuononoca&companyId=10132,4
amilcar.colela,AMILCAR CAMPOS COLELA,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/amilcar.colela,http://www.parlamento.ao/image/user_portrait?screenName=amilcar.colela&companyId=10132,4
