name,homepage,photo,party,constituency,term,id
JOÃO MARQUES NTIAMA,http://www.parlamento.ao/web/0joao.ntiama,http://www.parlamento.ao/image/user_portrait?screenName=0joao.ntiama&companyId=10132,UNITA,Zaire,3,0joao.ntiama
GRACIANA EUGÉNIA MANUEL PEDRO NEVES CAETANO,http://www.parlamento.ao/web/23graciana.caetano,http://www.parlamento.ao/image/user_portrait?screenName=23graciana.caetano&companyId=10132,MPLA,Cuanza Norte,3,23graciana.caetano
ABÍLIO JOSÉ AUGUSTO KAMALATA NUMA,http://www.parlamento.ao/web/abilio.numa,http://www.parlamento.ao/image/user_portrait?screenName=abilio.numa&companyId=10132,UNITA,Nacional,3,abilio.numa
ADALBERTO COSTA JÚNIOR,http://www.parlamento.ao/web/adalberto.junior,http://www.parlamento.ao/image/user_portrait?screenName=adalberto.junior&companyId=10132,UNITA,Nacional,3,adalberto.junior
ADÃO CRISTÓVÃO NETO,http://www.parlamento.ao/web/adao.neto,http://www.parlamento.ao/image/user_portrait?screenName=adao.neto&companyId=10132,MPLA,Bengo,3,adao.neto
ADRIANO BOTELHO DE VASCONCELOS,http://www.parlamento.ao/web/adriano.vasconcelos,http://www.parlamento.ao/image/user_portrait?screenName=adriano.vasconcelos&companyId=10132,MPLA,Nacional,3,adriano.vasconcelos
AFONSO MARIA VABA,http://www.parlamento.ao/web/afonso.vaba,http://www.parlamento.ao/image/user_portrait?screenName=afonso.vaba&companyId=10132,MPLA,Cabinda,3,afonso.vaba
AGOSTINHO NDJAKA,http://www.parlamento.ao/web/agostinho.ndjaka,http://www.parlamento.ao/image/user_portrait?screenName=agostinho.ndjaka&companyId=10132,MPLA,Província do Huambo,3,agostinho.ndjaka
ALBERTINA TERESA JOSÉ,http://www.parlamento.ao/web/albertina.jose,http://www.parlamento.ao/image/user_portrait?screenName=albertina.jose&companyId=10132,MPLA,Nacional,3,albertina.jose
ALBERTINA CHITUMBO CUVANGO LIMUETA,http://www.parlamento.ao/web/albertina.limueta,http://www.parlamento.ao/image/user_portrait?screenName=albertina.limueta&companyId=10132,MPLA,Moxico,3,albertina.limueta
ALBERTINA CUGINGOMOCO MUXINDO,http://www.parlamento.ao/web/albertina.muxindo,http://www.parlamento.ao/image/user_portrait?screenName=albertina.muxindo&companyId=10132,MPLA,Uíge,3,albertina.muxindo
ALBERTINA NAVEMBA NGOLO,http://www.parlamento.ao/web/albertina.ngolo,http://www.parlamento.ao/image/user_portrait?screenName=albertina.ngolo&companyId=10132,UNITA,Nacional,3,albertina.ngolo
ALCIDES SAKALA SIMÕES,http://www.parlamento.ao/web/alcides.simoes,http://www.parlamento.ao/image/user_portrait?screenName=alcides.simoes&companyId=10132,UNITA,Nacional,3,alcides.simoes
ALEXANDRE SEBASTIÃO ANDRÉ,http://www.parlamento.ao/web/alexandre.andre,http://www.parlamento.ao/image/user_portrait?screenName=alexandre.andre&companyId=10132,CASA-CE,Nacional,3,alexandre.andre
ALEXANDRE ANTÓNIO MOTA COELHO MOREIRA BASTOS,http://www.parlamento.ao/web/alexandre.bastos,http://www.parlamento.ao/image/user_portrait?screenName=alexandre.bastos&companyId=10132,MPLA,Nacional,3,alexandre.bastos
ALFREDO BERNER,http://www.parlamento.ao/web/alfredo.berner,http://www.parlamento.ao/image/user_portrait?screenName=alfredo.berner&companyId=10132,MPLA,Nacional,3,alfredo.berner
ALFREDO JUNQUEIRA DALA,http://www.parlamento.ao/web/alfredo.dala,http://www.parlamento.ao/image/user_portrait?screenName=alfredo.dala&companyId=10132,MPLA,Malange,3,alfredo.dala
AMÉLIA CALUMBO QUINTA,http://www.parlamento.ao/web/amelia.quinta,http://www.parlamento.ao/image/user_portrait?screenName=amelia.quinta&companyId=10132,MPLA,Nacional,3,amelia.quinta
AMÉRICO ANTÓNIO CUONONOCA,http://www.parlamento.ao/web/americo.cuononoca,http://www.parlamento.ao/image/user_portrait?screenName=americo.cuononoca&companyId=10132,MPLA,Nacional,3,americo.cuononoca
ANA MARAVILHA BORGES ALÉ FERNANDES,http://www.parlamento.ao/web/ana.fernandes,http://www.parlamento.ao/image/user_portrait?screenName=ana.fernandes&companyId=10132,MPLA,Nacional,3,ana.fernandes
ANA MARIA MANUEL JOÃO TAVEIRA JOSÉ,http://www.parlamento.ao/web/ana.jose,http://www.parlamento.ao/image/user_portrait?screenName=ana.jose&companyId=10132,MPLA,Malange,3,ana.jose
ANABELA MANUEL DOS SANTOS ALBERTO,http://www.parlamento.ao/web/anabela.alberto,http://www.parlamento.ao/image/user_portrait?screenName=anabela.alberto&companyId=10132,MPLA,Nacional,3,anabela.alberto
ANABELA CAIOVO NGUNGA,http://www.parlamento.ao/web/anabela.ngunga,http://www.parlamento.ao/image/user_portrait?screenName=anabela.ngunga&companyId=10132,MPLA,Bié,3,anabela.ngunga
ANANIAS ESCÓRCIO,http://www.parlamento.ao/web/ananias.escorcio,http://www.parlamento.ao/image/user_portrait?screenName=ananias.escorcio&companyId=10132,MPLA,Nacional,3,ananias.escorcio
ANATILDE DE JESUS DE OLIVEIRA FREIRE CAMPOS,http://www.parlamento.ao/web/anatilde.campos,http://www.parlamento.ao/image/user_portrait?screenName=anatilde.campos&companyId=10132,CASA-CE,Nacional,3,anatilde.campos
ANDRÉ GASPAR MENDES DE CARVALHO,http://www.parlamento.ao/web/andre.carvalho,http://www.parlamento.ao/image/user_portrait?screenName=andre.carvalho&companyId=10132,CASA-CE,Nacional,3,andre.carvalho
ANGELINA ADOLFO MACAI,http://www.parlamento.ao/web/angelina.macai,http://www.parlamento.ao/image/user_portrait?screenName=angelina.macai&companyId=10132,MPLA,Lunda Sul,3,angelina.macai
ANÍBAL JOÃO DA SILVA MELO,http://www.parlamento.ao/web/anibal.melo,http://www.parlamento.ao/image/user_portrait?screenName=anibal.melo&companyId=10132,MPLA,Nacional,3,anibal.melo
ANITA RAQUEL BELA FILIPE,http://www.parlamento.ao/web/anita.filipe,http://www.parlamento.ao/image/user_portrait?screenName=anita.filipe&companyId=10132,UNITA,Nacional,3,anita.filipe
ANTÓNIO FRANCISCO CORTEZ,http://www.parlamento.ao/web/antonio.cortez,http://www.parlamento.ao/image/user_portrait?screenName=antonio.cortez&companyId=10132,MPLA,Nacional,3,antonio.cortez
ANTÓNIO DOS SANTOS FRANÇA,http://www.parlamento.ao/web/antonio.franca,http://www.parlamento.ao/image/user_portrait?screenName=antonio.franca&companyId=10132,MPLA,Nacional,3,antonio.franca
ANTÓNIO FELICIANO FERREIRA JÚNIOR,http://www.parlamento.ao/web/antonio.junior,http://www.parlamento.ao/image/user_portrait?screenName=antonio.junior&companyId=10132,MPLA,Nacional,3,antonio.junior
ANTÓNIO VICTORINO,http://www.parlamento.ao/web/antonio.victorino,http://www.parlamento.ao/image/user_portrait?screenName=antonio.victorino&companyId=10132,MPLA,Uíge,3,antonio.victorino
ARMANDO DALA,http://www.parlamento.ao/web/armando.dala,http://www.parlamento.ao/image/user_portrait?screenName=armando.dala&companyId=10132,MPLA,Nacional,3,armando.dala
ARMANDO DA CRUZ NETO,http://www.parlamento.ao/web/armando.neto,http://www.parlamento.ao/image/user_portrait?screenName=armando.neto&companyId=10132,MPLA,"",3,armando.neto
AURORA JUNJO CASSULE,http://www.parlamento.ao/web/aurora.cassule,http://www.parlamento.ao/image/user_portrait?screenName=aurora.cassule&companyId=10132,MPLA,Nacional,3,aurora.cassule
