id,start_date,end_date,name,wikidata
1,1990-03-11,1994-03-10,48th Legislature,Q5939138
2,1994-03-11,1998-03-10,49th Legislature,Q16494735
3,1998-03-11,2002-03-10,50th Legislature,Q9018268
4,2002-03-11,2006-03-10,51st Legislature,Q16493694
5,2006-03-11,2010-03-10,52nd Legislature,Q16493701
6,2010-03-11,2014-03-10,53rd Legislature,Q5961620
8,2014-03-11,2018-03-10,54th Legislature,Q16493941
55,2018-03-11,,55th Legislature,Q55807225
