id,name,birth_date,gender,area,source,term,image
Bui-Thi-An,Bùi Thị An,1943-12-10,female,TP Hà Nội,http://dbqh.na.gov.vn/daibieu/23/2851/Bui-Thi-An.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2851.jpg
Le-Hong-Anh,Lê Hồng Anh,1949-11-12,male,TP Cần Thơ,http://dbqh.na.gov.vn/daibieu/14/2026/Le-Hong-Anh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2026.jpg
Nguyen-Thu-Anh,Nguyễn Thu Anh,1974-08-28,female,Lâm Đồng,http://dbqh.na.gov.vn/daibieu/34/2190/Nguyen-Thu-Anh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2190.jpg
Nguyen-Thuy-Anh,Nguyễn Thúy Anh,1963-12-07,female,Phú Thọ,http://dbqh.na.gov.vn/daibieu/43/1944/Nguyen-Thuy-Anh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1944.jpg
Hoang-Tuan-Anh,Hoàng Tuấn Anh,1952-11-18,male,Tây Ninh,http://dbqh.na.gov.vn/daibieu/52/2063/Hoang-Tuan-Anh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2063.jpg
Huynh-Ngoc-Anh,Huỳnh Ngọc Ánh,1962-03-20,male,TP Hồ Chí Minh,http://dbqh.na.gov.vn/daibieu/29/2714/Huynh-Ngoc-Anh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2714.jpg
Truong-Thi-Anh,Trương Thị Ánh,1959-03-13,female,TP Hồ Chí Minh,http://dbqh.na.gov.vn/daibieu/29/2577/Truong-Thi-Anh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2577.jpg
Tran-Van-Ban,Trần Văn Bản,1950-10-10,male,Bình Định,http://dbqh.na.gov.vn/daibieu/8/2042/Tran-Van-Ban.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2042.jpg
Nguyen-Ngoc-Bao,Nguyễn Ngọc Bảo,1967-06-16,male,TP Hà Nội,http://dbqh.na.gov.vn/daibieu/23/2828/Nguyen-Ngoc-Bao.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2828.jpg
Nguyen-Thi-Kim-Be,Nguyễn Thị Kim Bé,1968-09-10,female,Kiên Giang,http://dbqh.na.gov.vn/daibieu/32/2625/Nguyen-Thi-Kim-Be.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2625.jpg
Nguyen-Cong-Binh,Nguyễn Công Bình,1956-10-10,male,Yên Bái,http://dbqh.na.gov.vn/daibieu/62/2687/Nguyen-Cong-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2687.jpg
Ngo-Ngoc-Binh,Ngô Ngọc Bình,1957-12-10,male,TP Hồ Chí Minh,http://dbqh.na.gov.vn/daibieu/29/2101/Ngo-Ngoc-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2101.jpg
Nguyen-Hoa-Binh,Nguyễn Hòa Bình,1958-05-24,male,Quảng Ngãi,http://dbqh.na.gov.vn/daibieu/47/2228/Nguyen-Hoa-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2228.jpg
KPa-Binh,KPă Bình (KSor Phước),1954-02-08,male,Gia Lai,http://dbqh.na.gov.vn/daibieu/20/1960/KPa-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/1960.jpg
Trinh-Thi-Thanh-Binh,Trịnh Thị Thanh Bình,1961-06-10,female,Bến Tre,http://dbqh.na.gov.vn/daibieu/12/2783/Trinh-Thi-Thanh-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2783.jpg
Duong-Thanh-Binh,Dương Thanh Bình,1961-08-08,male,Cà Mau,http://dbqh.na.gov.vn/daibieu/13/2377/Duong-Thanh-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2377.jpg
Nguyen-Thai-Binh,Nguyễn Thái Bình (Thái Bình),1954-10-13,male,Trà Vinh,http://dbqh.na.gov.vn/daibieu/58/2053/Nguyen-Thai-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2053.jpg
Nguyen-Thanh-Binh,Nguyễn Thanh Bình,1955-08-06,male,Vĩnh Long,http://dbqh.na.gov.vn/daibieu/60/2750/Nguyen-Thanh-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2750.jpg
Giang-Thi-Binh,Giàng Thị Bình,1965-01-27,female,Lào Cai,http://dbqh.na.gov.vn/daibieu/35/2492/Giang-Thi-Binh.aspx,13,http://dbqh.na.gov.vn/data/images/XIII/2492.jpg
