id,position,label,description,start_date,end_date,replaces,replaced_by,constituency
Q10742788,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10742805,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10742815,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10742820,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10742852,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10742866,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10742882,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10743430,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10744253,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10744274,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10744338,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10748026,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10748267,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10752077,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10757556,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10757600,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10757616,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10761668,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10768892,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10768939,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10769050,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10769050,Q5261077,Deputy Prime Minister of Vietnam,"",2007-08-27,2016-04-08,,,
Q10769061,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10769151,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10769900,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10769907,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10769929,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10769930,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10769958,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10769962,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10770525,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10770557,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10770579,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10770580,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10770639,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10772012,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10781878,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10783847,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787265,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787480,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787598,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787606,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787620,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787675,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787681,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787692,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787740,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787741,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787757,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787769,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787781,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787782,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787819,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787825,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787839,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787845,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787854,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787862,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787880,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787887,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787900,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787913,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787917,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787921,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787948,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787976,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787982,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10787990,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10788001,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10788007,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10788284,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10788290,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10788407,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10789945,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10798955,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10798957,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10798976,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10798977,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10798983,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10798984,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10798990,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10798991,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799018,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799057,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799099,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799105,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799132,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799135,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799145,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799181,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799206,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799243,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799262,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799283,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799285,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799303,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799338,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799341,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799351,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799382,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799404,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799407,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799417,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799439,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799441,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799458,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799475,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799476,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799484,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799486,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799489,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799490,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799494,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799501,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799502,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799507,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799525,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799555,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799565,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799568,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799583,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799586,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799592,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799596,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799613,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799616,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799618,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799623,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799634,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799637,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799642,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799643,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799666,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799667,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799673,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799675,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799681,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799684,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799687,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799695,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799702,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799710,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799728,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799751,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799768,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799793,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799800,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799805,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799833,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799834,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799835,Q17593571,member of the National Assembly of Vietnam,"","",,,,
Q10799843,Q17593571,member of the National Assembly of Vietnam,"","",,,,
