old_id,id,name,birth_date,gender,area,term,source,image
Nguyen-Manh-Cuong,1936,Nguyễn Mạnh Cường,1967-01-14,male,Quảng Bình,13,http://dbqh.na.gov.vn/daibieu/45/1936/Nguyen-Manh-Cuong.aspx,http://dbqh.na.gov.vn/data/images/XIII/1936.jpg
Le-Van-Hoc,1938,Lê Văn Học,1955-07-02,male,Lâm Đồng,13,http://dbqh.na.gov.vn/daibieu/34/1938/Le-Van-Hoc.aspx,http://dbqh.na.gov.vn/data/images/XIII/1938.jpg
Bui-Sy-Loi,1941,Bùi Sỹ Lợi,1959-08-23,male,Thanh Hoá,13,http://dbqh.na.gov.vn/daibieu/56/1941/Bui-Sy-Loi.aspx,http://dbqh.na.gov.vn/data/images/XIII/1941.jpg
Le-Quang-Huy,1942,Lê Quang Huy,1966-09-19,male,Nghệ An,13,http://dbqh.na.gov.vn/daibieu/40/1942/Le-Quang-Huy.aspx,http://dbqh.na.gov.vn/data/images/XIII/1942.jpg
Tran-Thi-Quoc-Khanh,1943,Trần Thị Quốc Khánh,1959-09-01,female,TP Hà Nội,13,http://dbqh.na.gov.vn/daibieu/23/1943/Tran-Thi-Quoc-Khanh.aspx,http://dbqh.na.gov.vn/data/images/XIII/1943.jpg
Nguyen-Thuy-Anh,1944,Nguyễn Thúy Anh,1963-12-07,female,Phú Thọ,13,http://dbqh.na.gov.vn/daibieu/43/1944/Nguyen-Thuy-Anh.aspx,http://dbqh.na.gov.vn/data/images/XIII/1944.jpg
Ha-Cong-Long,1946,Hà Công Long,1954-07-27,male,Gia Lai,13,http://dbqh.na.gov.vn/daibieu/20/1946/Ha-Cong-Long.aspx,http://dbqh.na.gov.vn/data/images/XIII/1946.jpg
%C4%90ang-%C4%90inh-Luyen,1949,Đặng Đình Luyến,1957-03-03,male,Khánh Hoà,13,http://dbqh.na.gov.vn/daibieu/31/1949/%C4%90ang-%C4%90inh-Luyen.aspx,http://dbqh.na.gov.vn/data/images/XIII/1949.jpg
Uong-Chu-Luu,1951,Uông Chu Lưu,1955-07-20,male,Thanh Hoá,13,http://dbqh.na.gov.vn/daibieu/56/1951/Uong-Chu-Luu.aspx,http://dbqh.na.gov.vn/data/images/XIII/1951.jpg
Nguyen-%C4%90uc-Hien,1952,Nguyễn Đức Hiền,1955-08-03,male,Nghệ An,13,http://dbqh.na.gov.vn/daibieu/40/1952/Nguyen-%C4%90uc-Hien.aspx,http://dbqh.na.gov.vn/data/images/XIII/1952.jpg
Nguyen-%C4%90uc-Kien,1953,Nguyễn Đức Kiên,1960-08-21,male,Sóc Trăng,13,http://dbqh.na.gov.vn/daibieu/51/1953/Nguyen-%C4%90uc-Kien.aspx,http://dbqh.na.gov.vn/data/images/XIII/1953.jpg
Ngo-%C4%90uc-Manh,1955,Ngô Đức Mạnh,1960-10-01,male,Bình Thuận,13,http://dbqh.na.gov.vn/daibieu/11/1955/Ngo-%C4%90uc-Manh.aspx,http://dbqh.na.gov.vn/data/images/XIII/1955.jpg
%C4%90inh-Trinh-Hai,1957,Đinh Trịnh Hải,1956-12-09,male,Ninh Bình,13,http://dbqh.na.gov.vn/daibieu/41/1957/%C4%90inh-Trinh-Hai.aspx,http://dbqh.na.gov.vn/data/images/XIII/1957.jpg
KPa-Binh,1960,KPă Bình (KSor Phước),1954-02-08,male,Gia Lai,13,http://dbqh.na.gov.vn/daibieu/20/1960/KPa-Binh.aspx,http://dbqh.na.gov.vn/data/images/XIII/1960.jpg
Phung-Van-Hung,1962,Phùng Văn Hùng,1960-04-06,male,Cao Bằng,13,http://dbqh.na.gov.vn/daibieu/15/1962/Phung-Van-Hung.aspx,http://dbqh.na.gov.vn/data/images/XIII/1962.jpg
Nguyen-Kim-Khoa,1963,Nguyễn Kim Khoa,1955-03-07,male,Phú Thọ,13,http://dbqh.na.gov.vn/daibieu/43/1963/Nguyen-Kim-Khoa.aspx,http://dbqh.na.gov.vn/data/images/XIII/1963.jpg
Nguyen-Van-Luat,1967,Nguyễn Văn Luật,1960-02-25,male,Kiên Giang,13,http://dbqh.na.gov.vn/daibieu/32/1967/Nguyen-Van-Luat.aspx,http://dbqh.na.gov.vn/data/images/XIII/1967.jpg
Ma-%C4%90ien-Cu,1969,Mã Điền Cư,1954-01-25,male,Quảng Ngãi,13,http://dbqh.na.gov.vn/daibieu/47/1969/Ma-%C4%90ien-Cu.aspx,http://dbqh.na.gov.vn/data/images/XIII/1969.jpg
Nguyen-Sy-Cuong,1971,Nguyễn Sỹ Cương,1961-11-03,male,Ninh Thuận,13,http://dbqh.na.gov.vn/daibieu/42/1971/Nguyen-Sy-Cuong.aspx,http://dbqh.na.gov.vn/data/images/XIII/1971.jpg
Bui-Van-Cuong,1972,Bùi Văn Cường,1965-06-18,male,Gia Lai,13,http://dbqh.na.gov.vn/daibieu/20/1972/Bui-Van-Cuong.aspx,http://dbqh.na.gov.vn/data/images/XIII/1972.jpg
Nguyen-Thanh-Hai,1983,Nguyễn Thanh Hải,1970-10-02,female,Hoà Bình,13,http://dbqh.na.gov.vn/daibieu/30/1983/Nguyen-Thanh-Hai.aspx,http://dbqh.na.gov.vn/data/images/XIII/1983.jpg
%C4%90o-Manh-Hung,1984,Đỗ Mạnh Hùng,1958-05-20,male,Thái Nguyên,13,http://dbqh.na.gov.vn/daibieu/54/1984/%C4%90o-Manh-Hung.aspx,http://dbqh.na.gov.vn/data/images/XIII/1984.jpg
Vu-Hai-Ha,1986,Vũ Hải Hà,1969-03-01,male,Đồng Nai,13,http://dbqh.na.gov.vn/daibieu/18/1986/Vu-Hai-Ha.aspx,http://dbqh.na.gov.vn/data/images/XIII/1986.jpg
Vuong-%C4%90inh-Hue,1990,Vương Đình Huệ,1957-03-15,male,Bình Định,13,http://dbqh.na.gov.vn/daibieu/8/1990/Vuong-%C4%90inh-Hue.aspx,http://dbqh.na.gov.vn/data/images/XIII/1990.jpg
Nguyen-Kim-Hong,1991,Nguyễn Kim Hồng,1959-09-25,male,Đồng Tháp,13,http://dbqh.na.gov.vn/daibieu/19/1991/Nguyen-Kim-Hong.aspx,http://dbqh.na.gov.vn/data/images/XIII/1991.jpg
Bui-%C4%90ang-Dung,1992,Bùi Đặng Dũng,1960-10-20,male,Kiên Giang,13,http://dbqh.na.gov.vn/daibieu/32/1992/Bui-%C4%90ang-Dung.aspx,http://dbqh.na.gov.vn/data/images/XIII/1992.jpg
Cao-Si-Kiem,1996,Cao Sĩ Kiêm,1941-08-26,male,Thái Bình,13,http://dbqh.na.gov.vn/daibieu/53/1996/Cao-Si-Kiem.aspx,http://dbqh.na.gov.vn/data/images/XIII/1996.jpg
Phan-Trung-Ly,2000,Phan Trung Lý,1954-12-20,male,Nghệ An,13,http://dbqh.na.gov.vn/daibieu/40/2000/Phan-Trung-Ly.aspx,http://dbqh.na.gov.vn/data/images/XIII/2000.jpg
Tran-%C4%90inh-Long,2002,Trần Đình Long,1954-05-25,male,Đắk Nông,13,http://dbqh.na.gov.vn/daibieu/82/2002/Tran-%C4%90inh-Long.aspx,http://dbqh.na.gov.vn/data/images/XIII/2002.jpg
Giang-A-Chu,2004,Giàng A Chu,1959-11-26,male,Yên Bái,13,http://dbqh.na.gov.vn/daibieu/62/2004/Giang-A-Chu.aspx,http://dbqh.na.gov.vn/data/images/XIII/2004.jpg
Vo-Van-Kim,2005,Võ Văn Kim (Vũ Trọng Kim),1953-03-23,male,Quảng Ngãi,13,http://dbqh.na.gov.vn/daibieu/47/2005/Vo-Van-Kim.aspx,http://dbqh.na.gov.vn/data/images/XIII/2005.jpg
Linh-muc-Tran-Manh-Cuong,2006,Linh mục Trần Mạnh Cường,1942-10-25,male,Đắc Lắk,13,http://dbqh.na.gov.vn/daibieu/17/2006/Linh-muc-Tran-Manh-Cuong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2006.jpg
Phung-Quoc-Hien,2012,Phùng Quốc Hiển,1958-04-06,male,Yên Bái,13,http://dbqh.na.gov.vn/daibieu/62/2012/Phung-Quoc-Hien.aspx,http://dbqh.na.gov.vn/data/images/XIII/2012.jpg
Tran-Quang-Chieu,2013,Trần Quang Chiểu,1958-12-29,male,Nam Định,13,http://dbqh.na.gov.vn/daibieu/39/2013/Tran-Quang-Chieu.aspx,http://dbqh.na.gov.vn/data/images/XIII/2013.jpg
Nguyen-Tuan-Khanh,2014,Nguyễn Tuấn Khanh,1954-07-15,male,Cà Mau,13,http://dbqh.na.gov.vn/daibieu/13/2014/Nguyen-Tuan-Khanh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2014.jpg
Truong-Thi-Mai,2018,Trương Thị Mai,1958-01-23,female,Lâm Đồng,13,http://dbqh.na.gov.vn/daibieu/34/2018/Truong-Thi-Mai.aspx,http://dbqh.na.gov.vn/data/images/XIII/2018.jpg
Nguyen-Van-Hien,2019,Nguyễn Văn Hiện,1954-05-19,male,Sơn La,13,http://dbqh.na.gov.vn/daibieu/50/2019/Nguyen-Van-Hien.aspx,http://dbqh.na.gov.vn/data/images/XIII/2019.jpg
Nguyen-Phuoc-Loc,2022,Nguyễn Phước Lộc,1970-01-31,male,TP Hồ Chí Minh,13,http://dbqh.na.gov.vn/daibieu/29/2022/Nguyen-Phuoc-Loc.aspx,http://dbqh.na.gov.vn/data/images/XIII/2022.jpg
Le-Hong-Anh,2026,Lê Hồng Anh,1949-11-12,male,TP Cần Thơ,13,http://dbqh.na.gov.vn/daibieu/14/2026/Le-Hong-Anh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2026.jpg
%C4%90ang-Van-Hieu,2029,Đặng Văn Hiếu,1953-07-21,male,Thanh Hoá,13,http://dbqh.na.gov.vn/daibieu/56/2029/%C4%90ang-Van-Hieu.aspx,http://dbqh.na.gov.vn/data/images/XIII/2029.jpg
%C4%90ao-Thi-Xuan-Lan,2031,Đào Thị Xuân Lan,1961-09-08,female,Hưng Yên,13,http://dbqh.na.gov.vn/daibieu/21/2031/%C4%90ao-Thi-Xuan-Lan.aspx,http://dbqh.na.gov.vn/data/images/XIII/2031.jpg
Nguyen-Thanh-Hong,2032,Nguyễn Thanh Hồng,1960-06-08,male,Bình Dương,13,http://dbqh.na.gov.vn/daibieu/9/2032/Nguyen-Thanh-Hong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2032.jpg
Pham-Thi-My-Le,2035,Phạm Thị Mỹ Lệ,1958-03-08,female,Bình Phước,13,http://dbqh.na.gov.vn/daibieu/10/2035/Pham-Thi-My-Le.aspx,http://dbqh.na.gov.vn/data/images/XIII/2035.jpg
Ngo-Van-Du,2036,Ngô Văn Dụ,1947-12-21,male,Vĩnh Phúc,13,http://dbqh.na.gov.vn/daibieu/61/2036/Ngo-Van-Du.aspx,http://dbqh.na.gov.vn/data/images/XIII/2036.jpg
Ha-Minh-Hue,2037,Hà Minh Huệ,1951-09-08,male,Bình Thuận,13,http://dbqh.na.gov.vn/daibieu/11/2037/Ha-Minh-Hue.aspx,http://dbqh.na.gov.vn/data/images/XIII/2037.jpg
Nguyen-Cong-Hong,2039,Nguyễn Công Hồng,1961-08-15,male,Đồng Nai,13,http://dbqh.na.gov.vn/daibieu/18/2039/Nguyen-Cong-Hong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2039.jpg
%C4%90o-Van-%C4%90uong,2041,Đỗ Văn Đương,1960-10-10,male,TP Hồ Chí Minh,13,http://dbqh.na.gov.vn/daibieu/29/2041/%C4%90o-Van-%C4%90uong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2041.jpg
Tran-Van-Ban,2042,Trần Văn Bản,1950-10-10,male,Bình Định,13,http://dbqh.na.gov.vn/daibieu/8/2042/Tran-Van-Ban.aspx,http://dbqh.na.gov.vn/data/images/XIII/2042.jpg
Nguyen-Thi-Doan,2043,Nguyễn Thị Doan,1951-01-11,female,Hà Nam,13,http://dbqh.na.gov.vn/daibieu/24/2043/Nguyen-Thi-Doan.aspx,http://dbqh.na.gov.vn/data/images/XIII/2043.jpg
Nguyen-Quoc-Cuong,2045,Nguyễn Quốc Cường,1952-05-06,male,Bắc Giang,13,http://dbqh.na.gov.vn/daibieu/5/2045/Nguyen-Quoc-Cuong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2045.jpg
Ha-Thi-Khich,2046,Hà Thị Khích (Hà Thị Khiết),1950-07-27,female,Hà Giang,13,http://dbqh.na.gov.vn/daibieu/22/2046/Ha-Thi-Khich.aspx,http://dbqh.na.gov.vn/data/images/XIII/2046.jpg
Ya-Duck,2050,Ya Duck,1940-05-05,male,Lâm Đồng,13,http://dbqh.na.gov.vn/daibieu/34/2050/Ya-Duck.aspx,http://dbqh.na.gov.vn/data/images/XIII/2050.jpg
Nguyen-Thai-Binh,2053,Nguyễn Thái Bình (Thái Bình),1954-10-13,male,Trà Vinh,13,http://dbqh.na.gov.vn/daibieu/58/2053/Nguyen-Thai-Binh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2053.jpg
Nguyen-Van-Giau,2054,Nguyễn Văn Giàu,1957-12-08,male,An Giang,13,http://dbqh.na.gov.vn/daibieu/2/2054/Nguyen-Van-Giau.aspx,http://dbqh.na.gov.vn/data/images/XIII/2054.jpg
Vu-Huy-Hoang,2057,Vũ Huy Hoàng,1953-09-20,male,Lạng Sơn,13,http://dbqh.na.gov.vn/daibieu/36/2057/Vu-Huy-Hoang.aspx,http://dbqh.na.gov.vn/data/images/XIII/2057.jpg
Ha-Hung-Cuong,2058,Hà Hùng Cường,1953-08-11,male,Quảng Bình,13,http://dbqh.na.gov.vn/daibieu/45/2058/Ha-Hung-Cuong.aspx,http://dbqh.na.gov.vn/data/images/XIII/2058.jpg
Pham-Vu-Luan,2062,Phạm Vũ Luận,1955-08-01,male,Quảng Trị,13,http://dbqh.na.gov.vn/daibieu/49/2062/Pham-Vu-Luan.aspx,http://dbqh.na.gov.vn/data/images/XIII/2062.jpg
Hoang-Tuan-Anh,2063,Hoàng Tuấn Anh,1952-11-18,male,Tây Ninh,13,http://dbqh.na.gov.vn/daibieu/52/2063/Hoang-Tuan-Anh.aspx,http://dbqh.na.gov.vn/data/images/XIII/2063.jpg
